"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.01000000000E+006, +3.38566925653E-001, +2.33962723960E+001
+1.25495000000E+006, +3.58473421899E-001, +2.90380158589E+001
+1.49990000000E+006, +3.78116392799E-001, +3.46554187442E+001
+1.74485000000E+006, +3.84991479811E-001, +4.02952638853E+001
+1.98980000000E+006, +3.70963347122E-001, +4.59451052905E+001
+2.23475000000E+006, +3.67894299948E-001, +5.15263777540E+001
+2.47970000000E+006, +4.21128185561E-001, +5.72394492981E+001
+2.72465000000E+006, +4.03818859136E-001, +6.28459695803E+001
+2.96960000000E+006, +3.72213636453E-001, +6.85115348725E+001
+3.21455000000E+006, +4.82400801735E-001, +7.43158969839E+001
+3.45950000000E+006, +4.86917161808E-001, +8.00762320321E+001
+3.70445000000E+006, +4.03519983503E-001, +8.58562937633E+001
+3.94940000000E+006, +4.54465277491E-001, +9.15366321828E+001
+4.19435000000E+006, +3.04792571574E-001, +9.74735526423E+001
+4.43930000000E+006, +4.20754231694E-001, +1.02967789243E+002
+4.68425000000E+006, +4.98918316906E-001, +1.08864950461E+002
+4.92920000000E+006, +4.24370756416E-001, +1.14718075844E+002
+5.17415000000E+006, +4.80131313878E-001, +1.20391487354E+002
+5.41910000000E+006, +4.05967645319E-001, +1.26421306217E+002
+5.66405000000E+006, +4.19514681703E-001, +1.32033018115E+002
+5.90900000000E+006, +5.72482278798E-001, +1.38146216953E+002
+6.15395000000E+006, +6.97684467194E-001, +1.43800958729E+002
+6.39890000000E+006, +5.97483836274E-001, +1.49747838918E+002
+6.64385000000E+006, +6.19115702901E-001, +1.55762181429E+002
+6.88880000000E+006, +7.43233845105E-001, +1.61700226453E+002
+7.13375000000E+006, +9.09978650763E-001, +1.67886531090E+002
+7.37870000000E+006, +8.72943021606E-001, +1.73706805495E+002
+7.62365000000E+006, +9.09580828111E-001, +1.79846824223E+002
+7.86860000000E+006, +7.99727293984E-001, +1.86062542042E+002
+8.11355000000E+006, +7.83597562263E-001, +1.92064417282E+002
+8.35850000000E+006, +9.30820351575E-001, +1.97908144078E+002
+8.60345000000E+006, +1.21478165899E+000, +2.04088979491E+002
+8.84840000000E+006, +1.23413389901E+000, +2.10073196708E+002
+9.09335000000E+006, +7.43998669040E-001, +2.16620479247E+002
+9.33830000000E+006, +1.17600546989E+000, +2.22888838338E+002
+9.58325000000E+006, +1.23681305251E+000, +2.28982766249E+002
+9.82820000000E+006, +1.15623416531E+000, +2.35461379964E+002
+1.00731500000E+007, +9.25162367884E-001, +2.41625336392E+002
+1.03181000000E+007, +1.06938163668E+000, +2.48451342101E+002
+1.05630500000E+007, +1.07921837369E+000, +2.54196423807E+002
+1.08080000000E+007, +1.08272106433E+000, +2.60683017426E+002
+1.10529500000E+007, +1.08688497051E+000, +2.67483545323E+002
+1.12979000000E+007, +9.57237415548E-001, +2.74349565678E+002
+1.15428500000E+007, +1.17302552650E+000, +2.80788625729E+002
+1.17878000000E+007, +1.01645175916E+000, +2.87459499324E+002
+1.20327500000E+007, +3.51986684140E-001, +2.94457820630E+002
+1.22777000000E+007, +6.64322179093E-001, +3.00565967659E+002
+1.25226500000E+007, +1.01503590377E+000, +3.07777414689E+002
+1.27676000000E+007, +7.57813306019E-001, +3.14543937258E+002
+1.30125500000E+007, +1.12440893973E+000, +3.21148200223E+002
+1.32575000000E+007, +9.94960560344E-001, +3.29521849207E+002
+1.35024500000E+007, +1.63580220504E+000, +3.35698690196E+002
+1.37474000000E+007, +6.85821319421E-001, +3.42619572754E+002
+1.39923500000E+007, +9.26565241688E-001, +3.49997526402E+002
+1.42373000000E+007, +1.56608833367E-001, +3.56841697421E+002
+1.44822500000E+007, +5.95529061609E-001, +3.65077890298E+002
+1.47272000000E+007, +9.47468635845E-001, +3.71603999854E+002
+1.49721500000E+007, +4.16061388662E-001, +3.79521583679E+002
+1.52171000000E+007, +8.82582708881E-001, +3.86579519340E+002
+1.54620500000E+007, +1.07449386346E+000, +3.94692386592E+002
+1.57070000000E+007, +1.64333880176E+000, +4.01280273533E+002
