"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +7.20165830335E-001, +3.03176383536E+001
+1.34500000000E+006, +8.01127352642E-001, +4.07098585664E+001
+1.69000000000E+006, +8.07151148493E-001, +5.10399008504E+001
+2.03500000000E+006, +7.80562774297E-001, +6.14678704472E+001
+2.38000000000E+006, +7.50106703728E-001, +7.18222100832E+001
+2.72500000000E+006, +7.27210908135E-001, +8.22394545250E+001
+3.07000000000E+006, +8.13118929998E-001, +9.28596013826E+001
+3.41500000000E+006, +6.57521309159E-001, +1.03361230701E+002
+3.76000000000E+006, +1.01751945810E+000, +1.14253689880E+002
+4.10500000000E+006, +4.17931476611E-001, +1.24653334053E+002
+4.45000000000E+006, +7.31799028733E-001, +1.35453425353E+002
+4.79500000000E+006, +8.25223635415E-001, +1.46165243140E+002
+5.14000000000E+006, +6.57825668119E-001, +1.56992762436E+002
+5.48500000000E+006, +3.28544797275E-001, +1.67840487880E+002
+5.83000000000E+006, +5.46964065497E-001, +1.79028731737E+002
+6.17500000000E+006, +6.56107149350E-001, +1.90090192511E+002
+6.52000000000E+006, +9.18219416893E-001, +2.01251257650E+002
+6.86500000000E+006, +1.01367164453E+000, +2.12529513904E+002
+7.21000000000E+006, +1.22504316884E+000, +2.23486669409E+002
+7.55500000000E+006, +1.09299073173E+000, +2.35283062618E+002
+7.90000000000E+006, +9.30278153047E-001, +2.46560448189E+002
+8.24500000000E+006, +8.89878262619E-001, +2.58708115272E+002
+8.59000000000E+006, +8.00787464675E-001, +2.70235726800E+002
+8.93500000000E+006, +1.01018572609E+000, +2.81915620777E+002
+9.28000000000E+006, +2.41405850426E-001, +2.93580584378E+002
+9.62500000000E+006, +8.07547774386E-001, +3.06430333528E+002
+9.97000000000E+006, +3.07330256396E-001, +3.19060043596E+002
+1.03150000000E+007, +3.75296191042E-001, +3.31763851340E+002
+1.06600000000E+007, -2.43710971678E-001, +3.44463336477E+002
+1.10050000000E+007, -9.61254712947E-003, +3.57228945393E+002
+1.13500000000E+007, +3.05709355820E-001, +3.70194437951E+002
+1.16950000000E+007, -6.32846662649E-002, +3.83105196376E+002
+1.20400000000E+007, -3.53281409256E-001, +3.96857759430E+002
+1.23850000000E+007, -1.56622728515E-001, +4.11629467302E+002
+1.27300000000E+007, -5.03052269523E-001, +4.26113495883E+002
+1.30750000000E+007, -1.35876870145E+000, +4.39975858035E+002
+1.34200000000E+007, -7.10260634256E-001, +4.53486986378E+002
+1.37650000000E+007, -1.44536263181E+000, +4.68106642534E+002
+1.41100000000E+007, -1.91191318206E+000, +4.84999978943E+002
+1.44550000000E+007, -1.73396602651E+000, +4.99281044130E+002
+1.48000000000E+007, -2.33174143062E+000, +5.16495583029E+002
+1.51450000000E+007, -1.28936263460E+000, +5.32296228909E+002
+1.54900000000E+007, -1.26905757456E+000, +5.46925201758E+002
+1.58350000000E+007, -7.73235027651E-001, +5.66315962489E+002
+1.61800000000E+007, -1.78996500477E+000, +5.79229631363E+002
+1.65250000000E+007, -1.37179593074E-001, +5.97622045176E+002
+1.68700000000E+007, +1.21601023702E-002, +6.14970788579E+002
+1.72150000000E+007, -5.17883057371E+000, +6.33803269878E+002
+1.75600000000E+007, -3.37543043090E+000, +6.53929652335E+002
+1.79050000000E+007, -2.70216406080E+000, +6.73090114007E+002
+1.82500000000E+007, -3.50967669050E+000, +6.95231635758E+002
+1.85950000000E+007, -3.24442853115E+000, +7.13398297555E+002
+1.89400000000E+007, -1.99205976402E+000, +7.35087573215E+002
+1.92850000000E+007, -2.19076267041E+000, +7.57810573657E+002
+1.96300000000E+007, -3.85407569076E+000, +7.78839744844E+002
+1.99750000000E+007, -1.70017965275E+000, +8.03976520978E+002
+2.03200000000E+007, -3.89618282877E+000, +8.30758788770E+002
+2.06650000000E+007, -1.53133006284E+000, +8.51178745807E+002
+2.10100000000E+007, -1.48166657277E+000, +8.76116102251E+002
+2.13550000000E+007, -1.66999456914E+000, +9.04965259942E+002
+2.17000000000E+007, -3.26841462842E+000, +9.31299501889E+002
+2.20450000000E+007, +2.91491493238E+000, +9.60581486272E+002
+2.23900000000E+007, +1.21240235911E+000, +9.89743643392E+002
+2.27350000000E+007, -6.27979550278E-001, +1.01743605022E+003
+2.30800000000E+007, +7.47416395900E-001, +1.05297738341E+003
+2.34250000000E+007, +1.93461294384E+000, +1.08544495141E+003
+2.37700000000E+007, +1.09000744285E+001, +1.12400686552E+003
+2.41150000000E+007, -2.03223420658E-001, +1.15468199183E+003
+2.44600000000E+007, -3.59600401339E+000, +1.18919184537E+003
+2.48050000000E+007, -5.99726538710E-002, +1.22415248747E+003
+2.51500000000E+007, -3.39116341322E+000, +1.27380313624E+003
+2.54950000000E+007, -7.53213613403E+000, +1.32196850795E+003
