"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +9.18945032993E+000, +3.11993026265E+001
+1.34500000000E+006, +9.24468714832E+000, +4.19337461654E+001
+1.69000000000E+006, +9.19376300768E+000, +5.26825164682E+001
+2.03500000000E+006, +9.14987940705E+000, +6.34874446876E+001
+2.38000000000E+006, +9.10814053133E+000, +7.42039832099E+001
+2.72500000000E+006, +9.03011121930E+000, +8.50214901545E+001
+3.07000000000E+006, +9.23607985078E+000, +9.58450037080E+001
+3.41500000000E+006, +9.06197279039E+000, +1.06695225824E+002
+3.76000000000E+006, +9.50066778071E+000, +1.17738858822E+002
+4.10500000000E+006, +9.19556259067E+000, +1.28576097331E+002
+4.45000000000E+006, +9.14542454815E+000, +1.39505157697E+002
+4.79500000000E+006, +9.28044189415E+000, +1.50231236889E+002
+5.14000000000E+006, +9.22872799440E+000, +1.61483927500E+002
+5.48500000000E+006, +9.15956947157E+000, +1.72257867025E+002
+5.83000000000E+006, +8.89473439612E+000, +1.83640127350E+002
+6.17500000000E+006, +9.30302854012E+000, +1.94590884213E+002
+6.52000000000E+006, +9.75129055026E+000, +2.05883909890E+002
+6.86500000000E+006, +9.80589434800E+000, +2.17096222874E+002
+7.21000000000E+006, +1.01926577955E+001, +2.28325416851E+002
+7.55500000000E+006, +1.02522098858E+001, +2.39794701008E+002
+7.90000000000E+006, +1.02022365403E+001, +2.50920161838E+002
+8.24500000000E+006, +1.04596673836E+001, +2.62291107031E+002
+8.59000000000E+006, +1.04350957143E+001, +2.73820867424E+002
+8.93500000000E+006, +1.03362982245E+001, +2.85051382125E+002
+9.28000000000E+006, +9.81902531784E+000, +2.96662693053E+002
+9.62500000000E+006, +1.06463497718E+001, +3.08245925109E+002
+9.97000000000E+006, +1.05151549735E+001, +3.20387200216E+002
+1.03150000000E+007, +1.04464082158E+001, +3.31905675431E+002
+1.06600000000E+007, +1.10078381433E+001, +3.43728014087E+002
+1.10050000000E+007, +1.09120560366E+001, +3.55292554168E+002
+1.13500000000E+007, +1.07886643871E+001, +3.67473758063E+002
+1.16950000000E+007, +1.09261979075E+001, +3.79262452248E+002
+1.20400000000E+007, +1.02206245197E+001, +3.91723413776E+002
+1.23850000000E+007, +1.08500934450E+001, +4.04384925785E+002
+1.27300000000E+007, +1.00993030491E+001, +4.17006413722E+002
+1.30750000000E+007, +9.74711700769E+000, +4.30055571009E+002
+1.34200000000E+007, +1.02697162265E+001, +4.42083171327E+002
