"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +3.61761859567E+001, +3.13039338364E+001
+1.34500000000E+006, +3.62286654023E+001, +4.20816738090E+001
+1.69000000000E+006, +3.61674584617E+001, +5.28440284953E+001
+2.03500000000E+006, +3.61635693037E+001, +6.37980861283E+001
+2.38000000000E+006, +3.61717609062E+001, +7.45952016805E+001
+2.72500000000E+006, +3.60636104243E+001, +8.54065962826E+001
+3.07000000000E+006, +3.61901686133E+001, +9.63064177088E+001
+3.41500000000E+006, +3.60413007419E+001, +1.07255723166E+002
+3.76000000000E+006, +3.64558930133E+001, +1.18220199937E+002
+4.10500000000E+006, +3.68156742829E+001, +1.29334171330E+002
+4.45000000000E+006, +3.62384527411E+001, +1.40082730955E+002
+4.79500000000E+006, +3.64172327066E+001, +1.51294417258E+002
+5.14000000000E+006, +3.64114822163E+001, +1.62374492305E+002
+5.48500000000E+006, +3.61113477809E+001, +1.73564939317E+002
+5.83000000000E+006, +3.63805150610E+001, +1.84898370537E+002
+6.17500000000E+006, +3.68673779124E+001, +1.95793364686E+002
+6.52000000000E+006, +3.70802216478E+001, +2.07130123713E+002
+6.86500000000E+006, +3.71753938804E+001, +2.18338566938E+002
+7.21000000000E+006, +3.73325973409E+001, +2.29766850987E+002
+7.55500000000E+006, +3.77914616051E+001, +2.41345298232E+002
+7.90000000000E+006, +3.77678475205E+001, +2.52594823546E+002
+8.24500000000E+006, +3.78777600331E+001, +2.64400437468E+002
+8.59000000000E+006, +3.79774351032E+001, +2.75541158157E+002
+8.93500000000E+006, +3.81750096762E+001, +2.87613503110E+002
+9.28000000000E+006, +3.76884355406E+001, +2.99171520488E+002
+9.62500000000E+006, +3.86159247607E+001, +3.11069701961E+002
+9.97000000000E+006, +3.83281133545E+001, +3.23289227714E+002
+1.03150000000E+007, +3.86445334797E+001, +3.35512890325E+002
+1.06600000000E+007, +3.79440557589E+001, +3.47694350671E+002
+1.10050000000E+007, +3.87350220187E+001, +3.59772591570E+002
+1.13500000000E+007, +3.92140447275E+001, +3.72630905260E+002
+1.16950000000E+007, +3.89676718953E+001, +3.83898229520E+002
+1.20400000000E+007, +3.86366759784E+001, +3.98017650440E+002
+1.23850000000E+007, +3.90083569918E+001, +4.10387904218E+002
+1.27300000000E+007, +3.88901895066E+001, +4.23145075574E+002
+1.30750000000E+007, +3.90703076017E+001, +4.37638017609E+002
+1.34200000000E+007, +3.86523794082E+001, +4.50687023216E+002
+1.37650000000E+007, +3.98604834684E+001, +4.61925335079E+002
+1.41100000000E+007, +3.98898715486E+001, +4.77729340389E+002
+1.44550000000E+007, +3.99791177845E+001, +4.89818658660E+002
+1.48000000000E+007, +4.07176210231E+001, +5.05517760487E+002
+1.51450000000E+007, +4.08390610724E+001, +5.18116722425E+002
+1.54900000000E+007, +4.13066321703E+001, +5.31734195016E+002
+1.58350000000E+007, +4.22855175552E+001, +5.45940883487E+002
+1.61800000000E+007, +4.09463003015E+001, +5.58446087880E+002
+1.65250000000E+007, +4.05067223727E+001, +5.72891391192E+002
+1.68700000000E+007, +4.24739021521E+001, +5.90229952834E+002
+1.72150000000E+007, +3.94982491574E+001, +6.04704960100E+002
+1.75600000000E+007, +4.05300356532E+001, +6.21403180006E+002
+1.79050000000E+007, +4.25423476826E+001, +6.37931638839E+002
+1.82500000000E+007, +4.32620777053E+001, +6.53151311844E+002
+1.85950000000E+007, +4.43059875111E+001, +6.68088999089E+002
+1.89400000000E+007, +4.62132973698E+001, +6.86800932635E+002
+1.92850000000E+007, +4.51599213095E+001, +7.03443907647E+002
+1.96300000000E+007, +4.74894151061E+001, +7.20305200937E+002
+1.99750000000E+007, +4.84999134882E+001, +7.38125316634E+002
+2.03200000000E+007, +4.75246078979E+001, +7.59516264619E+002
+2.06650000000E+007, +4.72269290821E+001, +7.75829237176E+002
+2.10100000000E+007, +5.06110143755E+001, +7.90896474680E+002
+2.13550000000E+007, +5.03372772147E+001, +8.11332829886E+002
+2.17000000000E+007, +5.44940398330E+001, +8.34012359919E+002
+2.20450000000E+007, +5.60176926904E+001, +8.49174642006E+002
+2.23900000000E+007, +5.63743672612E+001, +8.70621253063E+002
+2.27350000000E+007, +5.18759195204E+001, +8.92231949537E+002
+2.30800000000E+007, +5.98907618092E+001, +9.12945120402E+002
+2.34250000000E+007, +5.70527861150E+001, +9.32592618910E+002
+2.37700000000E+007, +6.59997920387E+001, +9.55553013081E+002
+2.41150000000E+007, +6.10363124255E+001, +9.76360958568E+002
+2.44600000000E+007, +5.68025311012E+001, +9.99347622272E+002
+2.48050000000E+007, +6.10374091911E+001, +1.01952389878E+003
+2.51500000000E+007, +6.50674167048E+001, +1.05191101776E+003
+2.54950000000E+007, +6.63761420787E+001, +1.07547475861E+003
+2.58400000000E+007, +6.62868700114E+001, +1.10011779017E+003
+2.61850000000E+007, +6.46282997440E+001, +1.13422052240E+003
+2.65300000000E+007, +6.77778930614E+001, +1.16016463208E+003
+2.68750000000E+007, +7.80975088276E+001, +1.19190636029E+003
+2.72200000000E+007, +7.97417283150E+001, +1.21588711801E+003
+2.75650000000E+007, +8.26645738913E+001, +1.25455538678E+003
+2.79100000000E+007, +8.64772074040E+001, +1.28406183786E+003
+2.82550000000E+007, +9.09962821641E+001, +1.32669448412E+003
+2.86000000000E+007, +8.84264834487E+001, +1.35725718690E+003
+2.89450000000E+007, +9.50903483577E+001, +1.39566488271E+003
+2.92900000000E+007, +9.98292886864E+001, +1.42157978319E+003
+2.96350000000E+007, +1.11937313040E+002, +1.47586372109E+003
+2.99800000000E+007, +1.10297865899E+002, +1.52613634513E+003
+3.03250000000E+007, +1.23986504293E+002, +1.56002803109E+003
+3.06700000000E+007, +1.30936776198E+002, +1.60751490019E+003
+3.10150000000E+007, +1.22094644278E+002, +1.65183565659E+003
+3.13600000000E+007, +1.27003850180E+002, +1.70925588783E+003
+3.17050000000E+007, +1.43340961000E+002, +1.78041557925E+003
+3.20500000000E+007, +1.55171931242E+002, +1.83907866518E+003
+3.23950000000E+007, +1.73832565688E+002, +1.88696083061E+003
+3.27400000000E+007, +1.96427239942E+002, +1.94963759685E+003
+3.30850000000E+007, +1.79543532162E+002, +2.04056628598E+003
+3.34300000000E+007, +2.11974563662E+002, +2.09823559820E+003
+3.37750000000E+007, +2.31698425681E+002, +2.17461873069E+003
+3.41200000000E+007, +2.35146565658E+002, +2.23381338801E+003
+3.44650000000E+007, +2.70216959868E+002, +2.36454956202E+003
+3.48100000000E+007, +2.92412906183E+002, +2.43704639292E+003
+3.51550000000E+007, +3.16507136579E+002, +2.54490200412E+003
+3.55000000000E+007, +3.82980219346E+002, +2.64701722509E+003
+3.58450000000E+007, +4.18243700203E+002, +2.78673720147E+003
+3.61900000000E+007, +4.32551718785E+002, +2.90644981652E+003
+3.65350000000E+007, +5.26752933000E+002, +3.06794591439E+003
+3.68800000000E+007, +6.36181402406E+002, +3.19672328230E+003
+3.72250000000E+007, +6.32417927529E+002, +3.36967384224E+003
+3.75700000000E+007, +7.74737185976E+002, +3.56961840700E+003
+3.79150000000E+007, +8.98365084697E+002, +3.75617081793E+003
+3.82600000000E+007, +1.05877387471E+003, +3.95990678704E+003
+3.86050000000E+007, +1.32490755605E+003, +4.20482093715E+003
+3.89500000000E+007, +1.54276356835E+003, +4.46077484946E+003
+3.92950000000E+007, +1.71392800354E+003, +4.59479282785E+003
+3.96400000000E+007, +1.78450162152E+003, +4.89687458119E+003
+3.99850000000E+007, +2.35970730760E+003, +5.18916706860E+003
+4.03300000000E+007, +2.51702477653E+003, +5.70715427653E+003
+4.06750000000E+007, +3.06987783834E+003, +6.31165866569E+003
+4.10200000000E+007, +3.74984481456E+003, +6.48895394735E+003
+4.13650000000E+007, +4.83413205531E+003, +7.60087274754E+003
+4.17100000000E+007, +6.80845808534E+003, +7.76940494044E+003
+4.20550000000E+007, +8.47738150090E+003, +7.74943054663E+003
+4.24000000000E+007, +1.10780988763E+004, +6.89438839541E+003
+4.27450000000E+007, +1.43992634962E+004, +4.60741667703E+003
+4.30900000000E+007, +1.57564872500E+004, +1.77534569755E+003
+4.34350000000E+007, +1.45414980717E+004, -2.77987249959E+003
+4.37800000000E+007, +1.19214619470E+004, -5.96012456206E+003
+4.41250000000E+007, +9.34308240569E+003, -8.21772872731E+003
+4.44700000000E+007, +6.25545499129E+003, -7.53501851879E+003
+4.48150000000E+007, +4.84732775353E+003, -7.00343113371E+003
+4.51600000000E+007, +4.39107177032E+003, -6.68955361245E+003
+4.55050000000E+007, +3.14322854039E+003, -5.89136881627E+003
+4.58500000000E+007, +2.38917582073E+003, -5.47863508794E+003
+4.61950000000E+007, +1.92896159705E+003, -5.24781189820E+003
+4.65400000000E+007, +1.46634954412E+003, -4.62118081527E+003
+4.68850000000E+007, +1.35407517255E+003, -4.19264770010E+003
+4.72300000000E+007, +1.01469536832E+003, -3.84474426067E+003
+4.75750000000E+007, +9.27087548847E+002, -3.49491323829E+003
+4.79200000000E+007, +8.09818556045E+002, -3.22690664676E+003
+4.82650000000E+007, +7.08277034066E+002, -2.99634488341E+003
+4.86100000000E+007, +6.16752257843E+002, -2.82241309661E+003
+4.89550000000E+007, +5.40782773048E+002, -2.60632701250E+003
+4.93000000000E+007, +4.92920878887E+002, -2.40997090925E+003
+4.96450000000E+007, +4.65610267687E+002, -2.27079006162E+003
+4.99900000000E+007, +4.06507826583E+002, -2.16976323466E+003
+5.03350000000E+007, +3.60562599858E+002, -2.03936232166E+003
+5.06800000000E+007, +3.22465039165E+002, -1.92074493356E+003
+5.10250000000E+007, +2.90264301993E+002, -1.81129966481E+003
+5.13700000000E+007, +2.73048306115E+002, -1.70388869848E+003
+5.17150000000E+007, +2.34753790613E+002, -1.59926616157E+003
+5.20600000000E+007, +2.30754182881E+002, -1.51426377728E+003
+5.24050000000E+007, +2.17438111156E+002, -1.43448493548E+003
+5.27500000000E+007, +1.98786460530E+002, -1.36748381970E+003
+5.30950000000E+007, +1.93310422156E+002, -1.29152505554E+003
+5.34400000000E+007, +1.79144079845E+002, -1.22021127064E+003
+5.37850000000E+007, +1.74813324985E+002, -1.15985111653E+003
+5.41300000000E+007, +1.62167595107E+002, -1.10225264174E+003
+5.44750000000E+007, +1.61519896377E+002, -1.05182312669E+003
+5.48200000000E+007, +1.55082734640E+002, -9.91809558005E+002
+5.51650000000E+007, +1.50880517291E+002, -9.45577003467E+002
+5.55100000000E+007, +1.47315699125E+002, -8.97184288301E+002
+5.58550000000E+007, +1.36109105678E+002, -8.56742865404E+002
