"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +7.80642176098E-001, +3.28559136700E+001
+1.34500000000E+006, +8.91607655459E-001, +4.41045293892E+001
+1.69000000000E+006, +8.65821013921E-001, +5.53187286913E+001
+2.03500000000E+006, +8.66124903546E-001, +6.65738915520E+001
+2.38000000000E+006, +7.76651713305E-001, +7.78748016844E+001
+2.72500000000E+006, +7.69166760298E-001, +8.91132215404E+001
+3.07000000000E+006, +9.30891085308E-001, +1.00478016930E+002
+3.41500000000E+006, +7.72182937372E-001, +1.11955922079E+002
+3.76000000000E+006, +1.31498179314E+000, +1.23725363756E+002
+4.10500000000E+006, +4.71406486038E-001, +1.35042796256E+002
+4.45000000000E+006, +8.55939155651E-001, +1.46624899685E+002
+4.79500000000E+006, +9.90788664206E-001, +1.58451815079E+002
+5.14000000000E+006, +1.10308900626E+000, +1.69827143367E+002
+5.48500000000E+006, +5.35152829321E-001, +1.81540923372E+002
+5.83000000000E+006, +7.43330845094E-001, +1.94063961877E+002
+6.17500000000E+006, +1.01019202209E+000, +2.05328365818E+002
+6.52000000000E+006, +1.46685205048E+000, +2.17346519856E+002
+6.86500000000E+006, +1.56671125460E+000, +2.29272496107E+002
+7.21000000000E+006, +1.82252967931E+000, +2.41002700121E+002
+7.55500000000E+006, +1.57099979316E+000, +2.53839041976E+002
+7.90000000000E+006, +1.85308431884E+000, +2.66041681364E+002
+8.24500000000E+006, +1.32743017619E+000, +2.78668889509E+002
+8.59000000000E+006, +1.42121236548E+000, +2.91039846917E+002
+8.93500000000E+006, +1.27657035836E+000, +3.03828259841E+002
+9.28000000000E+006, +3.16870704329E-001, +3.16259146862E+002
+9.62500000000E+006, +1.32239174833E+000, +3.29536864185E+002
+9.97000000000E+006, +6.93169216838E-001, +3.43099511875E+002
+1.03150000000E+007, +7.76988182166E-001, +3.56216292391E+002
+1.06600000000E+007, -8.75608373605E-002, +3.69804280633E+002
+1.10050000000E+007, +1.95604712544E-001, +3.83609610097E+002
+1.13500000000E+007, +5.76592251106E-001, +3.97345743290E+002
+1.16950000000E+007, -2.90884184085E-001, +4.11302527557E+002
+1.20400000000E+007, +1.93285946839E-001, +4.26703147962E+002
+1.23850000000E+007, -2.04993878341E-001, +4.41427501330E+002
+1.27300000000E+007, -2.34090822522E-001, +4.56096258510E+002
+1.30750000000E+007, -3.12580178842E-001, +4.71828635269E+002
+1.34200000000E+007, -1.24968276583E+000, +4.86568208336E+002
+1.37650000000E+007, -2.89564270439E-001, +5.01156941519E+002
