"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.01000000000E+006, +5.35233154663E+001, +2.50984506450E+001
+1.25495000000E+006, +5.35778801681E+001, +3.11975894773E+001
+1.49990000000E+006, +5.35714839764E+001, +3.72016855699E+001
+1.74485000000E+006, +5.35426554246E+001, +4.33386868605E+001
+1.98980000000E+006, +5.36245715378E+001, +4.93293875577E+001
+2.23475000000E+006, +5.35009188358E+001, +5.54212524541E+001
+2.47970000000E+006, +5.36444256012E+001, +6.16317479766E+001
+2.72465000000E+006, +5.36005929547E+001, +6.76992400513E+001
+2.96960000000E+006, +5.35615872739E+001, +7.37437902895E+001
+3.21455000000E+006, +5.37060358456E+001, +7.98441077213E+001
+3.45950000000E+006, +5.37376226899E+001, +8.58704571654E+001
+3.70445000000E+006, +5.38778400692E+001, +9.21442697385E+001
+3.94940000000E+006, +5.38866838478E+001, +9.80637103335E+001
+4.19435000000E+006, +5.39725678875E+001, +1.04842014596E+002
+4.43930000000E+006, +5.38716990150E+001, +1.10818369049E+002
+4.68425000000E+006, +5.43107926530E+001, +1.16826857514E+002
+4.92920000000E+006, +5.41573550431E+001, +1.23209065250E+002
+5.17415000000E+006, +5.43381244582E+001, +1.29392454483E+002
+5.41910000000E+006, +5.43968924187E+001, +1.35910253902E+002
+5.66405000000E+006, +5.43518520117E+001, +1.41974543921E+002
+5.90900000000E+006, +5.47987396922E+001, +1.48237879451E+002
+6.15395000000E+006, +5.50504994999E+001, +1.54328854825E+002
+6.39890000000E+006, +5.49525267311E+001, +1.60742503540E+002
+6.64385000000E+006, +5.53047926573E+001, +1.67372343314E+002
+6.88880000000E+006, +5.54049380650E+001, +1.73618899256E+002
+7.13375000000E+006, +5.56664945116E+001, +1.80102106346E+002
+7.37870000000E+006, +5.58600147488E+001, +1.86488131591E+002
+7.62365000000E+006, +5.61368657454E+001, +1.93094078717E+002
+7.86860000000E+006, +5.62213877335E+001, +1.99707317632E+002
+8.11355000000E+006, +5.63733048728E+001, +2.06367571537E+002
+8.35850000000E+006, +5.65476634889E+001, +2.12532718907E+002
+8.60345000000E+006, +5.69397481871E+001, +2.19083432268E+002
+8.84840000000E+006, +5.70919505802E+001, +2.25340276989E+002
+9.09335000000E+006, +5.70351024994E+001, +2.32696441796E+002
+9.33830000000E+006, +5.77941224640E+001, +2.39344952830E+002
+9.58325000000E+006, +5.79215791256E+001, +2.46135884523E+002
+9.82820000000E+006, +5.80377106868E+001, +2.52682329844E+002
+1.00731500000E+007, +5.81160084423E+001, +2.59794678721E+002
+1.03181000000E+007, +5.85941239264E+001, +2.66940913859E+002
+1.05630500000E+007, +5.82415522471E+001, +2.73184318274E+002
+1.08080000000E+007, +5.87466694164E+001, +2.80422526932E+002
+1.10529500000E+007, +5.96396255630E+001, +2.87614416942E+002
+1.12979000000E+007, +5.97150901808E+001, +2.94627752141E+002
+1.15428500000E+007, +6.00382582167E+001, +3.02222055318E+002
+1.17878000000E+007, +6.00878051938E+001, +3.08756156483E+002
+1.20327500000E+007, +6.01436284755E+001, +3.16261627467E+002
