# Channel 1,,,,
# Trace 1,,,,
Frequency, Formatted Data, Formatted Data,,
1.00E+06,7.45E-01,2.90E+01,,
1.35E+06,8.37E-01,3.89E+01,,
1.69E+06,8.50E-01,4.88E+01,,
2.04E+06,8.52E-01,5.87E+01,,
2.38E+06,8.01E-01,6.86E+01,,
2.73E+06,8.06E-01,7.85E+01,,
3.07E+06,1.01E+00,8.86E+01,,
3.42E+06,8.48E-01,9.85E+01,,
3.76E+06,1.17E+00,1.09E+02,,
4.11E+06,1.02E+00,1.19E+02,,
4.45E+06,1.11E+00,1.29E+02,,
4.80E+06,1.05E+00,1.39E+02,,
5.14E+06,9.00E-01,1.49E+02,,
5.49E+06,7.85E-01,1.59E+02,,
5.83E+06,1.30E+00,1.69E+02,,
6.18E+06,1.46E+00,1.79E+02,,
6.52E+06,1.43E+00,1.90E+02,,
6.87E+06,1.51E+00,2.00E+02,,
7.21E+06,1.75E+00,2.10E+02,,
7.56E+06,1.89E+00,2.20E+02,,
7.90E+06,1.92E+00,2.31E+02,,
8.25E+06,1.82E+00,2.41E+02,,
8.59E+06,1.49E+00,2.51E+02,,
8.94E+06,1.42E+00,2.62E+02,,
9.28E+06,4.99E-01,2.72E+02,,
9.63E+06,1.63E+00,2.83E+02,,
9.97E+06,8.69E-01,2.94E+02,,
1.03E+07,1.08E+00,3.05E+02,,
1.07E+07,5.84E-01,3.16E+02,,
1.10E+07,8.58E-01,3.27E+02,,
1.14E+07,1.06E+00,3.38E+02,,
1.17E+07,8.60E-01,3.49E+02,,
1.20E+07,6.30E-01,3.60E+02,,
1.24E+07,4.87E-01,3.71E+02,,
1.27E+07,-4.55E-01,3.83E+02,,
1.31E+07,-7.83E-01,3.94E+02,,
1.34E+07,-8.59E-02,4.05E+02,,
1.38E+07,-3.63E-02,4.17E+02,,
1.41E+07,3.28E-01,4.30E+02,,
1.45E+07,3.35E-02,4.40E+02,,
1.48E+07,4.54E-01,4.54E+02,,
1.51E+07,-5.74E-02,4.65E+02,,
1.55E+07,-1.12E-01,4.77E+02,,
1.58E+07,1.00E+00,4.89E+02,,
1.62E+07,-2.41E-01,5.00E+02,,
1.65E+07,1.53E+00,5.12E+02,,
1.69E+07,6.33E-01,5.24E+02,,
1.72E+07,-3.24E+00,5.39E+02,,
1.76E+07,-1.95E+00,5.52E+02,,
1.79E+07,6.12E-02,5.65E+02,,
1.83E+07,2.90E-01,5.79E+02,,
1.86E+07,-9.06E-01,5.91E+02,,
1.89E+07,1.25E+00,6.04E+02,,
1.93E+07,-7.66E-01,6.18E+02,,
1.96E+07,8.42E-01,6.32E+02,,
2.00E+07,3.47E-01,6.47E+02,,
2.03E+07,3.20E-01,6.60E+02,,
2.07E+07,1.44E+00,6.78E+02,,
2.10E+07,4.03E+00,6.89E+02,,
2.14E+07,-2.52E-01,7.06E+02,,
2.17E+07,4.77E+00,7.24E+02,,
2.20E+07,1.31E+00,7.34E+02,,
2.24E+07,1.74E+00,7.53E+02,,
2.27E+07,2.10E+00,7.67E+02,,
2.31E+07,4.73E+00,7.85E+02,,
2.34E+07,6.64E+00,7.99E+02,,
2.38E+07,8.55E+00,8.18E+02,,
2.41E+07,5.20E+00,8.31E+02,,
2.45E+07,3.82E+00,8.47E+02,,
2.48E+07,3.27E+00,8.62E+02,,
2.52E+07,4.91E+00,8.89E+02,,
2.55E+07,5.54E+00,9.01E+02,,
2.58E+07,4.65E+00,9.21E+02,,
2.62E+07,6.76E+00,9.49E+02,,
2.65E+07,5.55E+00,9.63E+02,,
2.69E+07,7.46E+00,9.81E+02,,
2.72E+07,8.81E+00,1.00E+03,,
2.76E+07,9.44E+00,1.03E+03,,
2.79E+07,9.17E+00,1.04E+03,,
2.83E+07,9.39E+00,1.07E+03,,
2.86E+07,5.10E+00,1.09E+03,,
2.89E+07,1.14E+01,1.12E+03,,
2.93E+07,1.24E+01,1.14E+03,,
2.96E+07,1.22E+01,1.17E+03,,
3.00E+07,1.40E+01,1.20E+03,,
3.03E+07,1.54E+01,1.22E+03,,
3.07E+07,1.81E+01,1.25E+03,,
3.10E+07,1.69E+01,1.28E+03,,
3.14E+07,1.18E+01,1.31E+03,,
3.17E+07,8.28E+00,1.35E+03,,
3.21E+07,2.13E+01,1.37E+03,,
3.24E+07,2.70E+01,1.40E+03,,
3.27E+07,2.87E+01,1.43E+03,,
3.31E+07,2.08E+01,1.47E+03,,
3.34E+07,2.34E+01,1.51E+03,,
