"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.16468730297E-001, +2.28328595786E-001
+1.34500000000E+006, +2.63745777818E-001, +2.89537826096E-001
+1.69000000000E+006, +3.16092059201E-001, +3.36681229993E-001
+2.03500000000E+006, +3.73330874388E-001, +3.72720754986E-001
+2.38000000000E+006, +4.27924428222E-001, +3.97325937783E-001
+2.72500000000E+006, +4.81160533787E-001, +4.13770928854E-001
+3.07000000000E+006, +5.30330304157E-001, +4.20691765142E-001
+3.41500000000E+006, +5.76513419778E-001, +4.22132578860E-001
+3.76000000000E+006, +6.16649998796E-001, +4.20554756359E-001
+4.10500000000E+006, +6.53640723890E-001, +4.14143053708E-001
+4.45000000000E+006, +6.85874616636E-001, +4.08586832644E-001
+4.79500000000E+006, +7.15353222380E-001, +3.97125093176E-001
+5.14000000000E+006, +7.41838088176E-001, +3.87025407136E-001
+5.48500000000E+006, +7.64817732243E-001, +3.76726471524E-001
+5.83000000000E+006, +7.84578278642E-001, +3.64131511887E-001
+6.17500000000E+006, +8.02632926339E-001, +3.52324786298E-001
+6.52000000000E+006, +8.17991706887E-001, +3.42195920482E-001
+6.86500000000E+006, +8.32440368171E-001, +3.31177256471E-001
+7.21000000000E+006, +8.45421451274E-001, +3.20526908595E-001
+7.55500000000E+006, +8.56915314482E-001, +3.10842739751E-001
+7.90000000000E+006, +8.67318732470E-001, +3.00826830004E-001
+8.24500000000E+006, +8.76987561948E-001, +2.91322012724E-001
+8.59000000000E+006, +8.86198143739E-001, +2.81870572999E-001
+8.93500000000E+006, +8.94092774043E-001, +2.72949163437E-001
+9.28000000000E+006, +9.01234655449E-001, +2.64927042296E-001
+9.62500000000E+006, +9.07820624568E-001, +2.56450700574E-001
+9.97000000000E+006, +9.14058009077E-001, +2.48083943281E-001
+1.03150000000E+007, +9.19252120434E-001, +2.40819964070E-001
+1.06600000000E+007, +9.24355677741E-001, +2.33355928065E-001
+1.10050000000E+007, +9.28685891696E-001, +2.26494272729E-001
+1.13500000000E+007, +9.33361320928E-001, +2.19133187247E-001
+1.16950000000E+007, +9.37077789753E-001, +2.12638996027E-001
+1.20400000000E+007, +9.40763172034E-001, +2.06421043793E-001
+1.23850000000E+007, +9.43916683605E-001, +2.00320710930E-001
+1.27300000000E+007, +9.47179602046E-001, +1.94867026897E-001
+1.30750000000E+007, +9.50188293549E-001, +1.89275981647E-001
+1.34200000000E+007, +9.52549890557E-001, +1.84251067789E-001
+1.37650000000E+007, +9.55350856475E-001, +1.78359414341E-001
+1.41100000000E+007, +9.57495875079E-001, +1.73861248939E-001
+1.44550000000E+007, +9.58952726766E-001, +1.68884744458E-001
+1.48000000000E+007, +9.61380583668E-001, +1.63858671791E-001
+1.51450000000E+007, +9.63381470759E-001, +1.60464635624E-001
+1.54900000000E+007, +9.64893258881E-001, +1.56112111973E-001
+1.58350000000E+007, +9.66865274481E-001, +1.52156415539E-001
+1.61800000000E+007, +9.67901212432E-001, +1.47610341243E-001
+1.65250000000E+007, +9.69503637450E-001, +1.43632453838E-001
+1.68700000000E+007, +9.70894607537E-001, +1.39670671291E-001
+1.72150000000E+007, +9.72153477005E-001, +1.35682938814E-001
+1.75600000000E+007, +9.73556190925E-001, +1.32016238686E-001
+1.79050000000E+007, +9.73851863623E-001, +1.28391492314E-001
+1.82500000000E+007, +9.74781949016E-001, +1.25694958605E-001
+1.85950000000E+007, +9.76223393733E-001, +1.22620907425E-001
+1.89400000000E+007, +9.77550087575E-001, +1.18381648248E-001
+1.92850000000E+007, +9.77838620141E-001, +1.15823349677E-001
+1.96300000000E+007, +9.79411481165E-001, +1.13175662809E-001
+1.99750000000E+007, +9.79577946780E-001, +1.09937390903E-001
+2.03200000000E+007, +9.80860317787E-001, +1.07170808714E-001
+2.06650000000E+007, +9.80435157985E-001, +1.03831377757E-001
+2.10100000000E+007, +9.81383952367E-001, +1.01320136087E-001
+2.13550000000E+007, +9.82154919315E-001, +9.86270047710E-002
+2.17000000000E+007, +9.82800688108E-001, +9.55172814609E-002
+2.20450000000E+007, +9.83111212921E-001, +9.29502311112E-002
+2.23900000000E+007, +9.83981155450E-001, +9.03595286580E-002
+2.27350000000E+007, +9.85166445574E-001, +8.74730099143E-002
+2.30800000000E+007, +9.84351845353E-001, +8.58462465242E-002
+2.34250000000E+007, +9.85609777492E-001, +8.28963562440E-002
+2.37700000000E+007, +9.85674626460E-001, +8.06740549557E-002
+2.41150000000E+007, +9.86351585895E-001, +7.76465411833E-002
+2.44600000000E+007, +9.86554903545E-001, +7.52043503636E-002
+2.48050000000E+007, +9.86734583517E-001, +7.32582619241E-002
+2.51500000000E+007, +9.87126387346E-001, +7.13515331302E-002
+2.54950000000E+007, +9.87165144824E-001, +6.89941593177E-002
+2.58400000000E+007, +9.87822455331E-001, +6.72112452840E-002
+2.61850000000E+007, +9.88323403506E-001, +6.49100295280E-002
+2.65300000000E+007, +9.88512160181E-001, +6.26685886798E-002
+2.68750000000E+007, +9.88833942049E-001, +6.05134169818E-002
+2.72200000000E+007, +9.88978406548E-001, +5.85023405400E-002
+2.75650000000E+007, +9.88861947867E-001, +5.67192389425E-002
+2.79100000000E+007, +9.89872438395E-001, +5.44060580847E-002
+2.82550000000E+007, +9.89883438804E-001, +5.25133647698E-002
+2.86000000000E+007, +9.90275654954E-001, +5.02907719027E-002
+2.89450000000E+007, +9.90131316638E-001, +4.82724661098E-002
+2.92900000000E+007, +9.90577089698E-001, +4.73532838985E-002
+2.96350000000E+007, +9.90935514762E-001, +4.44886417702E-002
+2.99800000000E+007, +9.90709321721E-001, +4.20698944480E-002
+3.03250000000E+007, +9.91086880993E-001, +4.04999791665E-002
+3.06700000000E+007, +9.91181693558E-001, +3.86550427088E-002
+3.10150000000E+007, +9.91369038840E-001, +3.67783008135E-002
+3.13600000000E+007, +9.91952989522E-001, +3.46212772495E-002
+3.17050000000E+007, +9.91692524698E-001, +3.28837051902E-002
+3.20500000000E+007, +9.91474726718E-001, +3.05467020434E-002
+3.23950000000E+007, +9.91896805549E-001, +2.88340880844E-002
+3.27400000000E+007, +9.91980646641E-001, +2.70408474944E-002
+3.30850000000E+007, +9.92296170960E-001, +2.47638190920E-002
+3.34300000000E+007, +9.92614649555E-001, +2.36127236751E-002
+3.37750000000E+007, +9.92378966148E-001, +2.14221345119E-002
+3.41200000000E+007, +9.92345346180E-001, +1.95949578196E-002
+3.44650000000E+007, +9.92755355222E-001, +1.74400085352E-002
+3.48100000000E+007, +9.93125226450E-001, +1.61111778752E-002
+3.51550000000E+007, +9.92618786239E-001, +1.37369769642E-002
+3.55000000000E+007, +9.93219888666E-001, +1.20162251324E-002
+3.58450000000E+007, +9.92753107687E-001, +1.01006927573E-002
+3.61900000000E+007, +9.92923823180E-001, +7.36915335305E-003
+3.65350000000E+007, +9.93257730950E-001, +6.32354282972E-003
+3.68800000000E+007, +9.93061604718E-001, +3.70161853963E-003
+3.72250000000E+007, +9.92484048530E-001, +1.76684867607E-003
+3.75700000000E+007, +9.92713298651E-001, +4.15531316514E-005
+3.79150000000E+007, +9.92760705359E-001, -2.47750235971E-003
+3.82600000000E+007, +9.92994555034E-001, -4.08751871301E-003
+3.86050000000E+007, +9.92597578741E-001, -6.20128915330E-003
+3.89500000000E+007, +9.92288371397E-001, -8.14382881876E-003
+3.92950000000E+007, +9.92504108305E-001, -1.01470926565E-002
+3.96400000000E+007, +9.92638750134E-001, -1.26305114728E-002
+3.99850000000E+007, +9.92041583498E-001, -1.48179116327E-002
+4.03300000000E+007, +9.92032992368E-001, -1.66028107954E-002
+4.06750000000E+007, +9.92314365912E-001, -1.93170060017E-002
+4.10200000000E+007, +9.92458693811E-001, -2.05602814207E-002
+4.13650000000E+007, +9.92020209963E-001, -2.37837493047E-002
+4.17100000000E+007, +9.91636978331E-001, -2.61466835936E-002
+4.20550000000E+007, +9.91196182768E-001, -2.78979666251E-002
+4.24000000000E+007, +9.91290151512E-001, -3.05059814586E-002
+4.27450000000E+007, +9.90544331342E-001, -3.23528081711E-002
+4.30900000000E+007, +9.90646639149E-001, -3.51420147670E-002
+4.34350000000E+007, +9.90220575962E-001, -3.77613209932E-002
+4.37800000000E+007, +9.89640663968E-001, -4.03705970923E-002
+4.41250000000E+007, +9.90126086344E-001, -4.25163265323E-002
+4.44700000000E+007, +9.89629828646E-001, -4.54596419215E-002
+4.48150000000E+007, +9.89170412316E-001, -4.84504053600E-002
+4.51600000000E+007, +9.89110708604E-001, -5.07494473100E-002
+4.55050000000E+007, +9.88525305766E-001, -5.39039637407E-002
+4.58500000000E+007, +9.88345800325E-001, -5.70317224888E-002
+4.61950000000E+007, +9.88060551688E-001, -5.97229138192E-002
+4.65400000000E+007, +9.86932764697E-001, -6.30292852947E-002
+4.68850000000E+007, +9.87050725160E-001, -6.69116514768E-002
+4.72300000000E+007, +9.86073518804E-001, -7.01199807996E-002
+4.75750000000E+007, +9.85975338221E-001, -7.34300643109E-002
+4.79200000000E+007, +9.85105344042E-001, -7.68549522259E-002
+4.82650000000E+007, +9.83862748344E-001, -8.05975953806E-002
+4.86100000000E+007, +9.83271508949E-001, -8.43479400046E-002
+4.89550000000E+007, +9.82250223090E-001, -8.83282959129E-002
+4.93000000000E+007, +9.81228495741E-001, -9.21576842603E-002
+4.96450000000E+007, +9.79962526998E-001, -9.71940721724E-002
+4.99900000000E+007, +9.78589534706E-001, -1.01386071002E-001
+5.03350000000E+007, +9.77021060658E-001, -1.05625730957E-001
+5.06800000000E+007, +9.75854446154E-001, -1.10674322549E-001
+5.10250000000E+007, +9.73902838942E-001, -1.16046809227E-001
+5.13700000000E+007, +9.72495969125E-001, -1.21523383964E-001
+5.17150000000E+007, +9.70849612945E-001, -1.26573543232E-001
+5.20600000000E+007, +9.67923488659E-001, -1.32550923672E-001
+5.24050000000E+007, +9.65750530067E-001, -1.38679275218E-001
+5.27500000000E+007, +9.62868078597E-001, -1.45704913028E-001
