"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.01000000000E+006, +6.92016432559E+001, +3.37121891210E+001
+1.25495000000E+006, +6.90950198482E+001, +4.19052406833E+001
+1.49990000000E+006, +6.92458512348E+001, +4.99092192316E+001
+1.74485000000E+006, +6.92259940319E+001, +5.81149539243E+001
+1.98980000000E+006, +6.92343651085E+001, +6.62232997856E+001
+2.23475000000E+006, +6.94016757300E+001, +7.43756537154E+001
+2.47970000000E+006, +6.94788103744E+001, +8.25659533290E+001
+2.72465000000E+006, +6.95582968326E+001, +9.07231079677E+001
+2.96960000000E+006, +6.95942302051E+001, +9.91214173665E+001
+3.21455000000E+006, +7.01523718751E+001, +1.07065860150E+002
+3.45950000000E+006, +7.02545212899E+001, +1.15252628613E+002
+3.70445000000E+006, +7.04880305974E+001, +1.23698460675E+002
+3.94940000000E+006, +7.07313160169E+001, +1.31666354906E+002
+4.19435000000E+006, +7.12817227509E+001, +1.40353691028E+002
+4.43930000000E+006, +7.11593409451E+001, +1.48366566071E+002
+4.68425000000E+006, +7.15589331310E+001, +1.56958575211E+002
+4.92920000000E+006, +7.16983938851E+001, +1.65294728292E+002
+5.17415000000E+006, +7.21116912490E+001, +1.73619067804E+002
+5.41910000000E+006, +7.23888427718E+001, +1.82247305131E+002
+5.66405000000E+006, +7.28958453101E+001, +1.90642836675E+002
+5.90900000000E+006, +7.36081642677E+001, +1.99163015397E+002
+6.15395000000E+006, +7.40411744363E+001, +2.07491566628E+002
+6.39890000000E+006, +7.39656978793E+001, +2.15904081001E+002
+6.64385000000E+006, +7.51124048232E+001, +2.24708433961E+002
+6.88880000000E+006, +7.53424135935E+001, +2.33118322914E+002
+7.13375000000E+006, +7.57593782550E+001, +2.41772853394E+002
+7.37870000000E+006, +7.66462058172E+001, +2.50469404703E+002
+7.62365000000E+006, +7.73956753941E+001, +2.59241259969E+002
+7.86860000000E+006, +7.75377499902E+001, +2.68384892242E+002
+8.11355000000E+006, +7.85057879482E+001, +2.77549394437E+002
+8.35850000000E+006, +7.85620526622E+001, +2.85935593813E+002
+8.60345000000E+006, +7.96009377727E+001, +2.94980584635E+002
+8.84840000000E+006, +7.99098354588E+001, +3.03158024796E+002
+9.09335000000E+006, +7.99184484906E+001, +3.12707672464E+002
+9.33830000000E+006, +8.14542974912E+001, +3.22517512001E+002
+9.58325000000E+006, +8.19264207878E+001, +3.30951454133E+002
+9.82820000000E+006, +8.21362406958E+001, +3.40694178247E+002
+1.00731500000E+007, +8.24495746406E+001, +3.49989138882E+002
+1.03181000000E+007, +8.45100134139E+001, +3.59141522508E+002
+1.05630500000E+007, +8.43518401798E+001, +3.68858748403E+002
+1.08080000000E+007, +8.50147240937E+001, +3.77716075949E+002
+1.10529500000E+007, +8.59808060021E+001, +3.88568378961E+002
+1.12979000000E+007, +8.67652487082E+001, +3.98509322716E+002
