"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +5.76111664350E+001, +2.75233822074E+001
+1.34500000000E+006, +5.76918983759E+001, +3.70674335173E+001
+1.69000000000E+006, +5.77441804695E+001, +4.65652076843E+001
+2.03500000000E+006, +5.78037065139E+001, +5.61590614512E+001
+2.38000000000E+006, +5.78010628319E+001, +6.55305180764E+001
+2.72500000000E+006, +5.77835511282E+001, +7.52267481221E+001
+3.07000000000E+006, +5.79274781113E+001, +8.46790268540E+001
+3.41500000000E+006, +5.80781901605E+001, +9.45211349545E+001
+3.76000000000E+006, +5.80839948925E+001, +1.04055393780E+002
+4.10500000000E+006, +5.84215389187E+001, +1.13784100966E+002
+4.45000000000E+006, +5.80420981115E+001, +1.23052065119E+002
+4.79500000000E+006, +5.85471578860E+001, +1.33070795959E+002
+5.14000000000E+006, +5.87864709341E+001, +1.42797315727E+002
+5.48500000000E+006, +5.91077035472E+001, +1.52777333978E+002
+5.83000000000E+006, +5.96014881085E+001, +1.62310654167E+002
+6.17500000000E+006, +5.98372648514E+001, +1.72388265606E+002
+6.52000000000E+006, +5.99447629900E+001, +1.81917616927E+002
+6.86500000000E+006, +6.02693039880E+001, +1.91680913647E+002
+7.21000000000E+006, +6.05909418582E+001, +2.01560569035E+002
+7.55500000000E+006, +6.07329287956E+001, +2.11670648127E+002
+7.90000000000E+006, +6.08886493930E+001, +2.21509940636E+002
+8.24500000000E+006, +6.16415621898E+001, +2.31714912248E+002
+8.59000000000E+006, +6.13030645712E+001, +2.42306893331E+002
+8.93500000000E+006, +6.18125873429E+001, +2.52784925670E+002
+9.28000000000E+006, +6.14025101428E+001, +2.63360351159E+002
+9.62500000000E+006, +6.20142011476E+001, +2.73995171575E+002
+9.97000000000E+006, +6.19050207774E+001, +2.84925885309E+002
+1.03150000000E+007, +6.20910707138E+001, +2.95381308996E+002
+1.06600000000E+007, +6.27092700574E+001, +3.07126206902E+002
+1.10050000000E+007, +6.30342946814E+001, +3.17300097899E+002
+1.13500000000E+007, +6.37486145017E+001, +3.28656743039E+002
+1.16950000000E+007, +6.44799791698E+001, +3.40199509238E+002
+1.20400000000E+007, +6.44061430800E+001, +3.51834844059E+002
+1.23850000000E+007, +6.52676843205E+001, +3.62812166306E+002
+1.27300000000E+007, +6.49938563878E+001, +3.74647189547E+002
+1.30750000000E+007, +6.54989014213E+001, +3.86406511161E+002
+1.34200000000E+007, +6.57325804781E+001, +3.97651312949E+002
+1.37650000000E+007, +6.67424321821E+001, +4.09761644662E+002
+1.41100000000E+007, +6.71284429838E+001, +4.22470689542E+002
+1.44550000000E+007, +6.80413930910E+001, +4.34801239478E+002
+1.48000000000E+007, +6.89111413901E+001, +4.48162525012E+002
+1.51450000000E+007, +6.90016320392E+001, +4.59273471571E+002
+1.54900000000E+007, +7.02962021339E+001, +4.72138753944E+002
+1.58350000000E+007, +7.03721245958E+001, +4.86073173688E+002
+1.61800000000E+007, +7.16246709247E+001, +4.98330464632E+002
+1.65250000000E+007, +7.42026194884E+001, +5.11685760615E+002
+1.68700000000E+007, +7.33101194578E+001, +5.25186321060E+002
+1.72150000000E+007, +7.33591046792E+001, +5.41032518159E+002
+1.75600000000E+007, +7.43626763614E+001, +5.53988664685E+002
