"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +5.83069487305E+001, +2.61873400763E+001
+1.34500000000E+006, +5.82769317354E+001, +3.53748438798E+001
+1.69000000000E+006, +5.82899915601E+001, +4.43559638776E+001
+2.03500000000E+006, +5.84237043347E+001, +5.35442139061E+001
+2.38000000000E+006, +5.84307292180E+001, +6.24864232500E+001
+2.72500000000E+006, +5.85219874842E+001, +7.16033087449E+001
+3.07000000000E+006, +5.86228306026E+001, +8.07072893773E+001
+3.41500000000E+006, +5.87613816336E+001, +9.00212815153E+001
+3.76000000000E+006, +5.89018571009E+001, +9.90297036179E+001
+4.10500000000E+006, +5.94336497772E+001, +1.08474023688E+002
+4.45000000000E+006, +5.90281730636E+001, +1.17619868856E+002
+4.79500000000E+006, +5.92675624419E+001, +1.27173330373E+002
+5.14000000000E+006, +5.95998489510E+001, +1.36546786747E+002
+5.48500000000E+006, +5.99605116582E+001, +1.45994416319E+002
+5.83000000000E+006, +6.04864608399E+001, +1.55370791786E+002
+6.17500000000E+006, +6.08172376322E+001, +1.65330416354E+002
+6.52000000000E+006, +6.10160625681E+001, +1.74260867601E+002
+6.86500000000E+006, +6.14115379681E+001, +1.83998643379E+002
+7.21000000000E+006, +6.20030710523E+001, +1.93460182290E+002
+7.55500000000E+006, +6.19336995215E+001, +2.03459166712E+002
+7.90000000000E+006, +6.23104596151E+001, +2.13054505737E+002
+8.24500000000E+006, +6.28307072898E+001, +2.22957582391E+002
+8.59000000000E+006, +6.29665425600E+001, +2.33659296115E+002
+8.93500000000E+006, +6.32258196929E+001, +2.43562519598E+002
+9.28000000000E+006, +6.33447908497E+001, +2.53996658380E+002
+9.62500000000E+006, +6.43064750798E+001, +2.64761036559E+002
+9.97000000000E+006, +6.39953818434E+001, +2.75654179326E+002
+1.03150000000E+007, +6.43715895615E+001, +2.85951703540E+002
+1.06600000000E+007, +6.53951737632E+001, +2.97467945130E+002
+1.10050000000E+007, +6.56561146547E+001, +3.07994059738E+002
+1.13500000000E+007, +6.62835977943E+001, +3.19520422559E+002
+1.16950000000E+007, +6.69466513124E+001, +3.30906518891E+002
+1.20400000000E+007, +6.71244577511E+001, +3.42866557348E+002
+1.23850000000E+007, +6.80563560204E+001, +3.54172754644E+002
+1.27300000000E+007, +6.83376358969E+001, +3.65972151712E+002
+1.30750000000E+007, +6.91825104191E+001, +3.77506619384E+002
+1.34200000000E+007, +6.97519398817E+001, +3.89694469538E+002
+1.37650000000E+007, +7.06294392715E+001, +4.03254986197E+002
+1.41100000000E+007, +7.18586347142E+001, +4.15469958841E+002
+1.44550000000E+007, +7.29014824405E+001, +4.28254680708E+002
+1.48000000000E+007, +7.31977885211E+001, +4.42807419120E+002
+1.51450000000E+007, +7.41316524584E+001, +4.52805916117E+002
+1.54900000000E+007, +7.57966562970E+001, +4.67897520605E+002
+1.58350000000E+007, +7.54467772619E+001, +4.81913909427E+002
+1.61800000000E+007, +7.72362155957E+001, +4.95575725517E+002
+1.65250000000E+007, +7.80926703590E+001, +5.09449438544E+002
+1.68700000000E+007, +7.97778625359E+001, +5.23862525856E+002
+1.72150000000E+007, +8.11294597718E+001, +5.41177616533E+002
+1.75600000000E+007, +8.12514267089E+001, +5.55009335684E+002
+1.79050000000E+007, +8.47831741477E+001, +5.71243512518E+002
+1.82500000000E+007, +8.61550051577E+001, +5.86115182235E+002
+1.85950000000E+007, +8.64397751056E+001, +6.03227855689E+002
+1.89400000000E+007, +8.70246695303E+001, +6.21406136936E+002
+1.92850000000E+007, +9.14123326823E+001, +6.39282331119E+002
+1.96300000000E+007, +8.97917816340E+001, +6.55184792650E+002
+1.99750000000E+007, +9.47666351448E+001, +6.75015757222E+002
+2.03200000000E+007, +9.70269170541E+001, +6.95956735549E+002
+2.06650000000E+007, +1.02142750849E+002, +7.12630858476E+002
+2.10100000000E+007, +1.02423359404E+002, +7.31702643512E+002
+2.13550000000E+007, +1.06187394476E+002, +7.52994884880E+002
+2.17000000000E+007, +1.08828652471E+002, +7.73780612779E+002
+2.20450000000E+007, +1.11896772265E+002, +7.95586962395E+002
+2.23900000000E+007, +1.14261585994E+002, +8.18150403863E+002
+2.27350000000E+007, +1.15158470575E+002, +8.45521681486E+002
+2.30800000000E+007, +1.19506774533E+002, +8.64529407556E+002
+2.34250000000E+007, +1.25076921020E+002, +8.88584891236E+002
+2.37700000000E+007, +1.28491570631E+002, +9.18855933953E+002
+2.41150000000E+007, +1.33668187455E+002, +9.47544602940E+002
+2.44600000000E+007, +1.40795544438E+002, +9.73958772644E+002
