"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +2.05815758927E-001, +8.47708015362E-001
+2.66777963272E+005, +2.12261191098E-001, +2.23757109862E+000
+4.33555926544E+005, +2.29531686659E-001, +3.64077836715E+000
+6.00333889816E+005, +2.95342596863E-001, +4.99442840872E+000
+7.67111853088E+005, +3.23992270696E-001, +6.38171416444E+000
+9.33889816361E+005, +3.42713471728E-001, +7.71016058443E+000
+1.10066777963E+006, +3.23095668483E-001, +9.07004041927E+000
+1.26744574290E+006, +3.91250741744E-001, +1.04148477078E+001
+1.43422370618E+006, +3.19213542100E-001, +1.17773939689E+001
+1.60100166945E+006, +4.21911223886E-001, +1.31008498636E+001
+1.76777963272E+006, +4.25454199529E-001, +1.44410214257E+001
+1.93455759599E+006, +4.57102089507E-001, +1.57609307284E+001
+2.10133555927E+006, +4.67891908375E-001, +1.71178619079E+001
+2.26811352254E+006, +5.00484220957E-001, +1.84614041101E+001
+2.43489148581E+006, +4.96834956192E-001, +1.98246736517E+001
+2.60166944908E+006, +5.11241629635E-001, +2.11342826441E+001
+2.76844741235E+006, +4.93634900446E-001, +2.24967440848E+001
+2.93522537563E+006, +5.07687344497E-001, +2.38229766040E+001
+3.10200333890E+006, +5.76343908339E-001, +2.51461414240E+001
+3.26878130217E+006, +4.81028048932E-001, +2.64829940159E+001
+3.43555926544E+006, +5.51521565532E-001, +2.78396695482E+001
+3.60233722871E+006, +5.70974063177E-001, +2.91792870681E+001
+3.76911519199E+006, +5.30698057375E-001, +3.05499912535E+001
+3.93589315526E+006, +5.09427200396E-001, +3.18185024861E+001
+4.10267111853E+006, +5.62762336507E-001, +3.33017470988E+001
+4.26944908180E+006, +5.58133397449E-001, +3.46119116212E+001
+4.43622704508E+006, +5.96386130434E-001, +3.58748406203E+001
+4.60300500835E+006, +6.05733899310E-001, +3.72762741263E+001
+4.76978297162E+006, +5.81469168764E-001, +3.85230141576E+001
+4.93656093489E+006, +6.35194073629E-001, +3.99513053236E+001
+5.10333889816E+006, +6.35007543662E-001, +4.12384214060E+001
+5.27011686144E+006, +6.73055849450E-001, +4.27082824404E+001
