"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +1.43400235118E+001, +1.10316121918E+000
+2.66777963272E+005, +1.43383970226E+001, +2.97278003782E+000
+4.33555926544E+005, +1.43286985198E+001, +4.85409328888E+000
+6.00333889816E+005, +1.43638150667E+001, +6.66179115673E+000
+7.67111853088E+005, +1.43835751964E+001, +8.52861032623E+000
+9.33889816361E+005, +1.44021330226E+001, +1.03750569332E+001
+1.10066777963E+006, +1.43778503765E+001, +1.22528854546E+001
+1.26744574290E+006, +1.43992877232E+001, +1.40692327889E+001
+1.43422370618E+006, +1.43599503462E+001, +1.59441289410E+001
+1.60100166945E+006, +1.44087006543E+001, +1.77475288406E+001
+1.76777963272E+006, +1.44325777400E+001, +1.95799243164E+001
+1.93455759599E+006, +1.44091036762E+001, +2.13841657208E+001
+2.10133555927E+006, +1.44334868722E+001, +2.32503648436E+001
+2.26811352254E+006, +1.44454794020E+001, +2.50832532378E+001
+2.43489148581E+006, +1.44450601602E+001, +2.69767619258E+001
+2.60166944908E+006, +1.44399185902E+001, +2.87326015218E+001
+2.76844741235E+006, +1.44605340383E+001, +3.06339223044E+001
+2.93522537563E+006, +1.44428331484E+001, +3.24423043495E+001
+3.10200333890E+006, +1.44852385196E+001, +3.42315779122E+001
+3.26878130217E+006, +1.44284467589E+001, +3.61207420281E+001
+3.43555926544E+006, +1.44928971058E+001, +3.79684900928E+001
+3.60233722871E+006, +1.45178348199E+001, +3.98072231453E+001
+3.76911519199E+006, +1.44827614338E+001, +4.17332568477E+001
+3.93589315526E+006, +1.44160978243E+001, +4.34356450512E+001
+4.10267111853E+006, +1.44951015623E+001, +4.54164286944E+001
+4.26944908180E+006, +1.44979429020E+001, +4.72122132981E+001
+4.43622704508E+006, +1.44878135960E+001, +4.90103793773E+001
+4.60300500835E+006, +1.45295995012E+001, +5.09026454139E+001
+4.76978297162E+006, +1.45092905549E+001, +5.27134076804E+001
+4.93656093489E+006, +1.45455434274E+001, +5.45694511096E+001
+5.10333889816E+006, +1.45690929178E+001, +5.63383565106E+001
+5.27011686144E+006, +1.46382150084E+001, +5.83439531814E+001
+5.43689482471E+006, +1.45586189536E+001, +6.01696656542E+001
+5.60367278798E+006, +1.46195962670E+001, +6.20764256836E+001
+5.77045075125E+006, +1.45236638308E+001, +6.38229235085E+001
+5.93722871452E+006, +1.46449883545E+001, +6.57014648163E+001
+6.10400667780E+006, +1.46402318978E+001, +6.75990203172E+001
+6.27078464107E+006, +1.46751079889E+001, +6.94156222729E+001
+6.43756260434E+006, +1.47034413702E+001, +7.13095885357E+001
+6.60434056761E+006, +1.47101064583E+001, +7.31164742349E+001
+6.77111853088E+006, +1.48136681429E+001, +7.49574832284E+001
+6.93789649416E+006, +1.47517594185E+001, +7.68720239184E+001
+7.10467445743E+006, +1.47931511276E+001, +7.86799651975E+001
+7.27145242070E+006, +1.48145761900E+001, +8.05294367343E+001
+7.43823038397E+006, +1.48758448234E+001, +8.23485887410E+001
+7.60500834725E+006, +1.48070588739E+001, +8.42602836035E+001
+7.77178631052E+006, +1.48685534000E+001, +8.61626543432E+001
+7.93856427379E+006, +1.48790163243E+001, +8.79605928747E+001
+8.10534223706E+006, +1.49424891341E+001, +8.98350301126E+001
+8.27212020033E+006, +1.49354443904E+001, +9.16886140141E+001
+8.43889816361E+006, +1.48897985136E+001, +9.36073323315E+001
+8.60567612688E+006, +1.48579904263E+001, +9.54514624464E+001
+8.77245409015E+006, +1.48604512182E+001, +9.72649845077E+001
+8.93923205342E+006, +1.49478009995E+001, +9.91702259618E+001
+9.10601001669E+006, +1.49850590263E+001, +1.01109982075E+002
+9.27278797997E+006, +1.50034802788E+001, +1.02971086807E+002
+9.43956594324E+006, +1.49731825635E+001, +1.04849093425E+002
+9.60634390651E+006, +1.49905554124E+001, +1.06709128111E+002
+9.77312186978E+006, +1.49513519051E+001, +1.08508689842E+002
+9.93989983306E+006, +1.50717805835E+001, +1.10453840158E+002
+1.01066777963E+007, +1.49778838153E+001, +1.12308538644E+002
+1.02734557596E+007, +1.50554311423E+001, +1.14228784208E+002
+1.04402337229E+007, +1.50192657138E+001, +1.16107501573E+002
+1.06070116861E+007, +1.50031028345E+001, +1.17948056919E+002
+1.07737896494E+007, +1.50279118621E+001, +1.19876371223E+002
+1.09405676127E+007, +1.51390167444E+001, +1.21785021046E+002
+1.11073455760E+007, +1.50910859642E+001, +1.23789435160E+002
+1.12741235392E+007, +1.51237649400E+001, +1.25526357380E+002
+1.14409015025E+007, +1.51952382421E+001, +1.27511292896E+002
+1.16076794658E+007, +1.52617482423E+001, +1.29397465490E+002
+1.17744574290E+007, +1.52226675394E+001, +1.31387158309E+002
+1.19412353923E+007, +1.51631917066E+001, +1.33140946995E+002
+1.21080133556E+007, +1.50829555081E+001, +1.35112225930E+002
+1.22747913189E+007, +1.52719532202E+001, +1.37100254522E+002
+1.24415692821E+007, +1.51691896562E+001, +1.38864589354E+002
+1.26083472454E+007, +1.51728955343E+001, +1.40862018417E+002
+1.27751252087E+007, +1.53947431960E+001, +1.42691300925E+002
+1.29419031720E+007, +1.52304146409E+001, +1.44677254518E+002
+1.31086811352E+007, +1.54009571279E+001, +1.46671466068E+002
+1.32754590985E+007, +1.54110304024E+001, +1.48554577736E+002
+1.34422370618E+007, +1.53408694439E+001, +1.50338677882E+002
+1.36090150250E+007, +1.56210388704E+001, +1.52329730481E+002
+1.37757929883E+007, +1.54481082816E+001, +1.54259411657E+002
+1.39425709516E+007, +1.56008238554E+001, +1.56270669362E+002
+1.41093489149E+007, +1.56332697678E+001, +1.58096169691E+002
+1.42761268781E+007, +1.57784462674E+001, +1.60014333895E+002
+1.44429048414E+007, +1.58437252386E+001, +1.61817367220E+002
+1.46096828047E+007, +1.55883712359E+001, +1.64047077143E+002
+1.47764607679E+007, +1.57214376074E+001, +1.65612009933E+002
+1.49432387312E+007, +1.57343293367E+001, +1.67685283503E+002
+1.51100166945E+007, +1.56692613545E+001, +1.69751248195E+002
+1.52767946578E+007, +1.58101190513E+001, +1.71582752924E+002
+1.54435726210E+007, +1.59061834595E+001, +1.73539166017E+002
+1.56103505843E+007, +1.59260261558E+001, +1.75593406342E+002
+1.57771285476E+007, +1.57556534024E+001, +1.77482437390E+002
+1.59439065109E+007, +1.59337345198E+001, +1.79450055523E+002
+1.61106844741E+007, +1.58596721068E+001, +1.81337523225E+002
+1.62774624374E+007, +1.60119582725E+001, +1.83288766693E+002
+1.64442404007E+007, +1.59309416205E+001, +1.85328983574E+002
+1.66110183639E+007, +1.60661968730E+001, +1.87209651112E+002
+1.67777963272E+007, +1.61222555145E+001, +1.89517196751E+002
+1.69445742905E+007, +1.61880217980E+001, +1.91166870181E+002
+1.71113522538E+007, +1.56399316193E+001, +1.93006923110E+002
+1.72781302170E+007, +1.60841898893E+001, +1.95396109505E+002
+1.74449081803E+007, +1.59614970761E+001, +1.97243813769E+002
+1.76116861436E+007, +1.62060470213E+001, +1.99215445965E+002
+1.77784641068E+007, +1.59276086660E+001, +2.00929674740E+002
+1.79452420701E+007, +1.61892750433E+001, +2.03107539530E+002
+1.81120200334E+007, +1.63831883332E+001, +2.05161460043E+002
+1.82787979967E+007, +1.64941846232E+001, +2.07251828114E+002
+1.84455759599E+007, +1.65968492506E+001, +2.09380088047E+002
+1.86123539232E+007, +1.68024477915E+001, +2.11212100857E+002
+1.87791318865E+007, +1.65110892935E+001, +2.13315361234E+002
+1.89459098497E+007, +1.67209425791E+001, +2.15197380120E+002
+1.91126878130E+007, +1.69076419108E+001, +2.17255982913E+002
+1.92794657763E+007, +1.68692961375E+001, +2.19298349048E+002
+1.94462437396E+007, +1.67123464031E+001, +2.21653000708E+002
+1.96130217028E+007, +1.68804217550E+001, +2.23507524951E+002
+1.97797996661E+007, +1.72688202888E+001, +2.25422029433E+002
+1.99465776294E+007, +1.68549389197E+001, +2.27340696123E+002
+2.01133555927E+007, +1.70275175139E+001, +2.29267523230E+002
+2.02801335559E+007, +1.72132307892E+001, +2.31528744996E+002
+2.04469115192E+007, +1.76141313396E+001, +2.33745798276E+002
+2.06136894825E+007, +1.72732485494E+001, +2.35707161508E+002
+2.07804674457E+007, +1.74722278291E+001, +2.37891394006E+002
+2.09472454090E+007, +1.73792102734E+001, +2.40035445320E+002
+2.11140233723E+007, +1.77526546736E+001, +2.41861316119E+002
+2.12808013356E+007, +1.79232886368E+001, +2.43849415816E+002
+2.14475792988E+007, +1.78582428291E+001, +2.46276273042E+002
+2.16143572621E+007, +1.80145337095E+001, +2.48063632660E+002
+2.17811352254E+007, +1.78058331510E+001, +2.50081560678E+002
+2.19479131886E+007, +1.84485639345E+001, +2.52271558475E+002
+2.21146911519E+007, +1.86666792105E+001, +2.54214317152E+002
+2.22814691152E+007, +1.84163920488E+001, +2.56462218557E+002
+2.24482470785E+007, +1.85495468273E+001, +2.58682446838E+002
+2.26150250417E+007, +1.89253291673E+001, +2.60759517291E+002
+2.27818030050E+007, +1.90677844862E+001, +2.63084901798E+002
+2.29485809683E+007, +1.89279250761E+001, +2.65062529644E+002
+2.31153589316E+007, +1.89089138209E+001, +2.67189511578E+002
+2.32821368948E+007, +1.95360322672E+001, +2.69302433864E+002
+2.34489148581E+007, +1.95872219419E+001, +2.71308255948E+002
+2.36156928214E+007, +1.99057862816E+001, +2.73555720843E+002
+2.37824707846E+007, +1.96047195860E+001, +2.75527208714E+002
+2.39492487479E+007, +2.00329622164E+001, +2.77627457959E+002
+2.41160267112E+007, +2.03741175427E+001, +2.79736229614E+002
+2.42828046745E+007, +2.01384898917E+001, +2.81759849320E+002
+2.44495826377E+007, +2.04068479911E+001, +2.84067235652E+002
