"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +7.72735897414E+001, +1.65539175192E+000
+1.03010033445E+005, +7.69988035368E+001, +1.66188530707E+000
+1.06020066890E+005, +7.70665957083E+001, +1.83595720985E+000
+1.09030100334E+005, +7.69767601550E+001, +1.81076632543E+000
+1.12040133779E+005, +7.70525429848E+001, +1.88097806229E+000
+1.15050167224E+005, +7.71713544039E+001, +1.89145622678E+000
+1.18060200669E+005, +7.70033118705E+001, +2.02895762705E+000
+1.21070234114E+005, +7.71015403174E+001, +2.11735399005E+000
+1.24080267559E+005, +7.70099036425E+001, +2.15400407205E+000
+1.27090301003E+005, +7.70244200776E+001, +2.20603358598E+000
+1.30100334448E+005, +7.69402647512E+001, +2.33740816972E+000
+1.33110367893E+005, +7.70295435214E+001, +2.34795316480E+000
+1.36120401338E+005, +7.70558664240E+001, +2.25835587604E+000
+1.39130434783E+005, +7.70754563145E+001, +2.36247449922E+000
+1.42140468227E+005, +7.70417829323E+001, +2.55032623171E+000
+1.45150501672E+005, +7.70125007384E+001, +2.56749607486E+000
+1.48160535117E+005, +7.70572593961E+001, +2.60822686820E+000
+1.51170568562E+005, +7.71004888044E+001, +2.61976522386E+000
+1.54180602007E+005, +7.70858572358E+001, +2.62370105719E+000
+1.57190635452E+005, +7.70750673837E+001, +2.71201623356E+000
+1.60200668896E+005, +7.70555557552E+001, +2.85679135418E+000
+1.63210702341E+005, +7.70908890747E+001, +2.86903498137E+000
+1.66220735786E+005, +7.70939354027E+001, +2.92189547673E+000
+1.69230769231E+005, +7.70529113301E+001, +2.98725766688E+000
+1.72240802676E+005, +7.70358023936E+001, +3.12621331805E+000
+1.75250836120E+005, +7.69471817168E+001, +3.06904616230E+000
+1.78260869565E+005, +7.70842766595E+001, +3.10903925583E+000
+1.81270903010E+005, +7.70885332229E+001, +3.19533053855E+000
+1.84280936455E+005, +7.70264943484E+001, +3.24044368385E+000
+1.87290969900E+005, +7.71744893397E+001, +3.30752468167E+000
+1.90301003344E+005, +7.71334903648E+001, +3.26574856367E+000
+1.93311036789E+005, +7.70217980358E+001, +3.41746413396E+000
+1.96321070234E+005, +7.70967780150E+001, +3.46411145745E+000
+1.99331103679E+005, +7.71511598179E+001, +3.58040455765E+000
+2.02341137124E+005, +7.71785134087E+001, +3.56283034009E+000
+2.05351170569E+005, +7.70380694751E+001, +3.65337632630E+000
+2.08361204013E+005, +7.71178228745E+001, +3.67174719821E+000
+2.11371237458E+005, +7.70841911374E+001, +3.63035030668E+000
+2.14381270903E+005, +7.71446375184E+001, +3.61441808252E+000
+2.17391304348E+005, +7.72233017234E+001, +3.73707125253E+000
+2.20401337793E+005, +7.71007297755E+001, +3.79858663818E+000
+2.23411371237E+005, +7.71088093422E+001, +3.84581568386E+000
+2.26421404682E+005, +7.71512459157E+001, +3.79170087773E+000
+2.29431438127E+005, +7.70879712905E+001, +3.97445765847E+000
+2.32441471572E+005, +7.70759182912E+001, +4.06423193762E+000
