"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +3.72228635686E+001, +2.91457873956E+001
+1.34500000000E+006, +3.71173655310E+001, +3.91400763298E+001
+1.69000000000E+006, +3.71625919109E+001, +4.91503121542E+001
+2.03500000000E+006, +3.71966479533E+001, +5.91357041250E+001
+2.38000000000E+006, +3.71539474682E+001, +6.90882183781E+001
+2.72500000000E+006, +3.71687334774E+001, +7.91234892617E+001
+3.07000000000E+006, +3.71102257435E+001, +8.91383159213E+001
+3.41500000000E+006, +3.72497088915E+001, +9.91113390271E+001
+3.76000000000E+006, +3.72881780220E+001, +1.09259681522E+002
+4.10500000000E+006, +3.67320465491E+001, +1.19169582684E+002
+4.45000000000E+006, +3.72900016490E+001, +1.29049010634E+002
+4.79500000000E+006, +3.74808803465E+001, +1.39484870960E+002
+5.14000000000E+006, +3.76112758981E+001, +1.49205551495E+002
+5.48500000000E+006, +3.76862600179E+001, +1.59559069515E+002
+5.83000000000E+006, +3.79389306260E+001, +1.69295407186E+002
+6.17500000000E+006, +3.81323531056E+001, +1.79903050840E+002
+6.52000000000E+006, +3.84866371236E+001, +1.89734358916E+002
+6.86500000000E+006, +3.86925950294E+001, +1.99689872013E+002
+7.21000000000E+006, +3.87706475197E+001, +2.09516528375E+002
+7.55500000000E+006, +3.89621904082E+001, +2.19862979309E+002
+7.90000000000E+006, +3.91098368138E+001, +2.30201581051E+002
+8.24500000000E+006, +3.87993710655E+001, +2.40549379272E+002
+8.59000000000E+006, +3.87688109410E+001, +2.50803494731E+002
+8.93500000000E+006, +3.93876792262E+001, +2.60573831536E+002
+9.28000000000E+006, +3.89041438810E+001, +2.71793412709E+002
+9.62500000000E+006, +3.91443245947E+001, +2.82195601362E+002
+9.97000000000E+006, +3.94428740905E+001, +2.92629744239E+002
+1.03150000000E+007, +3.93568016437E+001, +3.03241730063E+002
+1.06600000000E+007, +3.92243736618E+001, +3.14267674184E+002
+1.10050000000E+007, +3.98159015483E+001, +3.23885666150E+002
+1.13500000000E+007, +4.01380241544E+001, +3.36037516153E+002
+1.16950000000E+007, +4.00362877096E+001, +3.46904717787E+002
+1.20400000000E+007, +4.01111370447E+001, +3.57385039351E+002
+1.23850000000E+007, +4.04283310501E+001, +3.67733765703E+002
+1.27300000000E+007, +3.99469759892E+001, +3.78456652453E+002
+1.30750000000E+007, +4.15630676590E+001, +3.90546813620E+002
+1.34200000000E+007, +4.17398686170E+001, +4.02042122374E+002
+1.37650000000E+007, +4.24402226202E+001, +4.12256805538E+002
+1.41100000000E+007, +4.22911323761E+001, +4.24598075752E+002
+1.44550000000E+007, +4.34930510929E+001, +4.35475774061E+002
+1.48000000000E+007, +4.24110726002E+001, +4.46993383772E+002
+1.51450000000E+007, +4.34329440939E+001, +4.60113983065E+002
+1.54900000000E+007, +4.45361771729E+001, +4.71365112102E+002
+1.58350000000E+007, +4.51089051150E+001, +4.81916013119E+002
+1.61800000000E+007, +4.59711818788E+001, +4.96427463223E+002
+1.65250000000E+007, +4.50767765779E+001, +5.06976564505E+002
+1.68700000000E+007, +4.76836242394E+001, +5.21115184419E+002
+1.72150000000E+007, +4.66276069551E+001, +5.34728491990E+002
+1.75600000000E+007, +4.86169339118E+001, +5.47008648926E+002
+1.79050000000E+007, +4.91949638053E+001, +5.60155617721E+002
+1.82500000000E+007, +5.22707111712E+001, +5.70342829419E+002
+1.85950000000E+007, +5.31894432479E+001, +5.85229707866E+002
+1.89400000000E+007, +5.41191637000E+001, +5.99165632800E+002
+1.92850000000E+007, +5.53445447791E+001, +6.14828140930E+002
+1.96300000000E+007, +5.64793735721E+001, +6.28807324784E+002
+1.99750000000E+007, +5.68187019102E+001, +6.44533851931E+002
+2.03200000000E+007, +5.70520482012E+001, +6.61987564491E+002
+2.06650000000E+007, +5.77274492104E+001, +6.73525104918E+002
+2.10100000000E+007, +6.16011218278E+001, +6.95057027126E+002
+2.13550000000E+007, +6.25152678733E+001, +7.10408314756E+002
+2.17000000000E+007, +6.61653089129E+001, +7.25111264619E+002
+2.20450000000E+007, +6.58250917309E+001, +7.43031946135E+002
+2.23900000000E+007, +6.89502076037E+001, +7.64763483877E+002
+2.27350000000E+007, +7.29470142804E+001, +7.86160635021E+002
+2.30800000000E+007, +7.81893858646E+001, +8.03840099521E+002
+2.34250000000E+007, +8.21488197414E+001, +8.25065270184E+002
+2.37700000000E+007, +9.02752201666E+001, +8.46803035998E+002
+2.41150000000E+007, +9.73897874017E+001, +8.69659236995E+002
+2.44600000000E+007, +1.03471416272E+002, +8.95125797512E+002
+2.48050000000E+007, +1.13542930490E+002, +9.18354464990E+002
+2.51500000000E+007, +1.23488522297E+002, +9.43312588237E+002
+2.54950000000E+007, +1.34503501456E+002, +9.61904292699E+002
+2.58400000000E+007, +1.41158601733E+002, +9.82599911095E+002
+2.61850000000E+007, +1.49778792399E+002, +1.00049074072E+003
+2.65300000000E+007, +1.54568289248E+002, +1.03031401619E+003
+2.68750000000E+007, +1.56092388199E+002, +1.06503642810E+003
+2.72200000000E+007, +1.63184352083E+002, +1.10270664569E+003
+2.75650000000E+007, +1.71987674623E+002, +1.14209671294E+003
+2.79100000000E+007, +1.87593037724E+002, +1.18549325057E+003
+2.82550000000E+007, +2.04551837151E+002, +1.22859608089E+003
+2.86000000000E+007, +2.23002905018E+002, +1.28914289896E+003
+2.89450000000E+007, +2.47132600088E+002, +1.32812295489E+003
+2.92900000000E+007, +2.85557525245E+002, +1.38552625478E+003
+2.96350000000E+007, +3.11283876860E+002, +1.45679907515E+003
+2.99800000000E+007, +3.49636683113E+002, +1.51552072815E+003
+3.03250000000E+007, +3.96780540835E+002, +1.57769680542E+003
+3.06700000000E+007, +4.51237203074E+002, +1.67310084902E+003
+3.10150000000E+007, +5.23185418068E+002, +1.76816487669E+003
+3.13600000000E+007, +6.12340232149E+002, +1.85659196547E+003
+3.17050000000E+007, +7.07214183393E+002, +1.95977678008E+003
+3.20500000000E+007, +8.64667695892E+002, +2.09361057335E+003
+3.23950000000E+007, +1.04267701782E+003, +2.20494303503E+003
+3.27400000000E+007, +1.29195284903E+003, +2.35648145649E+003
+3.30850000000E+007, +1.64893282872E+003, +2.43948466400E+003
+3.34300000000E+007, +2.03643518373E+003, +2.42792033791E+003
+3.37750000000E+007, +2.52479541076E+003, +2.45273144812E+003
+3.41200000000E+007, +3.09668860533E+003, +2.16302119028E+003
+3.44650000000E+007, +3.54735282788E+003, +1.69958828103E+003
+3.48100000000E+007, +3.85440320860E+003, +9.82421990998E+002
+3.51550000000E+007, +3.92864632394E+003, +2.89422941723E+002
+3.55000000000E+007, +3.69530638520E+003, -5.30307954157E+002
+3.58450000000E+007, +3.25886477451E+003, -1.07297196079E+003
+3.61900000000E+007, +2.62039858012E+003, -1.38595084468E+003
+3.65350000000E+007, +2.14026858664E+003, -1.46778344038E+003
+3.68800000000E+007, +1.76748569971E+003, -1.43208408352E+003
+3.72250000000E+007, +1.46064917899E+003, -1.34838411333E+003
+3.75700000000E+007, +1.25337057120E+003, -1.26005994261E+003
+3.79150000000E+007, +1.09237792678E+003, -1.17062808415E+003
+3.82600000000E+007, +9.49107908888E+002, -1.10107490156E+003
+3.86050000000E+007, +8.25080739075E+002, -1.03780069699E+003
+3.89500000000E+007, +7.03779282834E+002, -9.70859678894E+002
+3.92950000000E+007, +6.13499168898E+002, -9.02735415183E+002
+3.96400000000E+007, +5.25194333006E+002, -8.28581587888E+002
+3.99850000000E+007, +4.53749062626E+002, -7.59129175272E+002
+4.03300000000E+007, +3.96855926952E+002, -6.89133377352E+002
+4.06750000000E+007, +3.48273623282E+002, -6.21678992236E+002
+4.10200000000E+007, +3.08632033592E+002, -5.63835365969E+002
