"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +8.44695891492E-001, +2.71662008378E+001
+1.34500000000E+006, +9.13140729664E-001, +3.63228426188E+001
+1.69000000000E+006, +9.23279492804E-001, +4.55235231961E+001
+2.03500000000E+006, +1.01997220499E+000, +5.47752743560E+001
+2.38000000000E+006, +1.03277165902E+000, +6.38823429134E+001
+2.72500000000E+006, +9.94061315333E-001, +7.31556917409E+001
+3.07000000000E+006, +1.10999940690E+000, +8.22814549334E+001
+3.41500000000E+006, +1.17594670905E+000, +9.15299868731E+001
+3.76000000000E+006, +1.30846955162E+000, +1.00950678732E+002
+4.10500000000E+006, +1.06126482884E+000, +1.10048026196E+002
+4.45000000000E+006, +1.32952396559E+000, +1.19191846946E+002
+4.79500000000E+006, +1.32638318741E+000, +1.28568205900E+002
+5.14000000000E+006, +1.29680539520E+000, +1.37546477060E+002
+5.48500000000E+006, +1.25716563362E+000, +1.47171412605E+002
+5.83000000000E+006, +1.65093989265E+000, +1.56229228978E+002
+6.17500000000E+006, +1.50454731287E+000, +1.65728292049E+002
+6.52000000000E+006, +2.19714572782E+000, +1.74786222451E+002
+6.86500000000E+006, +2.23096454216E+000, +1.84234577273E+002
+7.21000000000E+006, +2.56022072041E+000, +1.93327555439E+002
+7.55500000000E+006, +2.46753509494E+000, +2.02615121418E+002
+7.90000000000E+006, +2.66953575428E+000, +2.12128324600E+002
+8.24500000000E+006, +2.22392453901E+000, +2.21281417228E+002
+8.59000000000E+006, +2.14787302370E+000, +2.30554068689E+002
+8.93500000000E+006, +2.62418152789E+000, +2.40128520364E+002
+9.28000000000E+006, +1.74255886606E+000, +2.49234544865E+002
+9.62500000000E+006, +2.15436104232E+000, +2.58725425404E+002
+9.97000000000E+006, +1.89143346851E+000, +2.68325081195E+002
+1.03150000000E+007, +1.86441938456E+000, +2.78279172298E+002
+1.06600000000E+007, +1.42628785570E+000, +2.87691847128E+002
+1.10050000000E+007, +1.84726884597E+000, +2.97298162485E+002
+1.13500000000E+007, +1.89725251879E+000, +3.07614660712E+002
+1.16950000000E+007, +1.65482017747E+000, +3.17340602344E+002
+1.20400000000E+007, +1.44845974895E+000, +3.26816939844E+002
+1.23850000000E+007, +1.41413759536E+000, +3.36504298014E+002
+1.27300000000E+007, +1.73084311569E+000, +3.46202419990E+002
+1.30750000000E+007, +1.55448111654E+000, +3.56919225247E+002
+1.34200000000E+007, +1.96600874266E+000, +3.66375814157E+002
+1.37650000000E+007, +1.81797281539E+000, +3.76316129215E+002
+1.41100000000E+007, +2.34622269893E+000, +3.86144716806E+002
+1.44550000000E+007, +2.08714176138E+000, +3.96527646260E+002
+1.48000000000E+007, +1.61491243938E+000, +4.06781616721E+002
+1.51450000000E+007, +1.95042575476E+000, +4.17653173928E+002
+1.54900000000E+007, +2.45720297676E+000, +4.28380824205E+002
+1.58350000000E+007, +2.87144189604E+000, +4.38573341088E+002
+1.61800000000E+007, +3.40548028357E+000, +4.50268095691E+002
+1.65250000000E+007, +2.94396297260E+000, +4.60743699319E+002
+1.68700000000E+007, +3.32436769971E+000, +4.72687387476E+002
+1.72150000000E+007, +2.87969667019E+000, +4.83789521674E+002
+1.75600000000E+007, +4.32296977330E+000, +4.95209194186E+002
+1.79050000000E+007, +4.69827096518E+000, +5.06081837476E+002
+1.82500000000E+007, +4.70176960285E+000, +5.17105447504E+002
+1.85950000000E+007, +7.63601177500E+000, +5.27911058030E+002
+1.89400000000E+007, +8.28811775344E+000, +5.39579806412E+002
+1.92850000000E+007, +6.73011465247E+000, +5.51101804973E+002
+1.96300000000E+007, +6.63676405864E+000, +5.61494703992E+002
+1.99750000000E+007, +7.32546129520E+000, +5.73456611999E+002
+2.03200000000E+007, +6.50047957800E+000, +5.88694571472E+002
+2.06650000000E+007, +6.41453198385E+000, +5.99024366016E+002
+2.10100000000E+007, +6.93386833846E+000, +6.16114877846E+002
+2.13550000000E+007, +6.20374926585E+000, +6.30143266687E+002
+2.17000000000E+007, +9.73085695706E+000, +6.42696292725E+002
+2.20450000000E+007, +5.59650474039E+000, +6.56029771306E+002
+2.23900000000E+007, +8.36181918636E+000, +6.74143478099E+002
+2.27350000000E+007, +8.13393110168E+000, +6.91569574200E+002
+2.30800000000E+007, +1.08635473961E+001, +7.06414093969E+002
+2.34250000000E+007, +1.37192905081E+001, +7.21911351634E+002
+2.37700000000E+007, +1.62266365322E+001, +7.36489973103E+002
+2.41150000000E+007, +1.85577506405E+001, +7.56722130574E+002
+2.44600000000E+007, +2.15764175045E+001, +7.78488050351E+002
+2.48050000000E+007, +2.67834214210E+001, +7.95975701702E+002
+2.51500000000E+007, +3.00382005230E+001, +8.16436523285E+002
+2.54950000000E+007, +3.59249553804E+001, +8.38210419502E+002
+2.58400000000E+007, +4.00800440821E+001, +8.49701821451E+002
+2.61850000000E+007, +4.60886125060E+001, +8.66320253597E+002
+2.65300000000E+007, +3.97434599064E+001, +8.91907491015E+002
+2.68750000000E+007, +4.32809548688E+001, +9.13996804199E+002
+2.72200000000E+007, +4.34327070437E+001, +9.39179785285E+002
+2.75650000000E+007, +5.13564057558E+001, +9.64858788242E+002
+2.79100000000E+007, +4.95300561362E+001, +9.99672897974E+002
+2.82550000000E+007, +5.01747523237E+001, +1.03008829809E+003
+2.86000000000E+007, +5.39321203044E+001, +1.06297422669E+003
+2.89450000000E+007, +6.77877883606E+001, +1.10314193674E+003
+2.92900000000E+007, +7.85994013042E+001, +1.14109919631E+003
+2.96350000000E+007, +9.12505720623E+001, +1.19049061782E+003
+2.99800000000E+007, +1.02918083729E+002, +1.22820530459E+003
+3.03250000000E+007, +1.07111860961E+002, +1.28164894599E+003
+3.06700000000E+007, +1.24407575265E+002, +1.33364715391E+003
+3.10150000000E+007, +1.38761834103E+002, +1.39939840079E+003
+3.13600000000E+007, +1.72803533933E+002, +1.45525742669E+003
+3.17050000000E+007, +1.92591103620E+002, +1.53355728327E+003
+3.20500000000E+007, +2.43481756138E+002, +1.62425410661E+003
+3.23950000000E+007, +2.70628689500E+002, +1.71396481192E+003
+3.27400000000E+007, +3.30835711330E+002, +1.82641382321E+003
+3.30850000000E+007, +4.14507468312E+002, +1.96080525502E+003
+3.34300000000E+007, +5.08094077799E+002, +2.08098141786E+003
+3.37750000000E+007, +6.31351209091E+002, +2.25388583311E+003
+3.41200000000E+007, +8.03930197582E+002, +2.42848253244E+003
+3.44650000000E+007, +1.06123473048E+003, +2.62884295995E+003
+3.48100000000E+007, +1.42755378053E+003, +2.83284899922E+003
+3.51550000000E+007, +1.89960556002E+003, +2.94406130143E+003
+3.55000000000E+007, +2.50328740216E+003, +3.03720942222E+003
+3.58450000000E+007, +3.39453031661E+003, +2.87244696076E+003
+3.61900000000E+007, +4.30947438667E+003, +2.09661368548E+003
+3.65350000000E+007, +4.69010066156E+003, +9.70482833984E+002
+3.68800000000E+007, +4.57520274044E+003, -7.11646228992E+001
+3.72250000000E+007, +4.00497529749E+003, -1.02097935939E+003
+3.75700000000E+007, +3.31995474511E+003, -1.57433571357E+003
+3.79150000000E+007, +2.63971632611E+003, -1.65820242264E+003
+3.82600000000E+007, +2.11689300548E+003, -1.71501598741E+003
+3.86050000000E+007, +1.72948272048E+003, -1.64778960743E+003
+3.89500000000E+007, +1.38694888809E+003, -1.57787595177E+003
+3.92950000000E+007, +1.13105750377E+003, -1.46302328105E+003
+3.96400000000E+007, +9.08885759631E+002, -1.33944851705E+003
+3.99850000000E+007, +7.37937871875E+002, -1.20551156481E+003
+4.03300000000E+007, +6.18642444175E+002, -1.09345461421E+003
+4.06750000000E+007, +5.18071663431E+002, -9.76345948054E+002
+4.10200000000E+007, +4.34263568481E+002, -8.74378493437E+002
+4.13650000000E+007, +3.79429002156E+002, -7.84598270664E+002
+4.17100000000E+007, +3.30939017442E+002, -7.03312212172E+002
+4.20550000000E+007, +2.91092734729E+002, -6.32159270538E+002
+4.24000000000E+007, +2.60711117058E+002, -5.65551888887E+002
+4.27450000000E+007, +2.35801606906E+002, -5.02004425668E+002
+4.30900000000E+007, +2.14120266649E+002, -4.48695324781E+002
+4.34350000000E+007, +1.98991314432E+002, -4.02380249983E+002
+4.37800000000E+007, +1.84715129204E+002, -3.61847487146E+002
+4.41250000000E+007, +1.72254290471E+002, -3.24279018803E+002
+4.44700000000E+007, +1.58771418811E+002, -2.92045407209E+002
+4.48150000000E+007, +1.44629658107E+002, -2.61496659756E+002
+4.51600000000E+007, +1.31293027722E+002, -2.29729806834E+002
+4.55050000000E+007, +1.20225501968E+002, -1.99472119893E+002
+4.58500000000E+007, +1.11054870209E+002, -1.70375171929E+002
+4.61950000000E+007, +1.03378806878E+002, -1.43520926657E+002
+4.65400000000E+007, +9.72678440261E+001, -1.18020590931E+002
+4.68850000000E+007, +9.22990936104E+001, -9.42114414525E+001
+4.72300000000E+007, +8.75512560772E+001, -7.18058039570E+001
+4.75750000000E+007, +8.35377875332E+001, -5.09245418093E+001
+4.79200000000E+007, +8.06677551114E+001, -3.05832204964E+001
+4.82650000000E+007, +7.90183055192E+001, -1.19360851318E+001
+4.86100000000E+007, +7.80274227643E+001, +4.67654855356E+000
+4.89550000000E+007, +7.67988335525E+001, +1.92355529774E+001
+4.93000000000E+007, +7.52042637005E+001, +3.24927342682E+001
+4.96450000000E+007, +7.25853726938E+001, +4.47863897392E+001
+4.99900000000E+007, +6.94482050913E+001, +5.71012152201E+001
+5.03350000000E+007, +6.62142249296E+001, +6.95006514668E+001
+5.06800000000E+007, +6.35238702506E+001, +8.16765509948E+001
+5.10250000000E+007, +6.12069564949E+001, +9.35016835159E+001
+5.13700000000E+007, +5.90759308615E+001, +1.04793853572E+002
+5.17150000000E+007, +5.73028683953E+001, +1.15505999115E+002
+5.20600000000E+007, +5.53478023655E+001, +1.25527337467E+002
+5.24050000000E+007, +5.34163739791E+001, +1.35293472900E+002
+5.27500000000E+007, +5.12984722508E+001, +1.44651912920E+002
+5.30950000000E+007, +4.90481797456E+001, +1.54134673876E+002
+5.34400000000E+007, +4.66419653384E+001, +1.63223769293E+002
+5.37850000000E+007, +4.52844991861E+001, +1.72688362027E+002
+5.41300000000E+007, +4.36036055093E+001, +1.81456245546E+002
+5.44750000000E+007, +4.19945862206E+001, +1.89581202710E+002
+5.48200000000E+007, +4.06364619882E+001, +1.97877159056E+002
+5.51650000000E+007, +3.85962799064E+001, +2.05968227105E+002
+5.55100000000E+007, +3.73896609095E+001, +2.14279741966E+002
+5.58550000000E+007, +3.60493473483E+001, +2.22254612221E+002
+5.62000000000E+007, +3.49995594357E+001, +2.30319409376E+002
+5.65450000000E+007, +3.44202185832E+001, +2.38008106211E+002
+5.68900000000E+007, +3.36704658187E+001, +2.44615279174E+002
+5.72350000000E+007, +3.26823214524E+001, +2.52133271507E+002
+5.75800000000E+007, +3.15819978579E+001, +2.59368808653E+002
+5.79250000000E+007, +3.06158059154E+001, +2.66500442052E+002
+5.82700000000E+007, +2.99701507176E+001, +2.73423888129E+002
+5.86150000000E+007, +2.96755064711E+001, +2.80396983046E+002
+5.89600000000E+007, +2.95629534550E+001, +2.87781512789E+002
+5.93050000000E+007, +2.98975081661E+001, +2.94272313683E+002
+5.96500000000E+007, +3.10213484135E+001, +3.00722796691E+002
+5.99950000000E+007, +3.16220461676E+001, +3.05691666258E+002
+6.03400000000E+007, +3.16470747419E+001, +3.10596061436E+002
+6.06850000000E+007, +3.09773020100E+001, +3.14594079609E+002
+6.10300000000E+007, +2.95796615981E+001, +3.20107432647E+002
+6.13750000000E+007, +2.92436849029E+001, +3.25992536941E+002
+6.17200000000E+007, +2.82055804564E+001, +3.31633229897E+002
+6.20650000000E+007, +2.86332808911E+001, +3.37074196611E+002
+6.24100000000E+007, +2.73328918898E+001, +3.42873221267E+002
+6.27550000000E+007, +2.76200652905E+001, +3.48654110881E+002
+6.31000000000E+007, +2.73946852769E+001, +3.54268742742E+002
+6.34450000000E+007, +2.74770896687E+001, +3.60280214549E+002
+6.37900000000E+007, +2.80127559544E+001, +3.65441870251E+002
+6.41350000000E+007, +2.86756213524E+001, +3.69822812733E+002
+6.44800000000E+007, +2.78558526269E+001, +3.74868533154E+002
+6.48250000000E+007, +2.72143204626E+001, +3.79973455284E+002
+6.51700000000E+007, +2.73216178482E+001, +3.85760765891E+002
+6.55150000000E+007, +2.76937068568E+001, +3.90593671680E+002
+6.58600000000E+007, +2.74494918634E+001, +3.96439172823E+002
+6.62050000000E+007, +2.81322357177E+001, +4.01689716552E+002
+6.65500000000E+007, +2.81353019602E+001, +4.07073812078E+002
+6.68950000000E+007, +2.87707367024E+001, +4.12059648279E+002
+6.72400000000E+007, +2.94621056532E+001, +4.16669004469E+002
+6.75850000000E+007, +2.94946193236E+001, +4.20729646002E+002
+6.79300000000E+007, +2.95707093554E+001, +4.26695062774E+002
+6.82750000000E+007, +2.74441068407E+001, +4.31991211046E+002
+6.86200000000E+007, +2.79587105074E+001, +4.35800484894E+002
+6.89650000000E+007, +2.82890514320E+001, +4.40672488601E+002
+6.93100000000E+007, +2.85193937874E+001, +4.47155787976E+002
+6.96550000000E+007, +2.83214812855E+001, +4.52373116821E+002
+7.00000000000E+007, +2.90144003913E+001, +4.56046963732E+002
