"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +6.85312433569E+001, +2.08925940573E+000
+3.18898623279E+005, +6.86072714188E+001, +5.55503169393E+000
+5.37797246558E+005, +6.85861973283E+001, +9.49479728192E+000
+7.56695869837E+005, +6.85866445861E+001, +1.33111228529E+001
+9.75594493116E+005, +6.86087530076E+001, +1.71560053120E+001
+1.19449311640E+006, +6.86063646837E+001, +2.09634515292E+001
+1.41339173967E+006, +6.85546049917E+001, +2.48070899438E+001
+1.63229036295E+006, +6.85277347065E+001, +2.87219806113E+001
+1.85118898623E+006, +6.86190384421E+001, +3.26830523945E+001
+2.07008760951E+006, +6.86435790932E+001, +3.64562535382E+001
+2.28898623279E+006, +6.87393879735E+001, +4.04372985897E+001
+2.50788485607E+006, +6.87960020467E+001, +4.41765715074E+001
+2.72678347935E+006, +6.86969586798E+001, +4.81825634907E+001
+2.94568210263E+006, +6.88049462348E+001, +5.19292303346E+001
+3.16458072591E+006, +6.86692745064E+001, +5.59726778942E+001
+3.38347934919E+006, +6.89587830652E+001, +5.97582288419E+001
+3.60237797247E+006, +6.87859669194E+001, +6.33582155317E+001
+3.82127659574E+006, +6.88919708109E+001, +6.72948899797E+001
+4.04017521902E+006, +6.92153487925E+001, +7.13214544890E+001
+4.25907384230E+006, +6.88004577311E+001, +7.50656315860E+001
+4.47797246558E+006, +6.91246076183E+001, +7.90887834590E+001
+4.69687108886E+006, +6.89250438305E+001, +8.30544845926E+001
+4.91576971214E+006, +6.90037774442E+001, +8.68808278460E+001
+5.13466833542E+006, +6.92079792116E+001, +9.07605274119E+001
+5.35356695870E+006, +6.92564850356E+001, +9.46588512666E+001
+5.57246558198E+006, +6.91990479184E+001, +9.84470550406E+001
+5.79136420526E+006, +6.95906669673E+001, +1.02573737308E+002
+6.01026282854E+006, +6.94863177448E+001, +1.06200876199E+002
+6.22916145181E+006, +6.97009762136E+001, +1.10307394328E+002
+6.44806007509E+006, +6.96458511409E+001, +1.13922686468E+002
+6.66695869837E+006, +6.98831972088E+001, +1.18018642668E+002
+6.88585732165E+006, +6.98141030540E+001, +1.22153299523E+002
+7.10475594493E+006, +7.00092328183E+001, +1.25847510664E+002
+7.32365456821E+006, +7.00251809049E+001, +1.29758122448E+002
+7.54255319149E+006, +7.01111892985E+001, +1.33566691123E+002
+7.76145181477E+006, +7.04360231293E+001, +1.37621001825E+002
+7.98035043805E+006, +7.05317582884E+001, +1.41688779737E+002
+8.19924906133E+006, +7.06587158499E+001, +1.45595106931E+002
+8.41814768461E+006, +7.08140580584E+001, +1.49632981894E+002
+8.63704630788E+006, +7.07347055816E+001, +1.53471554310E+002
+8.85594493116E+006, +7.10297189329E+001, +1.57514789209E+002
+9.07484355444E+006, +7.08291891548E+001, +1.61532970537E+002
+9.29374217772E+006, +7.12949021725E+001, +1.65664071916E+002
+9.51264080100E+006, +7.12320442266E+001, +1.69609874804E+002
+9.73153942428E+006, +7.15692284622E+001, +1.73865407538E+002
+9.95043804756E+006, +7.15004628635E+001, +1.77484859060E+002
+1.01693366708E+007, +7.16269703018E+001, +1.81641687042E+002
+1.03882352941E+007, +7.17012557554E+001, +1.85402795697E+002
+1.06071339174E+007, +7.17485636251E+001, +1.89720003346E+002
+1.08260325407E+007, +7.20460887029E+001, +1.93751591240E+002
+1.10449311640E+007, +7.22317485629E+001, +1.97661447569E+002
+1.12638297872E+007, +7.22406064179E+001, +2.02081180799E+002
+1.14827284105E+007, +7.26998044986E+001, +2.05955688814E+002
+1.17016270338E+007, +7.26313405578E+001, +2.10266602306E+002
+1.19205256571E+007, +7.28096248438E+001, +2.14228679608E+002
+1.21394242804E+007, +7.30589466708E+001, +2.18498338971E+002
