"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +2.24725416133E-001, +1.82829534843E+000
+2.66777963272E+005, +2.55481938654E-001, +4.82917574042E+000
+4.33555926544E+005, +2.84401937078E-001, +7.82023854554E+000
+6.00333889816E+005, +3.29649052957E-001, +1.07671439060E+001
+7.67111853088E+005, +3.65251414756E-001, +1.37708514023E+001
+9.33889816361E+005, +3.91106094635E-001, +1.66833285338E+001
+1.10066777963E+006, +3.36388412361E-001, +1.96592358994E+001
+1.26744574290E+006, +4.29984104353E-001, +2.25932730202E+001
+1.43422370618E+006, +3.21974516273E-001, +2.56084785939E+001
+1.60100166945E+006, +4.45961524186E-001, +2.84968941271E+001
+1.76777963272E+006, +4.41907114733E-001, +3.14531415719E+001
+1.93455759599E+006, +4.51977209756E-001, +3.43343909831E+001
+2.10133555927E+006, +4.39689263019E-001, +3.73016722988E+001
+2.26811352254E+006, +5.03569428425E-001, +4.02782343918E+001
+2.43489148581E+006, +4.66022394949E-001, +4.32795260573E+001
+2.60166944908E+006, +5.19977174325E-001, +4.61831400960E+001
+2.76844741235E+006, +4.36924955559E-001, +4.91946442229E+001
+2.93522537563E+006, +4.29716396986E-001, +5.21090743896E+001
+3.10200333890E+006, +5.77483238585E-001, +5.50589085218E+001
+3.26878130217E+006, +3.94298392842E-001, +5.80751503620E+001
+3.43555926544E+006, +4.75233622886E-001, +6.09595196754E+001
+3.60233722871E+006, +5.35668868310E-001, +6.40156567831E+001
+3.76911519199E+006, +4.87194578733E-001, +6.71120222850E+001
+3.93589315526E+006, +5.66510763909E-001, +6.99462521536E+001
+4.10267111853E+006, +1.91160158239E-001, +7.25547202220E+001
+4.26944908180E+006, +3.56823868355E-001, +7.62104647364E+001
+4.43622704508E+006, +4.83738404852E-001, +7.90043602394E+001
+4.60300500835E+006, +5.28603299160E-001, +8.20926737107E+001
+4.76978297162E+006, +3.95566432952E-001, +8.48869758176E+001
+4.93656093489E+006, +6.17131133532E-001, +8.79707262518E+001
+5.10333889816E+006, +5.98241759685E-001, +9.09147593285E+001
+5.27011686144E+006, +7.29148521644E-001, +9.41305025978E+001
+5.43689482471E+006, +6.46412759658E-001, +9.70381101696E+001
+5.60367278798E+006, +6.46557867997E-001, +1.00260989841E+002
+5.77045075125E+006, +5.32814193955E-001, +1.03042951259E+002
+5.93722871452E+006, +7.40081836890E-001, +1.06179918921E+002
+6.10400667780E+006, +6.90043829428E-001, +1.09232322893E+002
+6.27078464107E+006, +8.60551679340E-001, +1.12173675115E+002
+6.43756260434E+006, +9.41913325848E-001, +1.15379806833E+002
+6.60434056761E+006, +9.33669430466E-001, +1.18270321192E+002
+6.77111853088E+006, +1.09526968957E+000, +1.21278665777E+002
+6.93789649416E+006, +9.69868524935E-001, +1.24455879594E+002
+7.10467445743E+006, +9.97451398602E-001, +1.27362827985E+002
+7.27145242070E+006, +1.05505914035E+000, +1.30381200250E+002
+7.43823038397E+006, +1.09428544111E+000, +1.33412368217E+002
+7.60500834725E+006, +1.03730309421E+000, +1.36402182740E+002
+7.77178631052E+006, +1.07755794498E+000, +1.39660757844E+002
+7.93856427379E+006, +1.00649350373E+000, +1.42516271574E+002
+8.10534223706E+006, +9.99880888524E-001, +1.45611023715E+002
+8.27212020033E+006, +9.79611201382E-001, +1.48852416080E+002
+8.43889816361E+006, +7.85657595228E-001, +1.51831857815E+002
+8.60567612688E+006, +6.38710353782E-001, +1.55112457661E+002
+8.77245409015E+006, +7.91173733834E-001, +1.57964322184E+002
+8.93923205342E+006, +7.00788150296E-001, +1.61260122315E+002
+9.10601001669E+006, +6.93177935845E-001, +1.64503979921E+002
+9.27278797997E+006, +6.79507969467E-001, +1.67667094214E+002
+9.43956594324E+006, +7.70612142185E-001, +1.70739028754E+002
+9.60634390651E+006, +5.70107714356E-001, +1.73972224725E+002
+9.77312186978E+006, +5.86642387933E-001, +1.77199049421E+002
+9.93989983306E+006, +7.37515040978E-001, +1.80400890358E+002
+1.01066777963E+007, +4.34457660563E-001, +1.83688810297E+002
+1.02734557596E+007, +4.48063535985E-001, +1.87021778517E+002
+1.04402337229E+007, +6.29159082237E-001, +1.89918509295E+002
+1.06070116861E+007, +4.40729071676E-001, +1.93284646586E+002
+1.07737896494E+007, +3.86949196160E-001, +1.96606295287E+002
+1.09405676127E+007, +6.42641450607E-001, +1.99817883699E+002
+1.11073455760E+007, +4.86846698980E-001, +2.03195617656E+002
+1.12741235392E+007, +3.33558909816E-001, +2.06317220937E+002
+1.14409015025E+007, +6.03433904645E-001, +2.09925106167E+002
+1.16076794658E+007, +5.04826191822E-001, +2.13150137360E+002
+1.17744574290E+007, +5.96642310521E-001, +2.16643806183E+002
+1.19412353923E+007, +3.98861453110E-001, +2.19866665316E+002
+1.21080133556E+007, +1.48776214789E-001, +2.23113495564E+002
+1.22747913189E+007, +4.22899006164E-001, +2.26804432192E+002
+1.24415692821E+007, +1.82880114821E-001, +2.29991250896E+002
+1.26083472454E+007, +3.56063500309E-001, +2.33428956895E+002
+1.27751252087E+007, +2.79390814759E-001, +2.36604425523E+002
+1.29419031720E+007, +6.20638395740E-002, +2.39835360290E+002
+1.31086811352E+007, +4.07471570706E-001, +2.43486902312E+002
+1.32754590985E+007, +4.83399838994E-001, +2.46820707239E+002
+1.34422370618E+007, +2.40409028278E-001, +2.50392675353E+002
+1.36090150250E+007, +7.45875492232E-001, +2.53592663896E+002
+1.37757929883E+007, +3.92933065394E-001, +2.57176450150E+002
+1.39425709516E+007, +6.60125079931E-001, +2.60662134344E+002
+1.41093489149E+007, +3.68376292813E-001, +2.64301090725E+002
+1.42761268781E+007, +8.54398450545E-001, +2.67775548115E+002
+1.44429048414E+007, +7.21190452987E-001, +2.70888722886E+002
+1.46096828047E+007, +6.06891477144E-001, +2.74899391361E+002
+1.47764607679E+007, +6.84961348127E-001, +2.78090928889E+002
+1.49432387312E+007, +6.23795340054E-001, +2.81609644926E+002
+1.51100166945E+007, +2.12174379053E-001, +2.85573204229E+002
+1.52767946578E+007, +6.07828513983E-001, +2.88913708196E+002
+1.54435726210E+007, +5.65257111438E-001, +2.92520106148E+002
+1.56103505843E+007, +8.42528835465E-001, +2.96163765056E+002
+1.57771285476E+007, +7.56883270853E-001, +2.99188077005E+002
+1.59439065109E+007, +6.43126151250E-001, +3.03516332265E+002
+1.61106844741E+007, +3.92856860823E-001, +3.07132069174E+002
+1.62774624374E+007, +7.19996296937E-001, +3.10941067104E+002
