"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +4.78560156268E+001, +2.41458877124E+001
+1.16527545910E+006, +4.78729534133E+001, +2.81302747839E+001
+1.33055091820E+006, +4.79462789660E+001, +3.20965744643E+001
+1.49582637730E+006, +4.79583707187E+001, +3.61694967323E+001
+1.66110183639E+006, +4.80413373223E+001, +4.00868512959E+001
+1.82637729549E+006, +4.79770739161E+001, +4.41563635471E+001
+1.99165275459E+006, +4.81039427701E+001, +4.81344205554E+001
+2.15692821369E+006, +4.81668923690E+001, +5.21590431232E+001
+2.32220367279E+006, +4.82360536041E+001, +5.60873395441E+001
+2.48747913189E+006, +4.83101902516E+001, +6.02362120519E+001
+2.65275459098E+006, +4.82816513784E+001, +6.41884683946E+001
+2.81803005008E+006, +4.83014008675E+001, +6.83674804547E+001
+2.98330550918E+006, +4.83421818624E+001, +7.23575616573E+001
+3.14858096828E+006, +4.85373438151E+001, +7.64220842767E+001
+3.31385642738E+006, +4.85650816301E+001, +8.05901606578E+001
+3.47913188648E+006, +4.86723517343E+001, +8.46196362917E+001
+3.64440734558E+006, +4.85864006295E+001, +8.88401355324E+001
+3.80968280467E+006, +4.88827904047E+001, +9.29831474924E+001
+3.97495826377E+006, +4.89401518443E+001, +9.72629003848E+001
+4.14023372287E+006, +4.88453380829E+001, +9.91417908914E+001
+4.30550918197E+006, +4.88317413517E+001, +1.05636523134E+002
+4.47078464107E+006, +4.93269077479E+001, +1.09515476078E+002
+4.63606010017E+006, +4.93981525084E+001, +1.13590219666E+002
+4.80133555927E+006, +4.94129888777E+001, +1.18114288286E+002
+4.96661101836E+006, +4.96719206060E+001, +1.22171680132E+002
+5.13188647746E+006, +4.95405784231E+001, +1.26322016898E+002
+5.29716193656E+006, +4.97976726120E+001, +1.30852587836E+002
+5.46243739566E+006, +4.98177640148E+001, +1.35184604631E+002
+5.62771285476E+006, +4.99527553757E+001, +1.39374999464E+002
+5.79298831386E+006, +5.00504401823E+001, +1.43820231619E+002
+5.95826377295E+006, +5.03081027845E+001, +1.48199587161E+002
+6.12353923205E+006, +5.04434918884E+001, +1.52295556127E+002
+6.28881469115E+006, +5.05575908228E+001, +1.57055586740E+002
+6.45409015025E+006, +5.07224356489E+001, +1.61427423956E+002
+6.61936560935E+006, +5.09166514485E+001, +1.65933836796E+002
+6.78464106845E+006, +5.11936157280E+001, +1.70545585440E+002
+6.94991652755E+006, +5.13298938540E+001, +1.74909867190E+002
+7.11519198664E+006, +5.14391173870E+001, +1.79388459766E+002
+7.28046744574E+006, +5.17780715967E+001, +1.84160061209E+002
+7.44574290484E+006, +5.17356281357E+001, +1.88629216355E+002
+7.61101836394E+006, +5.19613296713E+001, +1.93116399675E+002
+7.77629382304E+006, +5.22172151201E+001, +1.97958873395E+002
+7.94156928214E+006, +5.21098195778E+001, +2.02666546653E+002
+8.10684474124E+006, +5.24277566885E+001, +2.07315138108E+002
+8.27212020033E+006, +5.26903164164E+001, +2.12101709088E+002
+8.43739565943E+006, +5.24578337490E+001, +2.16983990102E+002
+8.60267111853E+006, +5.25642417839E+001, +2.21830860146E+002
+8.76794657763E+006, +5.32782822915E+001, +2.26542974649E+002
+8.93322203673E+006, +5.33027801036E+001, +2.31131255561E+002
+9.09849749583E+006, +5.33636527779E+001, +2.36666815304E+002
+9.26377295492E+006, +5.35194086138E+001, +2.41823188359E+002
+9.42904841402E+006, +5.37513643400E+001, +2.46999588133E+002
+9.59432387312E+006, +5.41136597944E+001, +2.51074943291E+002
+9.75959933222E+006, +5.44017013830E+001, +2.55552499385E+002
+9.92487479132E+006, +5.43116863286E+001, +2.60534734296E+002
+1.00901502504E+007, +5.48515574578E+001, +2.64841359123E+002
+1.02554257095E+007, +5.48371252548E+001, +2.70081895244E+002
+1.04207011686E+007, +5.47563928218E+001, +2.75538174495E+002
+1.05859766277E+007, +5.49948063141E+001, +2.81370796743E+002
+1.07512520868E+007, +5.53209528127E+001, +2.86895019549E+002
+1.09165275459E+007, +5.54868029246E+001, +2.92869019526E+002
+1.10818030050E+007, +5.55519234556E+001, +2.99223455704E+002
+1.12470784641E+007, +5.59239583509E+001, +3.05719950388E+002
+1.14123539232E+007, +5.60935546557E+001, +3.12841300003E+002
+1.15776293823E+007, +5.66579696327E+001, +3.19208671537E+002
+1.17429048414E+007, +5.63393820966E+001, +3.24783683728E+002
+1.19081803005E+007, +5.70791593353E+001, +3.31105427915E+002
+1.20734557596E+007, +5.68440897064E+001, +3.36986976756E+002
+1.22387312187E+007, +5.74231252395E+001, +3.43329118130E+002
+1.24040066778E+007, +5.81349742651E+001, +3.49897289004E+002
+1.25692821369E+007, +5.83961215785E+001, +3.56350273428E+002
+1.27345575960E+007, +5.83102960899E+001, +3.63005854856E+002
+1.28998330551E+007, +5.88268509312E+001, +3.68769108086E+002
+1.30651085142E+007, +5.93500421357E+001, +3.75695739767E+002
+1.32303839733E+007, +5.91222688638E+001, +3.82280767496E+002
+1.33956594324E+007, +5.93715024453E+001, +3.89100007710E+002
+1.35609348915E+007, +6.03204751547E+001, +3.96363258150E+002
+1.37262103506E+007, +6.10061333577E+001, +4.02714175873E+002
+1.38914858097E+007, +6.13941937002E+001, +4.10966696841E+002
+1.40567612688E+007, +6.14356086558E+001, +4.18191430819E+002
+1.42220367279E+007, +6.23635916681E+001, +4.25345269914E+002
+1.43873121870E+007, +6.24983035544E+001, +4.32905132301E+002
+1.45525876461E+007, +6.24331387826E+001, +4.40379006507E+002
+1.47178631052E+007, +6.39763452599E+001, +4.47592052858E+002
+1.48831385643E+007, +6.40477453401E+001, +4.57101478873E+002
+1.50484140234E+007, +6.46023981594E+001, +4.64478074693E+002
+1.52136894825E+007, +6.42737034011E+001, +4.72997221593E+002
+1.53789649416E+007, +6.57387270308E+001, +4.80685645012E+002
+1.55442404007E+007, +6.70918155067E+001, +4.87973079983E+002
+1.57095158598E+007, +6.71484916314E+001, +4.98449300279E+002
+1.58747913189E+007, +6.71412458314E+001, +5.05992087501E+002
+1.60400667780E+007, +6.80022297149E+001, +5.15486793203E+002
+1.62053422371E+007, +6.86434984395E+001, +5.23528130653E+002
+1.63706176962E+007, +6.99983358837E+001, +5.34180145360E+002
+1.65358931553E+007, +6.96092948943E+001, +5.42665865357E+002
+1.67011686144E+007, +7.23737526425E+001, +5.53473198961E+002
+1.68664440735E+007, +7.14613831821E+001, +5.62477362018E+002
+1.70317195326E+007, +7.28210172057E+001, +5.72469133666E+002
