"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +5.31443788975E-001, +2.26644292696E+001
+1.16527545910E+006, +5.81394901311E-001, +2.63970134660E+001
+1.33055091820E+006, +6.34212467947E-001, +2.99713892711E+001
+1.49582637730E+006, +6.26001537492E-001, +3.37289661459E+001
+1.66110183639E+006, +6.71841002206E-001, +3.74054401788E+001
+1.82637729549E+006, +6.71965464893E-001, +4.10595360986E+001
+1.99165275459E+006, +7.15686284428E-001, +4.47977906245E+001
+2.15692821369E+006, +7.21864157467E-001, +4.84781589468E+001
+2.32220367279E+006, +6.82393517022E-001, +5.21710848520E+001
+2.48747913189E+006, +6.59475596350E-001, +5.58522834593E+001
+2.65275459098E+006, +6.41014293237E-001, +5.95763368189E+001
+2.81803005008E+006, +6.65725140033E-001, +6.32974246747E+001
+2.98330550918E+006, +5.94303234995E-001, +6.68433081733E+001
+3.14858096828E+006, +7.00459616397E-001, +7.05691028857E+001
+3.31385642738E+006, +8.19980013340E-001, +7.42951327408E+001
+3.47913188648E+006, +5.49718269174E-001, +7.81597396517E+001
+3.64440734558E+006, +6.39053775998E-001, +8.16706701949E+001
+3.80968280467E+006, +8.58286428582E-001, +8.53698119748E+001
+3.97495826377E+006, +8.67074045126E-001, +8.90215266528E+001
+4.14023372287E+006, +7.91031106106E-001, +9.31464759797E+001
+4.30550918197E+006, +8.52952190131E-001, +9.63069618554E+001
+4.47078464107E+006, +7.12668301074E-001, +1.00326837573E+002
+4.63606010017E+006, +6.51247032890E-001, +1.04032184398E+002
+4.80133555927E+006, +7.08527638970E-001, +1.07758669937E+002
+4.96661101836E+006, +6.90649161508E-001, +1.11342862794E+002
+5.13188647746E+006, +8.05830247954E-001, +1.15098971527E+002
+5.29716193656E+006, +6.93826790417E-001, +1.18676962225E+002
+5.46243739566E+006, +7.73646121294E-001, +1.22617324391E+002
+5.62771285476E+006, +9.66813442171E-001, +1.26293516906E+002
+5.79298831386E+006, +1.00546323615E+000, +1.30327560863E+002
+5.95826377295E+006, +9.88070699824E-001, +1.33959162595E+002
+6.12353923205E+006, +1.43836021465E+000, +1.37492657819E+002
+6.28881469115E+006, +1.11325457892E+000, +1.41292514203E+002
+6.45409015025E+006, +1.34540353078E+000, +1.45075580511E+002
+6.61936560935E+006, +1.20729289394E+000, +1.48911936695E+002
+6.78464106845E+006, +1.38181394474E+000, +1.52579435260E+002
+6.94991652755E+006, +1.35144807920E+000, +1.56379718954E+002
+7.11519198664E+006, +1.44144356198E+000, +1.60046950398E+002
+7.28046744574E+006, +1.43746487786E+000, +1.63917569213E+002
+7.44574290484E+006, +1.54748230647E+000, +1.67595969376E+002
+7.61101836394E+006, +1.51414357927E+000, +1.71215520827E+002
+7.77629382304E+006, +1.79151478385E+000, +1.75091320481E+002
+7.94156928214E+006, +1.37392223323E+000, +1.78750241774E+002
+8.10684474124E+006, +1.42557657115E+000, +1.82286596791E+002
+8.27212020033E+006, +1.48621314091E+000, +1.86301272714E+002
+8.43739565943E+006, +1.44520508642E+000, +1.90193440815E+002
+8.60267111853E+006, +1.30624012472E+000, +1.93717254674E+002
+8.76794657763E+006, +1.61509514399E+000, +1.97564032492E+002
+8.93322203673E+006, +1.32453810789E+000, +2.01362801384E+002
