"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.65802417362E+001, +2.36135491194E+001
+1.16527545910E+006, +2.66179968901E+001, +2.75057919006E+001
+1.33055091820E+006, +2.66250974701E+001, +3.13513113546E+001
+1.49582637730E+006, +2.66238265461E+001, +3.52315270419E+001
+1.66110183639E+006, +2.65826664205E+001, +3.91037221334E+001
+1.82637729549E+006, +2.65777544095E+001, +4.29993913715E+001
+1.99165275459E+006, +2.65848489058E+001, +4.68814523913E+001
+2.15692821369E+006, +2.65536506690E+001, +5.07835192002E+001
+2.32220367279E+006, +2.65212026004E+001, +5.46715430317E+001
+2.48747913189E+006, +2.66057144006E+001, +5.86155794995E+001
+2.65275459098E+006, +2.64848983268E+001, +6.25381976470E+001
+2.81803005008E+006, +2.64550339986E+001, +6.63876647047E+001
+2.98330550918E+006, +2.63863214124E+001, +7.02225064892E+001
+3.14858096828E+006, +2.65148009174E+001, +7.40758841602E+001
+3.31385642738E+006, +2.66112394587E+001, +7.79964522623E+001
+3.47913188648E+006, +2.65259106258E+001, +8.19824593156E+001
+3.64440734558E+006, +2.64279328697E+001, +8.57509537984E+001
+3.80968280467E+006, +2.66575524914E+001, +8.96477410760E+001
+3.97495826377E+006, +2.66342231502E+001, +9.34740050210E+001
+4.14023372287E+006, +2.67616241950E+001, +9.77192998546E+001
+4.30550918197E+006, +2.65895947883E+001, +1.01121915871E+002
+4.47078464107E+006, +2.65538451761E+001, +1.05445251858E+002
+4.63606010017E+006, +2.64738058860E+001, +1.09330371449E+002
+4.80133555927E+006, +2.65280041727E+001, +1.13220937860E+002
+4.96661101836E+006, +2.65614080923E+001, +1.17171210216E+002
+5.13188647746E+006, +2.65974435591E+001, +1.21097650749E+002
+5.29716193656E+006, +2.64539633035E+001, +1.24696025356E+002
+5.46243739566E+006, +2.67129487012E+001, +1.28835126832E+002
+5.62771285476E+006, +2.69386272218E+001, +1.32767254131E+002
+5.79298831386E+006, +2.69132856154E+001, +1.36810227925E+002
+5.95826377295E+006, +2.70421237147E+001, +1.40810361802E+002
+6.12353923205E+006, +2.72158944253E+001, +1.44185982629E+002
+6.28881469115E+006, +2.69904608492E+001, +1.48396762000E+002
+6.45409015025E+006, +2.72960017233E+001, +1.52190403839E+002
+6.61936560935E+006, +2.71384873870E+001, +1.56267559739E+002
+6.78464106845E+006, +2.71700837403E+001, +1.60264113398E+002
+6.94991652755E+006, +2.73640836734E+001, +1.64110310743E+002
+7.11519198664E+006, +2.74343137451E+001, +1.68037686343E+002
+7.28046744574E+006, +2.73795693248E+001, +1.72099447926E+002
+7.44574290484E+006, +2.75257232347E+001, +1.75888815311E+002
+7.61101836394E+006, +2.73143602145E+001, +1.79895338561E+002
+7.77629382304E+006, +2.75191306687E+001, +1.83680959378E+002
+7.94156928214E+006, +2.73400576152E+001, +1.87668004892E+002
+8.10684474124E+006, +2.74270714552E+001, +1.91425359482E+002
+8.27212020033E+006, +2.74384431914E+001, +1.95570208341E+002
+8.43739565943E+006, +2.76099277602E+001, +1.99848217698E+002
+8.60267111853E+006, +2.72535573491E+001, +2.03538903491E+002
+8.76794657763E+006, +2.75607770171E+001, +2.07529227546E+002
+8.93322203673E+006, +2.73594334297E+001, +2.12054640308E+002
+9.09849749583E+006, +2.74151887257E+001, +2.15621150083E+002
+9.26377295492E+006, +2.76936795967E+001, +2.20088642278E+002
+9.42904841402E+006, +2.78193151575E+001, +2.23744185292E+002
+9.59432387312E+006, +2.74737649731E+001, +2.27533345170E+002
+9.75959933222E+006, +2.72115254050E+001, +2.31564493081E+002
+9.92487479132E+006, +2.73105559106E+001, +2.35672692345E+002
+1.00901502504E+007, +2.74372082934E+001, +2.39545398144E+002
+1.02554257095E+007, +2.72546209689E+001, +2.43624930784E+002
+1.04207011686E+007, +2.76796192328E+001, +2.47864831977E+002
+1.05859766277E+007, +2.75597760759E+001, +2.52347904368E+002
+1.07512520868E+007, +2.75720908620E+001, +2.56196462582E+002
+1.09165275459E+007, +2.71111487914E+001, +2.60138892609E+002
+1.10818030050E+007, +2.77395958986E+001, +2.64815501433E+002
+1.12470784641E+007, +2.76440167407E+001, +2.68186128718E+002
+1.14123539232E+007, +2.74059246116E+001, +2.72464216248E+002
+1.15776293823E+007, +2.78393234748E+001, +2.76724276518E+002
+1.17429048414E+007, +2.76756602589E+001, +2.80663634207E+002
+1.19081803005E+007, +2.77664594948E+001, +2.85258170320E+002
+1.20734557596E+007, +2.76765261492E+001, +2.89268120076E+002
+1.22387312187E+007, +2.75340778715E+001, +2.93082723253E+002
+1.24040066778E+007, +2.79415781292E+001, +2.96929418586E+002
+1.25692821369E+007, +2.77239873560E+001, +3.01390895408E+002
+1.27345575960E+007, +2.79681218130E+001, +3.05477325978E+002
+1.28998330551E+007, +2.79495790468E+001, +3.09622202351E+002
+1.30651085142E+007, +2.71412279097E+001, +3.13869972626E+002
+1.32303839733E+007, +2.76820168728E+001, +3.18369796908E+002
+1.33956594324E+007, +2.79173466741E+001, +3.22536163357E+002
+1.35609348915E+007, +2.81647908061E+001, +3.26603577017E+002
+1.37262103506E+007, +2.75423941708E+001, +3.29742897300E+002
+1.38914858097E+007, +2.84971557940E+001, +3.34611667283E+002
+1.40567612688E+007, +2.84661380566E+001, +3.38583273674E+002
+1.42220367279E+007, +2.85403971814E+001, +3.42871403691E+002
+1.43873121870E+007, +2.83158455590E+001, +3.48153644844E+002
+1.45525876461E+007, +2.77145856965E+001, +3.51917558637E+002
+1.47178631052E+007, +2.85905505762E+001, +3.56076529504E+002
+1.48831385643E+007, +2.85379963962E+001, +3.59605384922E+002
+1.50484140234E+007, +2.84665769873E+001, +3.64972984601E+002
+1.52136894825E+007, +2.82288313807E+001, +3.68821699766E+002
+1.53789649416E+007, +2.82114677739E+001, +3.73019279784E+002
+1.55442404007E+007, +2.85819528639E+001, +3.77361205111E+002
+1.57095158598E+007, +2.91041695266E+001, +3.81226514911E+002
+1.58747913189E+007, +2.85022721914E+001, +3.86162548465E+002
+1.60400667780E+007, +2.85228229299E+001, +3.90040401012E+002
+1.62053422371E+007, +2.82689760612E+001, +3.94339093227E+002
+1.63706176962E+007, +2.86963581743E+001, +3.98860324300E+002
+1.65358931553E+007, +2.88058798002E+001, +4.03479946360E+002
+1.67011686144E+007, +3.00570770936E+001, +4.06617153888E+002
+1.68664440735E+007, +2.92687025550E+001, +4.11364378858E+002
+1.70317195326E+007, +2.75034928429E+001, +4.17444882243E+002
+1.71969949917E+007, +2.82555283665E+001, +4.21438400237E+002
+1.73622704508E+007, +2.92926754564E+001, +4.25884827692E+002
+1.75275459098E+007, +2.85614805543E+001, +4.30459836989E+002
+1.76928213689E+007, +2.90719119833E+001, +4.35165755122E+002
+1.78580968280E+007, +2.87099617774E+001, +4.39128706401E+002
+1.80233722871E+007, +3.01231309376E+001, +4.43635959323E+002
+1.81886477462E+007, +2.90298262626E+001, +4.48128663781E+002
+1.83539232053E+007, +3.01157159194E+001, +4.51933349898E+002
+1.85191986644E+007, +2.96640679178E+001, +4.57117332424E+002
+1.86844741235E+007, +2.91119849111E+001, +4.59779397276E+002
+1.88497495826E+007, +3.02761900251E+001, +4.65577845920E+002
+1.90150250417E+007, +2.93010250965E+001, +4.71242119628E+002
+1.91803005008E+007, +3.05908606717E+001, +4.74792175900E+002
+1.93455759599E+007, +3.07094755299E+001, +4.78931229647E+002
+1.95108514190E+007, +3.21313278167E+001, +4.84263598486E+002
+1.96761268781E+007, +3.10032837577E+001, +4.89056885173E+002
+1.98414023372E+007, +3.13800796506E+001, +4.92817515365E+002
+2.00066777963E+007, +3.01033183751E+001, +4.96364014042E+002
+2.01719532554E+007, +3.15902020882E+001, +5.02043732336E+002
+2.03372287145E+007, +3.25074023778E+001, +5.07675995924E+002
+2.05025041736E+007, +3.22260225416E+001, +5.11878940343E+002
