"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +5.43248022887E-001, +2.25129697098E+001
+1.16527545910E+006, +6.07250341939E-001, +2.61977573259E+001
+1.33055091820E+006, +5.77285099749E-001, +2.98377710060E+001
+1.49582637730E+006, +6.37914912101E-001, +3.35181313839E+001
+1.66110183639E+006, +6.54509580845E-001, +3.71735069408E+001
+1.82637729549E+006, +6.76080058883E-001, +4.08742773925E+001
+1.99165275459E+006, +6.87802861876E-001, +4.45645865312E+001
+2.15692821369E+006, +7.14694970458E-001, +4.81905953504E+001
+2.32220367279E+006, +6.33359146967E-001, +5.19198725332E+001
+2.48747913189E+006, +7.41516447848E-001, +5.55916950254E+001
+2.65275459098E+006, +6.64692626240E-001, +5.92336499749E+001
+2.81803005008E+006, +7.07683933796E-001, +6.28477298462E+001
+2.98330550918E+006, +5.91796449778E-001, +6.65026312320E+001
+3.14858096828E+006, +6.71558149916E-001, +7.02730887207E+001
+3.31385642738E+006, +7.28066523701E-001, +7.39498992147E+001
+3.47913188648E+006, +8.26580220932E-001, +7.76462033146E+001
+3.64440734558E+006, +7.76415905639E-001, +8.12996953432E+001
+3.80968280467E+006, +8.57457900325E-001, +8.51111213301E+001
+3.97495826377E+006, +9.09310357048E-001, +8.87208224171E+001
+4.14023372287E+006, +8.26558513457E-001, +9.26475270228E+001
+4.30550918197E+006, +8.97728978183E-001, +9.61137803625E+001
+4.47078464107E+006, +6.94789884595E-001, +9.98872811141E+001
+4.63606010017E+006, +8.08362469055E-001, +1.03419586458E+002
+4.80133555927E+006, +7.13407959180E-001, +1.07068946721E+002
+4.96661101836E+006, +8.45083985534E-001, +1.10995854128E+002
+5.13188647746E+006, +9.40153970928E-001, +1.14534123505E+002
+5.29716193656E+006, +9.52450983832E-001, +1.18238659183E+002
+5.46243739566E+006, +9.64063054109E-001, +1.22116311616E+002
+5.62771285476E+006, +7.91851362619E-001, +1.25843926846E+002
+5.79298831386E+006, +1.04947457083E+000, +1.29417872072E+002
+5.95826377295E+006, +1.12578916003E+000, +1.32923934365E+002
+6.12353923205E+006, +1.08849873747E+000, +1.36954132491E+002
+6.28881469115E+006, +1.19666911363E+000, +1.40477074516E+002
+6.45409015025E+006, +1.38527721088E+000, +1.44338352876E+002
+6.61936560935E+006, +1.19356277364E+000, +1.48006693255E+002
+6.78464106845E+006, +1.43135838805E+000, +1.51796034071E+002
+6.94991652755E+006, +1.41570511867E+000, +1.55318487503E+002
+7.11519198664E+006, +1.30176102218E+000, +1.59129919468E+002
+7.28046744574E+006, +1.61374375024E+000, +1.62799236359E+002
+7.44574290484E+006, +1.55567166549E+000, +1.66533295007E+002
+7.61101836394E+006, +1.68519033079E+000, +1.70140783572E+002
+7.77629382304E+006, +1.62677187859E+000, +1.74062659687E+002
+7.94156928214E+006, +1.50631682528E+000, +1.77591034682E+002
+8.10684474124E+006, +1.48857689850E+000, +1.81353668547E+002
+8.27212020033E+006, +1.39984550905E+000, +1.85029402725E+002
+8.43739565943E+006, +1.32697089852E+000, +1.88942639277E+002
+8.60267111853E+006, +1.16214117072E+000, +1.92877630982E+002
+8.76794657763E+006, +1.43250376696E+000, +1.96405115410E+002
+8.93322203673E+006, +1.31872339280E+000, +2.00132684176E+002
+9.09849749583E+006, +1.38154524620E+000, +2.04101540273E+002
+9.26377295492E+006, +1.22588071492E+000, +2.07739162060E+002
+9.42904841402E+006, +1.17519006539E+000, +2.11579036771E+002
+9.59432387312E+006, +1.11331577587E+000, +2.15249896345E+002
+9.75959933222E+006, +1.27246692353E+000, +2.19269863508E+002
+9.92487479132E+006, +1.42141529580E+000, +2.22827517713E+002
+1.00901502504E+007, +1.09096042489E+000, +2.26476072726E+002
+1.02554257095E+007, +1.21634338706E+000, +2.30707152240E+002
+1.04207011686E+007, +1.43360313551E+000, +2.33891806887E+002
+1.05859766277E+007, +8.69568759574E-001, +2.38104110213E+002
+1.07512520868E+007, +1.02390110673E+000, +2.42216397939E+002
+1.09165275459E+007, +1.31762435202E+000, +2.46135417111E+002
+1.10818030050E+007, +1.09165405488E+000, +2.49614122531E+002
+1.12470784641E+007, +8.97558925855E-001, +2.53630825698E+002
+1.14123539232E+007, +1.27028996601E+000, +2.57505568452E+002
+1.15776293823E+007, +9.72436597952E-001, +2.61058250583E+002
+1.17429048414E+007, +1.09622080154E+000, +2.65011463218E+002
+1.19081803005E+007, +7.83067089903E-001, +2.68785204153E+002
+1.20734557596E+007, +7.49045149937E-001, +2.72714063794E+002
+1.22387312187E+007, +7.22088315129E-001, +2.76787859571E+002
+1.24040066778E+007, +4.00178012547E-001, +2.80614906630E+002
+1.25692821369E+007, +8.87610301067E-001, +2.84380462721E+002
+1.27345575960E+007, +5.88933053547E-001, +2.88642441499E+002
+1.28998330551E+007, +6.97583617774E-001, +2.92276792562E+002
+1.30651085142E+007, +8.42217694385E-001, +2.96491579642E+002
+1.32303839733E+007, +8.25099648892E-001, +3.00471004422E+002
+1.33956594324E+007, +9.35322559360E-001, +3.04188408330E+002
+1.35609348915E+007, +1.54423339816E+000, +3.07987293917E+002
