"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +8.46076414294E-001, +2.36026820873E+001
+1.16527545910E+006, +9.21865501153E-001, +2.74592196316E+001
+1.33055091820E+006, +9.49066925234E-001, +3.13191630886E+001
+1.49582637730E+006, +9.92728266786E-001, +3.51436509847E+001
+1.66110183639E+006, +1.01330625382E+000, +3.89876108010E+001
+1.82637729549E+006, +1.08736354862E+000, +4.28871623926E+001
+1.99165275459E+006, +1.10536856082E+000, +4.67250031145E+001
+2.15692821369E+006, +1.11377241663E+000, +5.05104604991E+001
+2.32220367279E+006, +1.07609712521E+000, +5.43465343173E+001
+2.48747913189E+006, +1.17080605860E+000, +5.82179119090E+001
+2.65275459098E+006, +1.08302654365E+000, +6.20258414385E+001
+2.81803005008E+006, +1.17129429690E+000, +6.58031119270E+001
+2.98330550918E+006, +1.07418552508E+000, +6.96634870423E+001
+3.14858096828E+006, +1.06387309751E+000, +7.35992994918E+001
+3.31385642738E+006, +1.15056790577E+000, +7.74119475433E+001
+3.47913188648E+006, +1.29159409942E+000, +8.13092759845E+001
+3.64440734558E+006, +1.28206443903E+000, +8.51200475225E+001
+3.80968280467E+006, +1.38020097121E+000, +8.90097509025E+001
+3.97495826377E+006, +1.38974645810E+000, +9.28973049003E+001
+4.14023372287E+006, +1.13516887278E+000, +9.67600366084E+001
+4.30550918197E+006, +1.32845529512E+000, +1.00625712374E+002
+4.47078464107E+006, +1.15969442402E+000, +1.04498262588E+002
+4.63606010017E+006, +1.24815780329E+000, +1.08181761035E+002
+4.80133555927E+006, +1.15189798511E+000, +1.12192628628E+002
+4.96661101836E+006, +1.33196680048E+000, +1.16137746219E+002
+5.13188647746E+006, +1.45479548446E+000, +1.19840143937E+002
+5.29716193656E+006, +1.48796852834E+000, +1.23678330631E+002
+5.46243739566E+006, +1.64254280998E+000, +1.27659690092E+002
+5.62771285476E+006, +1.25859880563E+000, +1.31592964063E+002
+5.79298831386E+006, +1.55962292707E+000, +1.35543213949E+002
+5.95826377295E+006, +1.66965042402E+000, +1.39139465548E+002
+6.12353923205E+006, +1.56461103764E+000, +1.43211197300E+002
+6.28881469115E+006, +1.73033844509E+000, +1.46933223225E+002
+6.45409015025E+006, +1.83368451351E+000, +1.50925390114E+002
+6.61936560935E+006, +1.91660859617E+000, +1.54822837068E+002
+6.78464106845E+006, +1.98179641389E+000, +1.58804251043E+002
+6.94991652755E+006, +2.00406767063E+000, +1.62449843861E+002
+7.11519198664E+006, +1.88321076364E+000, +1.66403184884E+002
+7.28046744574E+006, +2.11106861392E+000, +1.70236756042E+002
+7.44574290484E+006, +1.99014106019E+000, +1.74212994152E+002
+7.61101836394E+006, +2.19995775627E+000, +1.77973455244E+002
+7.77629382304E+006, +2.25789647856E+000, +1.81959541427E+002
+7.94156928214E+006, +2.07905971927E+000, +1.85701410061E+002
+8.10684474124E+006, +2.05228230014E+000, +1.89609144072E+002
+8.27212020033E+006, +1.95774815056E+000, +1.93603836016E+002
+8.43739565943E+006, +1.89719635099E+000, +1.97621256365E+002
+8.60267111853E+006, +1.76737910714E+000, +2.01709036670E+002
+8.76794657763E+006, +2.03856609062E+000, +2.05480927771E+002
+8.93322203673E+006, +1.89512396233E+000, +2.09514639487E+002
+9.09849749583E+006, +1.83701301082E+000, +2.13451854851E+002
+9.26377295492E+006, +2.00113840037E+000, +2.17467275341E+002
+9.42904841402E+006, +1.95144334036E+000, +2.21275872040E+002
+9.59432387312E+006, +1.70130195884E+000, +2.25125638375E+002
+9.75959933222E+006, +1.80968812386E+000, +2.29261802363E+002
+9.92487479132E+006, +1.63184475382E+000, +2.32946411075E+002
+1.00901502504E+007, +1.64540794141E+000, +2.37090774685E+002
+1.02554257095E+007, +1.58483021672E+000, +2.41144348403E+002
+1.04207011686E+007, +1.82958141205E+000, +2.44735195037E+002
+1.05859766277E+007, +1.57169880742E+000, +2.48956045751E+002
+1.07512520868E+007, +1.41585438167E+000, +2.53044549417E+002
+1.09165275459E+007, +1.91813936028E+000, +2.57210146339E+002
+1.10818030050E+007, +1.21036975041E+000, +2.61044118139E+002
+1.12470784641E+007, +1.35886114784E+000, +2.65109102162E+002
+1.14123539232E+007, +2.18911148015E+000, +2.69369655414E+002
+1.15776293823E+007, +1.45346179616E+000, +2.73091926462E+002
+1.17429048414E+007, +1.51561855124E+000, +2.77496110319E+002
+1.19081803005E+007, +1.43327391818E+000, +2.81179760043E+002
+1.20734557596E+007, +1.53228948676E+000, +2.85579052169E+002
+1.22387312187E+007, +1.26779155001E+000, +2.89734215571E+002
+1.24040066778E+007, +1.21267706979E+000, +2.93689673038E+002
+1.25692821369E+007, +1.14941335271E+000, +2.97398774299E+002
+1.27345575960E+007, +8.57753196903E-001, +3.01831589561E+002
+1.28998330551E+007, +1.21909350366E+000, +3.05782172223E+002
+1.30651085142E+007, +1.67301482166E+000, +3.09814451276E+002
+1.32303839733E+007, +1.73888576265E+000, +3.14359174746E+002
+1.33956594324E+007, +1.29894596423E+000, +3.18159090560E+002
+1.35609348915E+007, +2.37408962362E+000, +3.22508656940E+002
+1.37262103506E+007, +1.81528582814E+000, +3.26658071553E+002
+1.38914858097E+007, +1.65496384290E+000, +3.30965486376E+002
+1.40567612688E+007, +1.48348421676E+000, +3.34521243996E+002
+1.42220367279E+007, +1.80779118729E+000, +3.38937743753E+002
+1.43873121870E+007, +1.36008567970E+000, +3.42954038270E+002
+1.45525876461E+007, +1.31787384713E+000, +3.47061049025E+002
+1.47178631052E+007, +1.75724817012E+000, +3.51464673410E+002
+1.48831385643E+007, +9.99673796838E-001, +3.54824429470E+002
+1.50484140234E+007, +1.67805907403E+000, +3.59041292478E+002
+1.52136894825E+007, +1.01153374979E+000, +3.63592195508E+002
+1.53789649416E+007, +1.13348736779E+000, +3.67640136064E+002
+1.55442404007E+007, +1.42100381876E+000, +3.72288412995E+002
+1.57095158598E+007, +1.34564119094E+000, +3.76256088375E+002
+1.58747913189E+007, +2.14903738339E+000, +3.80372729460E+002
+1.60400667780E+007, +1.23116392827E+000, +3.85485247488E+002
+1.62053422371E+007, +3.84694015270E-001, +3.89001397700E+002
+1.63706176962E+007, +1.64734289746E+000, +3.93581746118E+002
+1.65358931553E+007, +1.32852685258E+000, +3.97581832769E+002
+1.67011686144E+007, +1.22949077184E+000, +4.01515228289E+002
+1.68664440735E+007, +1.02818299653E+000, +4.07010806634E+002
+1.70317195326E+007, -1.32120643017E+000, +4.10578154228E+002
+1.71969949917E+007, -8.08895544026E-002, +4.15379485296E+002
+1.73622704508E+007, +2.68135202408E-001, +4.20485868606E+002
+1.75275459098E+007, +2.86001569009E-001, +4.24444913557E+002
+1.76928213689E+007, +2.65595317192E-001, +4.28107977204E+002
+1.78580968280E+007, +1.14182950046E+000, +4.33641569724E+002
+1.80233722871E+007, +7.16027570634E-001, +4.37311247406E+002
+1.81886477462E+007, +3.03742941612E-001, +4.41143868397E+002
+1.83539232053E+007, +6.25872714015E-001, +4.46197990053E+002
+1.85191986644E+007, +8.03716695643E-001, +4.50488698694E+002
+1.86844741235E+007, +9.49578334237E-001, +4.55271968566E+002
+1.88497495826E+007, +1.21664528596E+000, +4.59135480061E+002
+1.90150250417E+007, +2.19937903273E+000, +4.64126046078E+002
+1.91803005008E+007, +1.00996017812E+000, +4.68362026784E+002
+1.93455759599E+007, +1.44127204255E+000, +4.72671261579E+002
+1.95108514190E+007, +1.78534551592E+000, +4.78070833021E+002
+1.96761268781E+007, +1.17806013606E+000, +4.82992167936E+002
+1.98414023372E+007, +2.02975017334E+000, +4.87886741726E+002
+2.00066777963E+007, +1.54580373754E+000, +4.91381884380E+002
+2.01719532554E+007, +2.01110495267E+000, +4.94820521381E+002
+2.03372287145E+007, +1.99413342609E+000, +4.99029965436E+002
+2.05025041736E+007, +1.79584799638E+000, +5.03736706134E+002
+2.06677796327E+007, +9.59395368699E-001, +5.09120844775E+002
+2.08330550918E+007, +1.90058169717E+000, +5.15113344498E+002
+2.09983305509E+007, +2.39705605828E+000, +5.17732733040E+002
+2.11636060100E+007, +2.20969769771E+000, +5.24312338547E+002
+2.13288814691E+007, +1.89840195266E+000, +5.26822269800E+002
+2.14941569282E+007, +1.90026528537E+000, +5.32105053967E+002
+2.16594323873E+007, +2.07081484387E+000, +5.37649028511E+002
+2.18247078464E+007, +2.69988750715E+000, +5.41698526121E+002
+2.19899833055E+007, -5.53030532759E-001, +5.46473904458E+002
+2.21552587646E+007, +1.90451427219E+000, +5.51513665659E+002
+2.23205342237E+007, +2.61701271497E+000, +5.55840394509E+002
+2.24858096828E+007, +2.05848045389E+000, +5.60650267120E+002
+2.26510851419E+007, +4.03044836091E+000, +5.65793604301E+002
+2.28163606010E+007, +4.80660548071E+000, +5.70315558630E+002
+2.29816360601E+007, +3.96309722584E+000, +5.75583689467E+002
+2.31469115192E+007, +4.57326328065E+000, +5.81474593445E+002
+2.33121869783E+007, +1.55899410771E+000, +5.86160238449E+002
+2.34774624374E+007, +3.73353267789E+000, +5.90781897888E+002
+2.36427378965E+007, +5.22867629986E+000, +5.94380048738E+002
+2.38080133556E+007, +5.39826077910E+000, +6.01522068523E+002
+2.39732888147E+007, +5.02888289553E+000, +6.06022386894E+002
+2.41385642738E+007, +5.20730475310E+000, +6.10558238033E+002
+2.43038397329E+007, +5.01532802428E+000, +6.13518631683E+002
+2.44691151920E+007, +4.52600822979E+000, +6.17863085696E+002
+2.46343906511E+007, +2.80973783771E+000, +6.24850832973E+002
+2.47996661102E+007, +4.03541641513E+000, +6.29039580930E+002
+2.49649415693E+007, +6.37377865824E+000, +6.33772811804E+002
+2.51302170284E+007, +5.13713702607E+000, +6.40052159783E+002
+2.52954924875E+007, +4.25933971955E+000, +6.42703892105E+002
+2.54607679466E+007, +3.47140404125E+000, +6.50979128910E+002
+2.56260434057E+007, +4.73763926785E+000, +6.55287521329E+002
+2.57913188648E+007, +6.83942888864E+000, +6.58149585970E+002
+2.59565943239E+007, +8.79919534636E+000, +6.63847300473E+002
