"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +3.83936259408E-003, +0.00000000000E+000
+2.25031289111E+005, +7.30206399387E-003, +0.00000000000E+000
+3.50062578223E+005, +1.50743255305E-002, +0.00000000000E+000
+4.75093867334E+005, +2.28625449317E-002, +0.00000000000E+000
+6.00125156446E+005, +3.37109923621E-002, +0.00000000000E+000
+7.25156445557E+005, +4.48054254495E-002, +0.00000000000E+000
+8.50187734668E+005, +6.04566872602E-002, +0.00000000000E+000
+9.75219023780E+005, +7.48980122340E-002, +0.00000000000E+000
+1.10025031289E+006, +9.26611924279E-002, +0.00000000000E+000
+1.22528160200E+006, +1.09687370626E-001, +0.00000000000E+000
+1.35031289111E+006, +1.30663257712E-001, +0.00000000000E+000
+1.47534418023E+006, +1.51627807072E-001, +0.00000000000E+000
+1.60037546934E+006, +1.71308231650E-001, +0.00000000000E+000
+1.72540675845E+006, +1.94177621130E-001, +0.00000000000E+000
+1.85043804756E+006, +2.15584599752E-001, +0.00000000000E+000
+1.97546933667E+006, +2.37019372600E-001, +0.00000000000E+000
+2.10050062578E+006, +2.60227684102E-001, +0.00000000000E+000
+2.22553191489E+006, +2.80325211981E-001, +0.00000000000E+000
+2.35056320401E+006, +3.03218846907E-001, +0.00000000000E+000
+2.47559449312E+006, +3.25893575999E-001, +0.00000000000E+000
+2.60062578223E+006, +3.46539768468E-001, +0.00000000000E+000
+2.72565707134E+006, +3.68018691861E-001, +0.00000000000E+000
+2.85068836045E+006, +3.87942350626E-001, +0.00000000000E+000
+2.97571964956E+006, +4.08902506405E-001, +0.00000000000E+000
+3.10075093867E+006, +4.29601025979E-001, +0.00000000000E+000
+3.22578222778E+006, +4.47654829397E-001, +0.00000000000E+000
+3.35081351690E+006, +4.67866229445E-001, +0.00000000000E+000
+3.47584480601E+006, +4.84754138745E-001, +0.00000000000E+000
+3.60087609512E+006, +5.01633584489E-001, +0.00000000000E+000
+3.72590738423E+006, +5.18971933968E-001, +0.00000000000E+000
+3.85093867334E+006, +5.34848705854E-001, +0.00000000000E+000
+3.97596996245E+006, +5.51367999177E-001, +0.00000000000E+000
