"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -2.77716273662E-002, +0.00000000000E+000
+2.25031289111E+005, -6.25178695265E-002, +0.00000000000E+000
+3.50062578223E+005, -9.68814702283E-002, +0.00000000000E+000
+4.75093867334E+005, -1.28618123436E-001, +0.00000000000E+000
+6.00125156446E+005, -1.62303193596E-001, +0.00000000000E+000
+7.25156445557E+005, -1.94122110069E-001, +0.00000000000E+000
+8.50187734668E+005, -2.22768842657E-001, +0.00000000000E+000
+9.75219023780E+005, -2.51621982533E-001, +0.00000000000E+000
+1.10025031289E+006, -2.77822067852E-001, +0.00000000000E+000
+1.22528160200E+006, -3.02406276640E-001, +0.00000000000E+000
+1.35031289111E+006, -3.25939892147E-001, +0.00000000000E+000
+1.47534418023E+006, -3.47206017006E-001, +0.00000000000E+000
+1.60037546934E+006, -3.67322420210E-001, +0.00000000000E+000
+1.72540675845E+006, -3.84518633290E-001, +0.00000000000E+000
+1.85043804756E+006, -4.00804661233E-001, +0.00000000000E+000
+1.97546933667E+006, -4.16935346948E-001, +0.00000000000E+000
+2.10050062578E+006, -4.29505504250E-001, +0.00000000000E+000
+2.22553191489E+006, -4.42286268365E-001, +0.00000000000E+000
+2.35056320401E+006, -4.52844334816E-001, +0.00000000000E+000
+2.47559449312E+006, -4.60871345425E-001, +0.00000000000E+000
+2.60062578223E+006, -4.68734695279E-001, +0.00000000000E+000
+2.72565707134E+006, -4.75695369036E-001, +0.00000000000E+000
+2.85068836045E+006, -4.80453134915E-001, +0.00000000000E+000
+2.97571964956E+006, -4.85784594563E-001, +0.00000000000E+000
+3.10075093867E+006, -4.89149975907E-001, +0.00000000000E+000
+3.22578222778E+006, -4.90555388975E-001, +0.00000000000E+000
+3.35081351690E+006, -4.93571343185E-001, +0.00000000000E+000
+3.47584480601E+006, -4.94368713425E-001, +0.00000000000E+000
+3.60087609512E+006, -4.95118192754E-001, +0.00000000000E+000
+3.72590738423E+006, -4.94729584065E-001, +0.00000000000E+000
+3.85093867334E+006, -4.95164890678E-001, +0.00000000000E+000
+3.97596996245E+006, -4.92633113713E-001, +0.00000000000E+000
+4.10100125156E+006, -4.91487673291E-001, +0.00000000000E+000
+4.22603254068E+006, -4.90118749854E-001, +0.00000000000E+000
+4.35106382979E+006, -4.87546494251E-001, +0.00000000000E+000
+4.47609511890E+006, -4.85409484367E-001, +0.00000000000E+000
+4.60112640801E+006, -4.82428403981E-001, +0.00000000000E+000
+4.72615769712E+006, -4.79921942200E-001, +0.00000000000E+000
+4.85118898623E+006, -4.77426164298E-001, +0.00000000000E+000
+4.97622027534E+006, -4.73136437582E-001, +0.00000000000E+000
+5.10125156446E+006, -4.70066053141E-001, +0.00000000000E+000
+5.22628285357E+006, -4.66029391880E-001, +0.00000000000E+000
+5.35131414268E+006, -4.62875108110E-001, +0.00000000000E+000
+5.47634543179E+006, -4.57923814315E-001, +0.00000000000E+000
+5.60137672090E+006, -4.54261262284E-001, +0.00000000000E+000
+5.72640801001E+006, -4.50391622028E-001, +0.00000000000E+000
+5.85143929912E+006, -4.46035249026E-001, +0.00000000000E+000
+5.97647058824E+006, -4.42376160746E-001, +0.00000000000E+000
+6.10150187735E+006, -4.37568953285E-001, +0.00000000000E+000
+6.22653316646E+006, -4.34250214256E-001, +0.00000000000E+000
+6.35156445557E+006, -4.29582395632E-001, +0.00000000000E+000
+6.47659574468E+006, -4.25785076714E-001, +0.00000000000E+000
+6.60162703379E+006, -4.22260675487E-001, +0.00000000000E+000
+6.72665832290E+006, -4.18390128741E-001, +0.00000000000E+000
