"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +7.49437954245E-001, +2.67042549699E+000
+2.25031289111E+005, +6.34381502738E-001, +6.31765544785E+000
+3.50062578223E+005, +6.88479822403E-001, +9.85626664396E+000
+4.75093867334E+005, +6.91309850536E-001, +1.33478698731E+001
+6.00125156446E+005, +7.29754409016E-001, +1.68754105959E+001
+7.25156445557E+005, +7.09360665242E-001, +2.03991140528E+001
+8.50187734668E+005, +8.17320578328E-001, +2.38625946493E+001
+9.75219023780E+005, +7.93480046514E-001, +2.74136205081E+001
+1.10025031289E+006, +8.99639732195E-001, +3.08363653458E+001
+1.22528160200E+006, +8.31721571450E-001, +3.42966225046E+001
+1.35031289111E+006, +9.17146909640E-001, +3.78329339245E+001
+1.47534418023E+006, +9.47774770498E-001, +4.12634577829E+001
+1.60037546934E+006, +9.83625504485E-001, +4.47442753922E+001
+1.72540675845E+006, +1.08883049586E+000, +4.82080195485E+001
+1.85043804756E+006, +1.06812355259E+000, +5.16827682103E+001
+1.97546933667E+006, +9.82779234995E-001, +5.51115819214E+001
+2.10050062578E+006, +1.04527961618E+000, +5.85758550212E+001
+2.22553191489E+006, +1.03996609892E+000, +6.20363565700E+001
+2.35056320401E+006, +9.83709037391E-001, +6.55620851454E+001
+2.47559449312E+006, +1.10856691183E+000, +6.90446857336E+001
+2.60062578223E+006, +1.08724837823E+000, +7.25009583593E+001
+2.72565707134E+006, +1.12330344274E+000, +7.58771594108E+001
+2.85068836045E+006, +1.21180076406E+000, +7.93460519693E+001
+2.97571964956E+006, +1.17993472755E+000, +8.27544072218E+001
+3.10075093867E+006, +1.16261509913E+000, +8.63708491215E+001
+3.22578222778E+006, +1.21453147836E+000, +8.97452979161E+001
+3.35081351690E+006, +1.30743097214E+000, +9.34101455691E+001
+3.47584480601E+006, +1.24346241549E+000, +9.67617708327E+001
+3.60087609512E+006, +1.32683584524E+000, +1.00259600390E+002
+3.72590738423E+006, +1.32639989698E+000, +1.03667661220E+002
+3.85093867334E+006, +1.24290695000E+000, +1.07094271759E+002
+3.97596996245E+006, +1.26982868794E+000, +1.10736176747E+002
+4.10100125156E+006, +1.44044309810E+000, +1.14221136794E+002
+4.22603254068E+006, +1.30406806191E+000, +1.17380765091E+002
+4.35106382979E+006, +1.31256042553E+000, +1.20968491023E+002
+4.47609511890E+006, +1.37873083431E+000, +1.24543854519E+002
+4.60112640801E+006, +1.43330372681E+000, +1.27964116981E+002
+4.72615769712E+006, +1.29101574626E+000, +1.31382514977E+002
