"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +8.19263308407E-001, +1.12155218984E+001
+1.16527545910E+006, +8.56245945067E-001, +1.30683659329E+001
+1.33055091820E+006, +9.36497843332E-001, +1.48519433123E+001
+1.49582637730E+006, +9.29760624972E-001, +1.66808139585E+001
+1.66110183639E+006, +9.64586237598E-001, +1.85135015662E+001
+1.82637729549E+006, +9.87395856953E-001, +2.03002544550E+001
+1.99165275459E+006, +1.02503402442E+000, +2.21371639064E+001
+2.15692821369E+006, +1.02758637575E+000, +2.39482331721E+001
+2.32220367279E+006, +1.01161810413E+000, +2.57618345068E+001
+2.48747913189E+006, +1.03368347429E+000, +2.76037527000E+001
+2.65275459098E+006, +1.03581711892E+000, +2.93968483237E+001
+2.81803005008E+006, +1.06347623953E+000, +3.12467043014E+001
+2.98330550918E+006, +1.05500346022E+000, +3.29883032198E+001
+3.14858096828E+006, +1.12778700671E+000, +3.48328034147E+001
+3.31385642738E+006, +1.17143281678E+000, +3.66726996152E+001
+3.47913188648E+006, +1.07369818291E+000, +3.85218131834E+001
+3.64440734558E+006, +1.16061830502E+000, +4.03041516118E+001
+3.80968280467E+006, +1.24331153851E+000, +4.21546421565E+001
+3.97495826377E+006, +1.26065726054E+000, +4.39653282144E+001
+4.14023372287E+006, +1.25229250665E+000, +4.59398711673E+001
+4.30550918197E+006, +1.29814559085E+000, +4.75435344157E+001
+4.47078464107E+006, +1.19509889151E+000, +4.94364554427E+001
+4.63606010017E+006, +1.21221177695E+000, +5.12257945784E+001
+4.80133555927E+006, +1.19872167451E+000, +5.31541158972E+001
+4.96661101836E+006, +1.28173519926E+000, +5.49789385505E+001
+5.13188647746E+006, +1.24795392245E+000, +5.68163230790E+001
+5.29716193656E+006, +1.29886503781E+000, +5.85707632221E+001
+5.46243739566E+006, +1.29254510518E+000, +6.04906198154E+001
+5.62771285476E+006, +1.41772242647E+000, +6.23302584946E+001
+5.79298831386E+006, +1.37345794647E+000, +6.42863389862E+001
+5.95826377295E+006, +1.37477562681E+000, +6.60639298705E+001
+6.12353923205E+006, +1.62252299807E+000, +6.78718990052E+001
+6.28881469115E+006, +1.44092889538E+000, +6.97422140556E+001
+6.45409015025E+006, +1.50425469032E+000, +7.16328196864E+001
+6.61936560935E+006, +1.43741179025E+000, +7.34709297037E+001
+6.78464106845E+006, +1.49216809928E+000, +7.53309268663E+001
+6.94991652755E+006, +1.51365878109E+000, +7.72091976050E+001
+7.11519198664E+006, +1.56156893487E+000, +7.90789389773E+001
+7.28046744574E+006, +1.56959167120E+000, +8.09307802737E+001
+7.44574290484E+006, +1.58770342031E+000, +8.28046676207E+001
+7.61101836394E+006, +1.62783705948E+000, +8.46628047706E+001
+7.77629382304E+006, +1.63254266107E+000, +8.65182137927E+001
+7.94156928214E+006, +1.57041681041E+000, +8.84076772332E+001
+8.10684474124E+006, +1.65073731571E+000, +9.02022646013E+001
+8.27212020033E+006, +1.68740781923E+000, +9.21605366168E+001
+8.43739565943E+006, +1.57781627026E+000, +9.41244725547E+001
+8.60267111853E+006, +1.59266659558E+000, +9.58460354392E+001
+8.76794657763E+006, +1.67376002487E+000, +9.77754826197E+001
+8.93322203673E+006, +1.65527323093E+000, +9.97175351170E+001
+9.09849749583E+006, +1.70900183756E+000, +1.01539693766E+002
+9.26377295492E+006, +1.65603756382E+000, +1.03610542290E+002
+9.42904841402E+006, +1.69733971019E+000, +1.05375736994E+002
+9.59432387312E+006, +1.74919451593E+000, +1.07338061248E+002
+9.75959933222E+006, +1.60860908971E+000, +1.09232006229E+002
+9.92487479132E+006, +1.65511854535E+000, +1.11111563077E+002
+1.00901502504E+007, +1.74494932880E+000, +1.13052950022E+002
+1.02554257095E+007, +1.71659027519E+000, +1.14936628921E+002
+1.04207011686E+007, +1.68902803712E+000, +1.16827731221E+002
+1.05859766277E+007, +1.68279847649E+000, +1.18949941617E+002
+1.07512520868E+007, +1.74933425795E+000, +1.20730518102E+002
+1.09165275459E+007, +1.67478788538E+000, +1.22798430466E+002
+1.10818030050E+007, +1.72689518927E+000, +1.24769950782E+002
+1.12470784641E+007, +1.71851489267E+000, +1.26551423586E+002
+1.14123539232E+007, +1.72603033327E+000, +1.28493883150E+002
