"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +5.12711630811E+001, +3.44620380446E+000
+2.87609511890E+005, +5.09800576554E+001, +9.94663005555E+000
+4.75219023780E+005, +5.11513962961E+001, +1.65416380385E+001
+6.62828535670E+005, +5.11993568981E+001, +2.29573096138E+001
+8.50438047559E+005, +5.11967411904E+001, +2.94786399005E+001
+1.03804755945E+006, +5.12276505945E+001, +3.60747325416E+001
+1.22565707134E+006, +5.12520573260E+001, +4.23494803824E+001
+1.41326658323E+006, +5.12830901621E+001, +4.88167084295E+001
+1.60087609512E+006, +5.15193691664E+001, +5.53605357380E+001
+1.78848560701E+006, +5.14344359691E+001, +6.18198603197E+001
+1.97609511890E+006, +5.16228605698E+001, +6.84177079844E+001
+2.16370463079E+006, +5.15423881084E+001, +7.48836800024E+001
+2.35131414268E+006, +5.17029805803E+001, +8.13383157690E+001
+2.53892365457E+006, +5.15332496111E+001, +8.74843732603E+001
+2.72653316646E+006, +5.18814433988E+001, +9.42006570960E+001
+2.91414267835E+006, +5.19292742911E+001, +1.00620081620E+002
+3.10175219024E+006, +5.18182773567E+001, +1.07033688377E+002
+3.28936170213E+006, +5.18625917196E+001, +1.13388703271E+002
+3.47697121402E+006, +5.20176277214E+001, +1.20067389667E+002
+3.66458072591E+006, +5.21568974218E+001, +1.26900750026E+002
+3.85219023780E+006, +5.18376230839E+001, +1.32925457570E+002
+4.03979974969E+006, +5.22317993873E+001, +1.39885304517E+002
+4.22740926158E+006, +5.24566594012E+001, +1.46140421412E+002
+4.41501877347E+006, +5.21889661387E+001, +1.52723365789E+002
+4.60262828536E+006, +5.29185852980E+001, +1.59528779503E+002
+4.79023779725E+006, +5.29862358710E+001, +1.65981899338E+002
+4.97784730914E+006, +5.32875973578E+001, +1.72298194755E+002
+5.16545682103E+006, +5.30124755953E+001, +1.79176257691E+002
+5.35306633292E+006, +5.28512423673E+001, +1.85715081773E+002
+5.54067584481E+006, +5.32000919612E+001, +1.92806147663E+002
+5.72828535670E+006, +5.30426430677E+001, +1.99346389352E+002
+5.91589486859E+006, +5.34257034009E+001, +2.05856459199E+002
+6.10350438048E+006, +5.42478214906E+001, +2.11934236323E+002
+6.29111389237E+006, +5.39539979525E+001, +2.19000690527E+002
+6.47872340426E+006, +5.43393927604E+001, +2.26099677353E+002
+6.66633291615E+006, +5.44164542341E+001, +2.32846719471E+002
+6.85394242804E+006, +5.44090619275E+001, +2.39551289582E+002
+7.04155193992E+006, +5.48165482383E+001, +2.46164662605E+002
+7.22916145181E+006, +5.50285622543E+001, +2.52914448383E+002
+7.41677096370E+006, +5.52374388244E+001, +2.59751796005E+002
+7.60438047559E+006, +5.52966519236E+001, +2.66644839659E+002
+7.79198998748E+006, +5.53244895228E+001, +2.73743218303E+002
+7.97959949937E+006, +5.60866121106E+001, +2.80561821282E+002
+8.16720901126E+006, +5.58937450365E+001, +2.87696334067E+002
+8.35481852315E+006, +5.65884998992E+001, +2.94613459715E+002
+8.54242803504E+006, +5.64043890480E+001, +3.02295770617E+002
+8.73003754693E+006, +5.65695659875E+001, +3.08890563203E+002
+8.91764705882E+006, +5.66912149324E+001, +3.15705774699E+002
+9.10525657071E+006, +5.68405445438E+001, +3.23308019355E+002
+9.29286608260E+006, +5.70787156233E+001, +3.30558918809E+002
+9.48047559449E+006, +5.75748626442E+001, +3.37590273529E+002
+9.66808510638E+006, +5.69628521032E+001, +3.44557559473E+002
+9.85569461827E+006, +5.73608823621E+001, +3.52208017263E+002
+1.00433041302E+007, +5.82853468791E+001, +3.59199348384E+002
+1.02309136421E+007, +5.81174426630E+001, +3.66597114347E+002
+1.04185231539E+007, +5.84547742229E+001, +3.73657027087E+002
+1.06061326658E+007, +5.88904298705E+001, +3.80887092572E+002
+1.07937421777E+007, +5.86184314486E+001, +3.88247979699E+002
+1.09813516896E+007, +5.94165945304E+001, +3.96545609470E+002
+1.11689612015E+007, +5.89825151946E+001, +4.04114661264E+002
+1.13565707134E+007, +5.99948212933E+001, +4.11360398557E+002
+1.15441802253E+007, +6.02244289187E+001, +4.18284230617E+002
+1.17317897372E+007, +6.00650126346E+001, +4.27035808485E+002
+1.19193992491E+007, +6.04926520061E+001, +4.34845168441E+002
+1.21070087610E+007, +6.06540662229E+001, +4.42392349496E+002
+1.22946182728E+007, +6.09890961788E+001, +4.50491462694E+002
+1.24822277847E+007, +5.98703936836E+001, +4.58734517312E+002
+1.26698372966E+007, +6.11531662407E+001, +4.66495759290E+002
