"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +5.12787987002E+001, +3.46674416671E+000
+2.87609511890E+005, +5.09805197731E+001, +1.00304518930E+001
+4.75219023780E+005, +5.11151342070E+001, +1.66297419682E+001
+6.62828535670E+005, +5.11523272945E+001, +2.30046472997E+001
+8.50438047559E+005, +5.11430444511E+001, +2.94492602542E+001
+1.03804755945E+006, +5.11024727529E+001, +3.60822961311E+001
+1.22565707134E+006, +5.12597081582E+001, +4.25006596116E+001
+1.41326658323E+006, +5.13408112315E+001, +4.88626135352E+001
+1.60087609512E+006, +5.14360353726E+001, +5.54020689168E+001
+1.78848560701E+006, +5.14188728251E+001, +6.19188495106E+001
+1.97609511890E+006, +5.15715233859E+001, +6.85062760877E+001
+2.16370463079E+006, +5.15106409794E+001, +7.50742284330E+001
+2.35131414268E+006, +5.16949598521E+001, +8.14775616561E+001
+2.53892365457E+006, +5.15190941457E+001, +8.77983518072E+001
+2.72653316646E+006, +5.17212944927E+001, +9.44958970369E+001
+2.91414267835E+006, +5.18172316584E+001, +1.01024225431E+002
+3.10175219024E+006, +5.18330718583E+001, +1.07428615791E+002
+3.28936170213E+006, +5.18428764926E+001, +1.13408047749E+002
+3.47697121402E+006, +5.19501189555E+001, +1.20205563274E+002
+3.66458072591E+006, +5.22026559666E+001, +1.27379739002E+002
+3.85219023780E+006, +5.20204750181E+001, +1.33189884811E+002
+4.03979974969E+006, +5.22898492970E+001, +1.40100424578E+002
+4.22740926158E+006, +5.24690524124E+001, +1.46547463155E+002
+4.41501877347E+006, +5.23864064257E+001, +1.53121352531E+002
+4.60262828536E+006, +5.24677485748E+001, +1.59801437778E+002
+4.79023779725E+006, +5.29190791078E+001, +1.66270032094E+002
+4.97784730914E+006, +5.27600341176E+001, +1.72869835856E+002
+5.16545682103E+006, +5.26025804853E+001, +1.79795330792E+002
+5.35306633292E+006, +5.27155843241E+001, +1.85835564351E+002
+5.54067584481E+006, +5.31643074752E+001, +1.93296185469E+002
+5.72828535670E+006, +5.31464925748E+001, +1.99932236095E+002
+5.91589486859E+006, +5.35652241970E+001, +2.06481000805E+002
+6.10350438048E+006, +5.38364453255E+001, +2.12321349797E+002
+6.29111389237E+006, +5.41443833694E+001, +2.19314964089E+002
+6.47872340426E+006, +5.42981105382E+001, +2.26417313291E+002
+6.66633291615E+006, +5.44477834559E+001, +2.33433691856E+002
+6.85394242804E+006, +5.46724213612E+001, +2.39929235249E+002
+7.04155193992E+006, +5.47955753867E+001, +2.46213862603E+002
+7.22916145181E+006, +5.51325681935E+001, +2.53447247118E+002
+7.41677096370E+006, +5.51128248588E+001, +2.60285067375E+002
+7.60438047559E+006, +5.56917453838E+001, +2.67600261445E+002
+7.79198998748E+006, +5.57417205133E+001, +2.74080405305E+002
+7.97959949937E+006, +5.59909843465E+001, +2.81268941160E+002
+8.16720901126E+006, +5.58884055430E+001, +2.88342484421E+002
+8.35481852315E+006, +5.63554706469E+001, +2.95369537589E+002
+8.54242803504E+006, +5.66708588707E+001, +3.02772955722E+002
+8.73003754693E+006, +5.64841541995E+001, +3.09625352036E+002
+8.91764705882E+006, +5.65979008631E+001, +3.16511244925E+002
+9.10525657071E+006, +5.69927757646E+001, +3.24163878288E+002
+9.29286608260E+006, +5.73275300229E+001, +3.31205163910E+002
+9.48047559449E+006, +5.77268096645E+001, +3.38094528142E+002
+9.66808510638E+006, +5.74167881035E+001, +3.45530376941E+002
+9.85569461827E+006, +5.71882245210E+001, +3.52792148965E+002
+1.00433041302E+007, +5.86304456607E+001, +3.59953669704E+002
+1.02309136421E+007, +5.81311880767E+001, +3.67295020843E+002
+1.04185231539E+007, +5.82468999699E+001, +3.74600504460E+002
+1.06061326658E+007, +5.83748367050E+001, +3.81588589599E+002
+1.07937421777E+007, +5.80257398585E+001, +3.88823304177E+002
+1.09813516896E+007, +5.88980088891E+001, +3.97041195283E+002
+1.11689612015E+007, +5.99083986688E+001, +4.04443993933E+002
+1.13565707134E+007, +5.91379261957E+001, +4.12483673630E+002
+1.15441802253E+007, +5.92987891446E+001, +4.20006929164E+002
+1.17317897372E+007, +6.00064873915E+001, +4.28122214527E+002
+1.19193992491E+007, +6.07916991802E+001, +4.35937003022E+002
+1.21070087610E+007, +6.00179421506E+001, +4.43003247837E+002
+1.22946182728E+007, +6.07619148866E+001, +4.51378559598E+002
+1.24822277847E+007, +5.92435510599E+001, +4.59053628728E+002
+1.26698372966E+007, +6.08013977998E+001, +4.67683408407E+002
+1.28574468085E+007, +6.12920999141E+001, +4.74013348447E+002
+1.30450563204E+007, +6.24161032136E+001, +4.83681568219E+002
+1.32326658323E+007, +6.19690025337E+001, +4.90748311733E+002
+1.34202753442E+007, +6.23993036586E+001, +5.00394923092E+002
+1.36078848561E+007, +6.27368453657E+001, +5.06707175419E+002
+1.37954943680E+007, +6.30434950838E+001, +5.15137984476E+002
+1.39831038798E+007, +6.41074138777E+001, +5.26044370268E+002
+1.41707133917E+007, +6.28597481024E+001, +5.32215611800E+002
+1.43583229036E+007, +6.40298764837E+001, +5.42160478757E+002
+1.45459324155E+007, +6.46068830053E+001, +5.48524472188E+002
+1.47335419274E+007, +6.46445443351E+001, +5.59466949661E+002
+1.49211514393E+007, +6.50543432654E+001, +5.67345928443E+002
+1.51087609512E+007, +6.68824314020E+001, +5.76750997370E+002
+1.52963704631E+007, +6.67198827519E+001, +5.84336277593E+002
+1.54839799750E+007, +6.69384758136E+001, +5.95463894306E+002
+1.56715894869E+007, +6.71900042694E+001, +6.02881750055E+002
+1.58591989987E+007, +6.64418530802E+001, +6.11372712361E+002
+1.60468085106E+007, +6.54906467176E+001, +6.20918287459E+002
+1.62344180225E+007, +6.54365980571E+001, +6.28865236879E+002
+1.64220275344E+007, +6.88873414212E+001, +6.39888604883E+002
+1.66096370463E+007, +6.95888323925E+001, +6.52051745837E+002
+1.67972465582E+007, +6.89209775287E+001, +6.58150175750E+002
+1.69848560701E+007, +7.20731394844E+001, +6.69066039951E+002
+1.71724655820E+007, +6.93581018423E+001, +6.80366211763E+002
+1.73600750939E+007, +6.87998165682E+001, +6.87179083692E+002
+1.75476846058E+007, +6.97993053019E+001, +6.97510508388E+002
+1.77352941176E+007, +7.16825523962E+001, +7.09094851130E+002
+1.79229036295E+007, +7.23630257755E+001, +7.19650707025E+002
+1.81105131414E+007, +7.14441369905E+001, +7.28665620135E+002
+1.82981226533E+007, +7.25040954425E+001, +7.39423747599E+002
+1.84857321652E+007, +7.41165136446E+001, +7.50402471397E+002
+1.86733416771E+007, +7.73638067759E+001, +7.59742598548E+002
+1.88609511890E+007, +7.54474061443E+001, +7.70873894975E+002
+1.90485607009E+007, +8.02723587752E+001, +7.82305346350E+002
+1.92361702128E+007, +7.95899410211E+001, +7.92891469806E+002
+1.94237797247E+007, +7.90020714870E+001, +8.01902031204E+002
+1.96113892365E+007, +7.87848910245E+001, +8.16422801717E+002
+1.97989987484E+007, +8.29426860108E+001, +8.24904653740E+002
+1.99866082603E+007, +8.27688602615E+001, +8.35690418072E+002
+2.01742177722E+007, +8.38220978170E+001, +8.48837077024E+002
+2.03618272841E+007, +8.39844462065E+001, +8.63422334135E+002
+2.05494367960E+007, +8.65044716077E+001, +8.71041655146E+002
+2.07370463079E+007, +8.57924942192E+001, +8.80117358207E+002
+2.09246558198E+007, +8.83768778331E+001, +8.98983899837E+002
+2.11122653317E+007, +8.75718894172E+001, +9.11961774385E+002
+2.12998748436E+007, +9.12802651311E+001, +9.20325727589E+002
+2.14874843554E+007, +9.08139815478E+001, +9.36043558150E+002
