"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -2.38620585628E+004, +2.20260274495E+004
+2.87609511890E+005, +7.64570959788E+004, +1.55415203053E+005
+4.75219023780E+005, -4.08455036527E+004, +2.44204081446E+004
+6.62828535670E+005, -4.59699329869E+004, -2.73871200769E+004
+8.50438047559E+005, -1.71968811813E+004, -2.67788290580E+004
+1.03804755945E+006, +1.10801354291E+005, -2.20990516442E+004
+1.22565707134E+006, -3.56611344908E+004, -4.48127717294E+004
+1.41326658323E+006, -1.82674091415E+004, -1.56203944082E+004
+1.60087609512E+006, -3.97113868327E+004, -3.51108161818E+003
+1.78848560701E+006, -2.43791019717E+004, -8.71295394317E+003
+1.97609511890E+006, -3.37969562565E+004, -2.58359175800E+004
+2.16370463079E+006, -2.59661995765E+004, -1.29962839816E+004
+2.35131414268E+006, -1.28915109225E+004, -9.55453344667E+003
+2.53892365457E+006, -1.64172926316E+004, -9.75730423949E+003
+2.72653316646E+006, -1.17908189782E+004, -7.57915374838E+003
+2.91414267835E+006, -1.12782695427E+004, -6.64677248750E+003
+3.10175219024E+006, -7.04075652550E+003, -7.28934885352E+003
+3.28936170213E+006, -5.10176741684E+003, -1.07211052359E+004
+3.47697121402E+006, -5.76215954512E+003, -9.62710546400E+003
+3.66458072591E+006, -5.79420770174E+003, -9.00471182603E+003
+3.85219023780E+006, -3.22273814806E+003, -7.37760353197E+003
+4.03979974969E+006, -3.73317154184E+003, -6.48055540016E+003
+4.22740926158E+006, -3.29956530563E+003, -6.53970344790E+003
+4.41501877347E+006, -3.35876084530E+003, -6.96092490994E+003
+4.60262828536E+006, -2.35975989559E+003, -6.42243884094E+003
+4.79023779725E+006, -2.25992249003E+003, -5.57667850887E+003
+4.97784730914E+006, -1.94103803411E+003, -6.34856844516E+003
+5.16545682103E+006, -1.76371161182E+003, -5.65486536538E+003
+5.35306633292E+006, -2.42971300723E+003, -4.95925065639E+003
+5.54067584481E+006, -1.37934768903E+003, -4.73508084175E+003
+5.72828535670E+006, -1.41670193787E+003, -4.48684650392E+003
+5.91589486859E+006, -1.14240823040E+003, -4.92404526419E+003
+6.10350438048E+006, -9.69640541079E+002, -4.14998514844E+003
+6.29111389237E+006, -1.00485178302E+003, -4.32778584667E+003
+6.47872340426E+006, -8.47669990619E+002, -4.18992667357E+003
+6.66633291615E+006, -7.98457547948E+002, -3.97630685832E+003
+6.85394242804E+006, -8.26379503418E+002, -3.96061681809E+003
+7.04155193992E+006, -6.49408180796E+002, -3.85211774453E+003
+7.22916145181E+006, -5.02424944589E+002, -3.78268187309E+003
+7.41677096370E+006, -5.83142466178E+002, -3.64529171627E+003
+7.60438047559E+006, -5.61145955689E+002, -3.45711640062E+003
+7.79198998748E+006, -5.01631830645E+002, -3.42876370107E+003
+7.97959949937E+006, -5.06549666437E+002, -3.38908402669E+003
+8.16720901126E+006, -3.18204557502E+002, -3.23986906947E+003
+8.35481852315E+006, -4.38921132245E+002, -3.24329971857E+003
+8.54242803504E+006, -3.30277243111E+002, -3.18133283420E+003
+8.73003754693E+006, -4.09100180773E+002, -2.99100208234E+003
+8.91764705882E+006, -3.81504921162E+002, -2.94344083643E+003
+9.10525657071E+006, -3.49422939788E+002, -2.87173627907E+003
+9.29286608260E+006, -3.63867083611E+002, -2.87649876541E+003
+9.48047559449E+006, -3.58853419325E+002, -2.82834801357E+003
+9.66808510638E+006, -3.08343517950E+002, -2.78313202766E+003
+9.85569461827E+006, -3.37810998431E+002, -2.71360024042E+003
+1.00433041302E+007, -2.74403119280E+002, -2.69605866376E+003
+1.02309136421E+007, -2.89572729684E+002, -2.60733332376E+003
+1.04185231539E+007, -2.64576110140E+002, -2.59505742671E+003
+1.06061326658E+007, -2.68292629050E+002, -2.56431531877E+003
+1.07937421777E+007, -2.28959010762E+002, -2.43991814715E+003
+1.09813516896E+007, -2.50676136727E+002, -2.42621843790E+003
+1.11689612015E+007, -2.21537468126E+002, -2.39490029460E+003
+1.13565707134E+007, -2.20878517062E+002, -2.37609155070E+003
+1.15441802253E+007, -2.35406858499E+002, -2.31009281443E+003
+1.17317897372E+007, -2.09211683117E+002, -2.29260090413E+003
+1.19193992491E+007, -2.03773087789E+002, -2.23054881670E+003
+1.21070087610E+007, -1.98089150073E+002, -2.21485114980E+003
+1.22946182728E+007, -2.00423205081E+002, -2.14814478027E+003
+1.24822277847E+007, -2.09509247814E+002, -2.15048085219E+003
+1.26698372966E+007, -1.74032036664E+002, -2.10545890036E+003
+1.28574468085E+007, -1.75632032555E+002, -2.09994974014E+003
+1.30450563204E+007, -1.73272448186E+002, -2.05831885096E+003
+1.32326658323E+007, -1.65644511015E+002, -2.01132084984E+003
+1.34202753442E+007, -1.57652309928E+002, -1.97689010424E+003
+1.36078848561E+007, -1.32919025979E+002, -1.97529645290E+003
+1.37954943680E+007, -1.41080445043E+002, -1.94737785157E+003
+1.39831038798E+007, -1.54399880131E+002, -1.91702565885E+003
+1.41707133917E+007, -1.47108136335E+002, -1.88072552748E+003
+1.43583229036E+007, -1.16250896545E+002, -1.84859531256E+003
+1.45459324155E+007, -1.41868060380E+002, -1.82750798303E+003
+1.47335419274E+007, -1.33603280557E+002, -1.81847149944E+003
+1.49211514393E+007, -1.43749073650E+002, -1.78395902786E+003
+1.51087609512E+007, -1.18358536767E+002, -1.75425018091E+003
+1.52963704631E+007, -1.10425810081E+002, -1.74557996883E+003
+1.54839799750E+007, -1.13441596449E+002, -1.73290829896E+003
+1.56715894869E+007, -8.48488213835E+001, -1.68435477091E+003
+1.58591989987E+007, -1.04106465894E+002, -1.68527988186E+003
+1.60468085106E+007, -1.32488158947E+002, -1.66793902663E+003
+1.62344180225E+007, -1.25444803228E+002, -1.63651421895E+003
+1.64220275344E+007, -9.00220335093E+001, -1.61726759894E+003
+1.66096370463E+007, -8.64304965402E+001, -1.57912007489E+003
+1.67972465582E+007, -9.55782604439E+001, -1.56166130455E+003
+1.69848560701E+007, -8.24428819602E+001, -1.54956824542E+003
+1.71724655820E+007, -1.12623315920E+002, -1.53652657064E+003
+1.73600750939E+007, -1.02338076308E+002, -1.51160326773E+003
+1.75476846058E+007, -1.10873420234E+002, -1.50072586314E+003
+1.77352941176E+007, -8.09882377236E+001, -1.47870086961E+003
+1.79229036295E+007, -7.82148109788E+001, -1.45214426876E+003
+1.81105131414E+007, -9.54774353588E+001, -1.46380669018E+003
+1.82981226533E+007, -7.53767626226E+001, -1.43305647965E+003
+1.84857321652E+007, -6.62439366754E+001, -1.42608785938E+003
+1.86733416771E+007, -6.21989764539E+001, -1.39532050291E+003
+1.88609511890E+007, -6.37599620932E+001, -1.38644794009E+003
+1.90485607009E+007, -6.91514042123E+001, -1.36245866247E+003
+1.92361702128E+007, -5.66977755654E+001, -1.35420540135E+003
+1.94237797247E+007, -6.25924782992E+001, -1.33585522238E+003
+1.96113892365E+007, -4.21665834014E+001, -1.31979789290E+003
+1.97989987484E+007, -4.21540574482E+001, -1.32602930271E+003
+1.99866082603E+007, -4.65775908684E+001, -1.29655721011E+003
+2.01742177722E+007, -5.36134485101E+001, -1.26903292485E+003
+2.03618272841E+007, -3.56107550708E+001, -1.26891710259E+003
+2.05494367960E+007, -3.50858552553E+001, -1.25719079546E+003
+2.07370463079E+007, -3.52416546243E+001, -1.24621994706E+003
+2.09246558198E+007, -3.54137375474E+001, -1.21991484957E+003
+2.11122653317E+007, -2.70535492373E+001, -1.22030266809E+003
+2.12998748436E+007, -3.50012429434E+001, -1.21453832972E+003
+2.14874843554E+007, -2.29608981103E+001, -1.19577328451E+003
+2.16750938673E+007, -2.92104308787E+001, -1.16681876245E+003
+2.18627033792E+007, -2.15228269241E+001, -1.17466979274E+003
+2.20503128911E+007, -1.85840362196E+001, -1.15964235773E+003
+2.22379224030E+007, -9.24486078514E+000, -1.14186821490E+003
+2.24255319149E+007, -8.66599971607E+000, -1.13806031633E+003
+2.26131414268E+007, -9.13325301413E+000, -1.12537707229E+003
+2.28007509387E+007, -9.08034385225E-001, -1.11974734826E+003
+2.29883604506E+007, +9.74448167464E-001, -1.09251921246E+003
+2.31759699625E+007, +1.85777868527E+001, -1.09118120480E+003
+2.33635794743E+007, +1.07406274131E+001, -1.08407970407E+003
+2.35511889862E+007, +1.74914194927E+001, -1.07541967931E+003
+2.37387984981E+007, +2.32392601506E+001, -1.06362217493E+003
+2.39264080100E+007, +2.97081346803E+001, -1.05315039821E+003
+2.41140175219E+007, +2.68391099341E+001, -1.05035574062E+003
+2.43016270338E+007, +3.94847552440E+001, -1.04489675758E+003
+2.44892365457E+007, +4.54763372552E+001, -1.04633555185E+003
+2.46768460576E+007, +5.24371568545E+001, -1.02868912938E+003
+2.48644555695E+007, +4.71439157616E+001, -1.03313111014E+003
+2.50520650814E+007, +5.75936413970E+001, -1.03020528980E+003
+2.52396745932E+007, +5.31611302501E+001, -1.03285325206E+003
+2.54272841051E+007, +6.10489479963E+001, -1.03234003605E+003
+2.56148936170E+007, +4.84045336011E+001, -1.03214936337E+003
+2.58025031289E+007, +5.20924824773E+001, -1.03009498067E+003
+2.59901126408E+007, +4.94410206675E+001, -1.02081371287E+003
+2.61777221527E+007, +4.13245408185E+001, -1.02152709374E+003
+2.63653316646E+007, +3.86048536219E+001, -1.01262084072E+003
+2.65529411765E+007, +2.87168843538E+001, -1.00869199996E+003
+2.67405506884E+007, +2.55558959078E+001, -9.96769880478E+002
+2.69281602003E+007, +3.06477879398E+001, -9.91647645628E+002
+2.71157697121E+007, +1.70160878590E+001, -9.78615623311E+002
+2.73033792240E+007, +1.14316840595E+001, -9.75567921480E+002
+2.74909887359E+007, +1.38455670783E+001, -9.68232727508E+002
+2.76785982478E+007, +9.22537820023E+000, -9.58772323669E+002
+2.78662077597E+007, +1.41932336260E+001, -9.49245569509E+002
+2.80538172716E+007, +5.43630155909E+000, -9.45185872761E+002
+2.82414267835E+007, +9.24415597735E+000, -9.37278819116E+002
+2.84290362954E+007, +1.06681366542E+001, -9.30467742743E+002
+2.86166458073E+007, +2.96262942462E+000, -9.23556552727E+002
+2.88042553191E+007, +3.61092028646E+000, -9.10178241801E+002
+2.89918648310E+007, +4.44136444479E+000, -9.01003074114E+002
+2.91794743429E+007, -2.31018510948E+000, -8.94403605988E+002
+2.93670838548E+007, -2.99796304590E+000, -8.80122329376E+002
+2.95546933667E+007, -3.32034943803E+000, -8.75937872814E+002
+2.97423028786E+007, -8.77057018023E+000, -8.72283269946E+002
+2.99299123905E+007, -2.79217976824E-001, -8.67269039040E+002
+3.01175219024E+007, -4.19498895991E+000, -8.56908885942E+002
+3.03051314143E+007, -9.13084534545E-001, -8.47928049971E+002
+3.04927409262E+007, -6.55808690325E+000, -8.42764896366E+002
+3.06803504380E+007, -3.46420423774E+000, -8.34015282568E+002
+3.08679599499E+007, -1.05414205391E+001, -8.29472665448E+002
+3.10555694618E+007, -9.21152468139E+000, -8.19583194481E+002
+3.12431789737E+007, -7.43186150500E+000, -8.13501249150E+002
+3.14307884856E+007, -6.71152451242E+000, -8.08124964232E+002
+3.16183979975E+007, -7.98142796410E+000, -7.99434721363E+002
+3.18060075094E+007, -5.21564859212E+000, -7.93653193703E+002
+3.19936170213E+007, -9.26459027961E+000, -7.86648693183E+002
+3.21812265332E+007, -3.55396440398E+000, -7.82055860535E+002
+3.23688360451E+007, -6.10345870273E+000, -7.72107321556E+002
+3.25564455569E+007, -7.88851327876E+000, -7.68036870040E+002
+3.27440550688E+007, -6.67942872736E+000, -7.59206139629E+002
+3.29316645807E+007, -7.23038052711E+000, -7.53803342424E+002
+3.31192740926E+007, -5.94446238572E+000, -7.49791713429E+002
+3.33068836045E+007, -9.72033417318E+000, -7.40850112642E+002
+3.34944931164E+007, -4.85699000198E+000, -7.36743124016E+002
+3.36821026283E+007, -5.11291461404E+000, -7.28709047980E+002
+3.38697121402E+007, -5.76433444278E+000, -7.23382744932E+002
