"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, -2.98434836331E+004, +1.15465658050E+004
+2.87609511890E+005, +5.27354174936E+004, -3.53890018503E+004
+4.75219023780E+005, +3.35778511855E+003, -1.70196059701E+005
+6.62828535670E+005, -4.20626903681E+004, -2.05827065795E+004
+8.50438047559E+005, -3.63572508746E+004, -5.74827820944E+004
+1.03804755945E+006, +1.21015332597E+005, -1.38564303807E+005
+1.22565707134E+006, -1.55556037966E+004, -1.20092049845E+005
+1.41326658323E+006, -2.41564893875E+004, -2.82604774804E+004
+1.60087609512E+006, -2.85192755875E+004, +7.33581612038E+003
+1.78848560701E+006, -2.68280867488E+004, +1.77566059148E+003
+1.97609511890E+006, -8.80019639670E+004, -4.16039194613E+004
+2.16370463079E+006, -2.37218766646E+004, -3.37114455855E+004
+2.35131414268E+006, -1.18824651932E+004, -8.70740038526E+003
+2.53892365457E+006, -1.21055087017E+004, -1.68370599334E+004
+2.72653316646E+006, -1.21907845392E+004, -8.54330027556E+003
+2.91414267835E+006, -1.12164181572E+004, -9.13866029827E+003
+3.10175219024E+006, -8.16082361572E+003, -7.44197691837E+003
+3.28936170213E+006, -5.82541697157E+003, -9.39549432025E+003
+3.47697121402E+006, -6.02705104697E+003, -8.10172120502E+003
+3.66458072591E+006, -5.62043321367E+003, -8.80608725780E+003
+3.85219023780E+006, -3.95559588944E+003, -7.49845137553E+003
+4.03979974969E+006, -3.79842945284E+003, -5.92543743177E+003
+4.22740926158E+006, -3.39312077597E+003, -6.56966834759E+003
+4.41501877347E+006, -3.45347946120E+003, -6.74891849273E+003
+4.60262828536E+006, -2.96436556407E+003, -6.63167660787E+003
+4.79023779725E+006, -2.43050227196E+003, -5.83094943092E+003
+4.97784730914E+006, -1.37187187587E+003, -6.45359577560E+003
+5.16545682103E+006, -2.26984290515E+003, -5.22292017089E+003
+5.35306633292E+006, -2.49452664181E+003, -4.93787796437E+003
+5.54067584481E+006, -1.84287838427E+003, -4.77454408747E+003
+5.72828535670E+006, -1.60571330170E+003, -4.70026499903E+003
+5.91589486859E+006, -1.62248396215E+003, -4.62550077858E+003
+6.10350438048E+006, -1.22714393475E+003, -4.40725846726E+003
