"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +8.25484827207E-001, +3.64895090283E+000
+2.87609511890E+005, +7.99138566061E-001, +1.00041535655E+001
+4.75219023780E+005, +8.53350198016E-001, +1.66111038767E+001
+6.62828535670E+005, +9.87009474248E-001, +2.30047480988E+001
+8.50438047559E+005, +9.72157431550E-001, +2.94978468020E+001
+1.03804755945E+006, +9.89838429904E-001, +3.60885813213E+001
+1.22565707134E+006, +1.05025818007E+000, +4.24306510880E+001
+1.41326658323E+006, +1.19421385846E+000, +4.89225283232E+001
+1.60087609512E+006, +1.27508516327E+000, +5.53588141922E+001
+1.78848560701E+006, +1.22349772863E+000, +6.17883365355E+001
+1.97609511890E+006, +1.29618100379E+000, +6.82871412432E+001
+2.16370463079E+006, +1.35756793658E+000, +7.47621162024E+001
+2.35131414268E+006, +1.43129656869E+000, +8.11083725842E+001
+2.53892365457E+006, +1.24394113248E+000, +8.74965784530E+001
+2.72653316646E+006, +1.54554381229E+000, +9.39112517882E+001
+2.91414267835E+006, +1.44234008627E+000, +1.00574966480E+002
+3.10175219024E+006, +1.42701099045E+000, +1.06768101908E+002
+3.28936170213E+006, +1.41472014350E+000, +1.13246518273E+002
+3.47697121402E+006, +1.39162970405E+000, +1.19724162912E+002
+3.66458072591E+006, +1.56340719296E+000, +1.26334222348E+002
+3.85219023780E+006, +1.41071656929E+000, +1.32487587379E+002
+4.03979974969E+006, +1.69143420766E+000, +1.39148419356E+002
+4.22740926158E+006, +1.63537619072E+000, +1.45471516682E+002
+4.41501877347E+006, +1.50411948784E+000, +1.52062029338E+002
+4.60262828536E+006, +1.62623597905E+000, +1.58333705750E+002
+4.79023779725E+006, +1.75689173330E+000, +1.64996955308E+002
+4.97784730914E+006, +1.88384423693E+000, +1.71388449105E+002
+5.16545682103E+006, +1.47175122486E+000, +1.77915701361E+002
+5.35306633292E+006, +1.75617525449E+000, +1.84349615893E+002
+5.54067584481E+006, +1.55893991874E+000, +1.90801993424E+002
+5.72828535670E+006, +1.70501235610E+000, +1.97447675572E+002
+5.91589486859E+006, +1.94826696636E+000, +2.03961651748E+002
+6.10350438048E+006, +2.08379087160E+000, +2.10441145962E+002
+6.29111389237E+006, +1.99415253076E+000, +2.16831985763E+002
+6.47872340426E+006, +1.96526698127E+000, +2.23507283137E+002
+6.66633291615E+006, +2.04305244307E+000, +2.30025490879E+002
+6.85394242804E+006, +2.22402068691E+000, +2.36449921925E+002
