"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +5.80623821140E-001, +2.00770936195E+001
+1.34500000000E+006, +6.23657532405E-001, +2.68884238128E+001
+1.69000000000E+006, +6.41146657328E-001, +3.36527352449E+001
+2.03500000000E+006, +7.03754503065E-001, +4.04777402407E+001
+2.38000000000E+006, +7.35368606970E-001, +4.71730349189E+001
+2.72500000000E+006, +6.99104784437E-001, +5.40624259327E+001
+3.07000000000E+006, +7.61969604693E-001, +6.07896223755E+001
+3.41500000000E+006, +8.07862969865E-001, +6.75967022813E+001
+3.76000000000E+006, +8.97229569716E-001, +7.44932907869E+001
+4.10500000000E+006, +7.88243293324E-001, +8.12593782427E+001
+4.45000000000E+006, +8.67270681622E-001, +8.77981083766E+001
+4.79500000000E+006, +9.17606750538E-001, +9.47758245604E+001
+5.14000000000E+006, +9.60537442580E-001, +1.01338250038E+002
+5.48500000000E+006, +9.78117177988E-001, +1.08144595448E+002
+5.83000000000E+006, +1.15158144071E+000, +1.14824410364E+002
+6.17500000000E+006, +1.09370062581E+000, +1.21643306987E+002
+6.52000000000E+006, +1.29732831815E+000, +1.28386245008E+002
+6.86500000000E+006, +1.43229122871E+000, +1.35096202976E+002
+7.21000000000E+006, +1.56421521324E+000, +1.41616330519E+002
+7.55500000000E+006, +1.45374767738E+000, +1.48356539652E+002
+7.90000000000E+006, +1.49507605624E+000, +1.54969852658E+002
+8.24500000000E+006, +1.43035939037E+000, +1.61582741088E+002
+8.59000000000E+006, +1.41077624751E+000, +1.68082312535E+002
+8.93500000000E+006, +1.52235028973E+000, +1.74901209439E+002
+9.28000000000E+006, +1.14556710024E+000, +1.81322085191E+002
+9.62500000000E+006, +1.33385021468E+000, +1.87953135621E+002
+9.97000000000E+006, +1.29710688512E+000, +1.94417759120E+002
+1.03150000000E+007, +1.12234417086E+000, +2.01180838046E+002
+1.06600000000E+007, +9.70298487230E-001, +2.07563120177E+002
+1.10050000000E+007, +1.37938393491E+000, +2.14095419330E+002
+1.13500000000E+007, +1.04923330305E+000, +2.21086293893E+002
+1.16950000000E+007, +1.01043783897E+000, +2.27459698400E+002
+1.20400000000E+007, +7.10077251788E-001, +2.34095456316E+002
+1.23850000000E+007, +8.82873963439E-001, +2.40086858151E+002
+1.27300000000E+007, +9.65782910003E-001, +2.46691553920E+002
+1.30750000000E+007, +5.78288058215E-001, +2.53398915018E+002
+1.34200000000E+007, +1.02560031653E+000, +2.59451902784E+002
+1.37650000000E+007, +1.46579967618E+000, +2.65709324961E+002
+1.41100000000E+007, +1.19717988310E+000, +2.72525016799E+002
+1.44550000000E+007, +1.31541581115E+000, +2.78515796615E+002
+1.48000000000E+007, +1.07277880751E+000, +2.85009875135E+002
+1.51450000000E+007, +1.06000994652E+000, +2.91813204104E+002
+1.54900000000E+007, +9.54062800516E-001, +2.98141318782E+002
+1.58350000000E+007, +1.18910351567E+000, +3.04551145515E+002
+1.61800000000E+007, +1.25153115858E+000, +3.10368338078E+002
+1.65250000000E+007, +9.46759336309E-001, +3.16549466186E+002
+1.68700000000E+007, +3.64097666321E-001, +3.23387439920E+002
+1.72150000000E+007, +6.77760981715E-001, +3.29412227948E+002
+1.75600000000E+007, +3.23832084568E-001, +3.35733833921E+002
+1.79050000000E+007, +2.43330464736E-001, +3.41912523841E+002
+1.82500000000E+007, +9.48894160242E-001, +3.47578582336E+002
+1.85950000000E+007, +9.13256562582E-001, +3.53704290992E+002
+1.89400000000E+007, +9.86883063672E-001, +3.60668709949E+002
+1.92850000000E+007, +1.69133806007E+000, +3.66878812467E+002
+1.96300000000E+007, +1.00635900438E+000, +3.73099905176E+002
+1.99750000000E+007, +1.46371597843E+000, +3.77805622107E+002
+2.03200000000E+007, +1.07382851875E+000, +3.85577114028E+002
+2.06650000000E+007, +1.64352534696E+000, +3.90032357285E+002
+2.10100000000E+007, +1.38859896513E+000, +3.98049252055E+002
+2.13550000000E+007, +1.31897508988E+000, +4.03316823225E+002
+2.17000000000E+007, +1.89790659477E+000, +4.09082674460E+002
+2.20450000000E+007, +1.27212383918E+000, +4.14529778010E+002
+2.23900000000E+007, +2.42229301469E+000, +4.21433079284E+002
+2.27350000000E+007, +1.74652330431E+000, +4.27558513218E+002
+2.30800000000E+007, +2.94558719833E+000, +4.32957138814E+002
+2.34250000000E+007, +2.67971269475E+000, +4.39136747290E+002
+2.37700000000E+007, +2.54741520288E+000, +4.44691303559E+002
+2.41150000000E+007, +3.44308581837E+000, +4.51566276328E+002
+2.44600000000E+007, +2.84678549708E+000, +4.57853877687E+002
+2.48050000000E+007, +3.67807534373E+000, +4.64519067518E+002
+2.51500000000E+007, +3.36099783410E+000, +4.70193927957E+002
+2.54950000000E+007, +4.32492033665E+000, +4.76219211241E+002
+2.58400000000E+007, +4.40876845066E+000, +4.81096391538E+002
+2.61850000000E+007, +5.19320028261E+000, +4.86130620277E+002
+2.65300000000E+007, +4.83391012189E+000, +4.92133226865E+002
+2.68750000000E+007, +5.15895414496E+000, +4.98567266866E+002
+2.72200000000E+007, +4.88546972913E+000, +5.03431669676E+002
+2.75650000000E+007, +5.49187600327E+000, +5.10573671355E+002
+2.79100000000E+007, +4.67855022568E+000, +5.16859658279E+002
+2.82550000000E+007, +5.68461757846E+000, +5.21873374341E+002
+2.86000000000E+007, +2.70575405121E+000, +5.29132833262E+002
+2.89450000000E+007, +5.36200147014E+000, +5.34015143637E+002
+2.92900000000E+007, +5.66971735608E+000, +5.41346939696E+002
+2.96350000000E+007, +6.27520300786E+000, +5.49077889696E+002
+2.99800000000E+007, +6.20551511798E+000, +5.53016748714E+002
+3.03250000000E+007, +6.30379578618E+000, +5.60240105340E+002
+3.06700000000E+007, +5.58652875921E+000, +5.65736157055E+002
+3.10150000000E+007, +5.99059861218E+000, +5.72394329253E+002
+3.13600000000E+007, +7.15064821094E+000, +5.78147709523E+002
+3.17050000000E+007, +6.72122105557E+000, +5.84512335931E+002
+3.20500000000E+007, +8.54792729524E+000, +5.91217130758E+002
+3.23950000000E+007, +9.05572231425E+000, +5.96710301320E+002
+3.27400000000E+007, +9.96453439623E+000, +6.05305957689E+002
+3.30850000000E+007, +8.69840522110E+000, +6.11870214207E+002
+3.34300000000E+007, +9.22820786864E+000, +6.15707621356E+002
+3.37750000000E+007, +9.76747486450E+000, +6.23361026445E+002
+3.41200000000E+007, +8.86895263361E+000, +6.29672619876E+002
+3.44650000000E+007, +9.63219682753E+000, +6.37292688046E+002
+3.48100000000E+007, +1.06463698637E+001, +6.44312413904E+002
+3.51550000000E+007, +1.26668984825E+001, +6.49987017089E+002
+3.55000000000E+007, +1.30010702033E+001, +6.57545666310E+002
+3.58450000000E+007, +1.17783525494E+001, +6.62673543938E+002
+3.61900000000E+007, +1.21731163982E+001, +6.73127431639E+002
+3.65350000000E+007, +1.37049303965E+001, +6.79329813375E+002
+3.68800000000E+007, +1.42208066777E+001, +6.85529869026E+002
+3.72250000000E+007, +1.49836376638E+001, +6.92481022112E+002
+3.75700000000E+007, +1.46000907580E+001, +7.00719542143E+002
+3.79150000000E+007, +1.71067035635E+001, +7.07450558946E+002
+3.82600000000E+007, +1.78511947395E+001, +7.16266290625E+002
+3.86050000000E+007, +1.82445970958E+001, +7.23078610464E+002
+3.89500000000E+007, +1.89331088181E+001, +7.31897127360E+002
+3.92950000000E+007, +1.86023822654E+001, +7.39690002215E+002
+3.96400000000E+007, +1.89459246767E+001, +7.48488866409E+002
+3.99850000000E+007, +2.24444370414E+001, +7.55891426442E+002
+4.03300000000E+007, +2.22756151307E+001, +7.63782486018E+002
+4.06750000000E+007, +2.41078408308E+001, +7.77708608642E+002
+4.10200000000E+007, +2.22273473385E+001, +7.89905646003E+002
+4.13650000000E+007, +2.48741562919E+001, +7.96500100160E+002
+4.17100000000E+007, +2.57110548247E+001, +8.04692407092E+002
+4.20550000000E+007, +2.69336674157E+001, +8.12859655303E+002
+4.24000000000E+007, +2.81091658778E+001, +8.22770966659E+002
+4.27450000000E+007, +3.53541563243E+001, +8.40572054851E+002
+4.30900000000E+007, +3.45698454204E+001, +8.49599159261E+002
+4.34350000000E+007, +3.60677492953E+001, +8.60103984116E+002
+4.37800000000E+007, +3.67965759361E+001, +8.75207262523E+002
+4.41250000000E+007, +3.83643968326E+001, +8.87997354538E+002
+4.44700000000E+007, +4.30218986936E+001, +8.98056295058E+002
+4.48150000000E+007, +4.41304987717E+001, +9.12967289475E+002
+4.51600000000E+007, +4.65835860396E+001, +9.28768566446E+002
+4.55050000000E+007, +4.58781956732E+001, +9.39035812930E+002
+4.58500000000E+007, +4.85035689928E+001, +9.61483424648E+002
+4.61950000000E+007, +5.12170736823E+001, +9.75528003018E+002
+4.65400000000E+007, +5.26799110655E+001, +9.95429721585E+002
+4.68850000000E+007, +5.85375456768E+001, +1.01376434662E+003
+4.72300000000E+007, +6.47065178723E+001, +1.03337182908E+003
+4.75750000000E+007, +7.67672833706E+001, +1.05469224496E+003
+4.79200000000E+007, +8.44893425837E+001, +1.08027595337E+003
+4.82650000000E+007, +9.57859582714E+001, +1.09795388325E+003
+4.86100000000E+007, +1.08412247709E+002, +1.13208546776E+003
+4.89550000000E+007, +1.24883872448E+002, +1.14668494648E+003
+4.93000000000E+007, +1.26619626120E+002, +1.16538812067E+003
+4.96450000000E+007, +1.49074836165E+002, +1.19211611912E+003
+4.99900000000E+007, +1.58046216301E+002, +1.22503996453E+003
+5.03350000000E+007, +1.71065817080E+002, +1.25876145923E+003
+5.06800000000E+007, +1.87068892269E+002, +1.29395431565E+003
+5.10250000000E+007, +2.01908977414E+002, +1.31991768940E+003
+5.13700000000E+007, +2.25681403486E+002, +1.35468212127E+003
+5.17150000000E+007, +2.41500717424E+002, +1.39688206101E+003
+5.20600000000E+007, +2.72631691974E+002, +1.44256007465E+003
+5.24050000000E+007, +3.06149948649E+002, +1.49047199312E+003
+5.27500000000E+007, +3.27679005934E+002, +1.54118006751E+003
+5.30950000000E+007, +3.79505179794E+002, +1.58896513684E+003
+5.34400000000E+007, +4.25664984078E+002, +1.66039621831E+003
+5.37850000000E+007, +4.94578926300E+002, +1.72010740641E+003
+5.41300000000E+007, +5.41902698516E+002, +1.81477124120E+003
+5.44750000000E+007, +6.40523455577E+002, +1.86644358581E+003
+5.48200000000E+007, +7.17511304298E+002, +1.97446071953E+003
+5.51650000000E+007, +8.36358396529E+002, +2.06762364307E+003
+5.55100000000E+007, +1.01689306220E+003, +2.20187419500E+003
+5.58550000000E+007, +1.22867392179E+003, +2.32440040777E+003
+5.62000000000E+007, +1.57605526599E+003, +2.42314691009E+003
+5.65450000000E+007, +2.02630476396E+003, +2.38742182111E+003
