"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.01673753228E+001, +2.08082614678E+001
+1.34500000000E+006, +2.01225562479E+001, +2.79581444855E+001
+1.69000000000E+006, +2.00710818256E+001, +3.50379899051E+001
+2.03500000000E+006, +2.00768395400E+001, +4.21652632080E+001
+2.38000000000E+006, +2.01188409322E+001, +4.92389450870E+001
+2.72500000000E+006, +2.00151251732E+001, +5.64237013990E+001
+3.07000000000E+006, +2.00581911515E+001, +6.33982537400E+001
+3.41500000000E+006, +2.01175677216E+001, +7.05434557308E+001
+3.76000000000E+006, +2.01060507768E+001, +7.76461278797E+001
+4.10500000000E+006, +1.97029061054E+001, +8.46946706949E+001
+4.45000000000E+006, +2.01218196466E+001, +9.17357247614E+001
+4.79500000000E+006, +2.01740011222E+001, +9.89520029197E+001
+5.14000000000E+006, +2.02402336277E+001, +1.05860928952E+002
+5.48500000000E+006, +2.01394002632E+001, +1.12915814108E+002
+5.83000000000E+006, +2.01922371150E+001, +1.19775553581E+002
+6.17500000000E+006, +1.99257776558E+001, +1.27124867616E+002
+6.52000000000E+006, +2.04291914308E+001, +1.34042418380E+002
+6.86500000000E+006, +2.04487154186E+001, +1.41110751473E+002
+7.21000000000E+006, +2.04737769779E+001, +1.47908736260E+002
+7.55500000000E+006, +2.04612428441E+001, +1.54937762826E+002
+7.90000000000E+006, +2.04518682088E+001, +1.61936063111E+002
+8.24500000000E+006, +2.03637218210E+001, +1.68844432975E+002
+8.59000000000E+006, +2.03590376551E+001, +1.75863875807E+002
+8.93500000000E+006, +2.04852890455E+001, +1.82894998877E+002
+9.28000000000E+006, +1.99494184012E+001, +1.89820231423E+002
+9.62500000000E+006, +2.00502803747E+001, +1.96634794426E+002
+9.97000000000E+006, +2.01190853580E+001, +2.03642010537E+002
+1.03150000000E+007, +2.01723413885E+001, +2.10496483723E+002
+1.06600000000E+007, +1.98301248537E+001, +2.17619899948E+002
+1.10050000000E+007, +2.01622824021E+001, +2.24482653628E+002
+1.13500000000E+007, +1.99138559542E+001, +2.31423282849E+002
+1.16950000000E+007, +1.96423196972E+001, +2.38294825736E+002
+1.20400000000E+007, +1.97561344137E+001, +2.44895558528E+002
+1.23850000000E+007, +1.99960351973E+001, +2.51722470697E+002
+1.27300000000E+007, +1.97122124826E+001, +2.58270530801E+002
+1.30750000000E+007, +2.00287895287E+001, +2.65468564277E+002
+1.34200000000E+007, +1.98501140166E+001, +2.72037243666E+002
+1.37650000000E+007, +2.02012303426E+001, +2.78591540655E+002
+1.41100000000E+007, +2.00168430308E+001, +2.85578145314E+002
+1.44550000000E+007, +1.98935129624E+001, +2.92198323935E+002
+1.48000000000E+007, +1.95510332955E+001, +2.99019210078E+002
+1.51450000000E+007, +1.99668896278E+001, +3.06206943559E+002
+1.54900000000E+007, +2.03945663446E+001, +3.12440108910E+002
+1.58350000000E+007, +2.03497659980E+001, +3.18761162770E+002
+1.61800000000E+007, +1.98017948923E+001, +3.25920153511E+002
+1.65250000000E+007, +2.02359654293E+001, +3.32409935278E+002
+1.68700000000E+007, +1.99889992671E+001, +3.39180439103E+002
+1.72150000000E+007, +1.93239514523E+001, +3.46410119602E+002
+1.75600000000E+007, +1.94445232925E+001, +3.52691742051E+002
+1.79050000000E+007, +1.99398323733E+001, +3.58780275567E+002
+1.82500000000E+007, +2.03694718202E+001, +3.65588982706E+002
+1.85950000000E+007, +2.07087580820E+001, +3.72055916990E+002
+1.89400000000E+007, +2.02684054064E+001, +3.79078185153E+002
+1.92850000000E+007, +2.06836516685E+001, +3.85779263279E+002
+1.96300000000E+007, +2.02478254186E+001, +3.91474807310E+002
+1.99750000000E+007, +2.06867786978E+001, +3.97327660598E+002
+2.03200000000E+007, +2.04642146810E+001, +4.05526072755E+002
+2.06650000000E+007, +1.98757682929E+001, +4.10727946628E+002
+2.10100000000E+007, +2.06805048483E+001, +4.17733886663E+002
+2.13550000000E+007, +1.97370560920E+001, +4.24228111667E+002
+2.17000000000E+007, +2.13165264559E+001, +4.30656418224E+002
+2.20450000000E+007, +2.04932353952E+001, +4.37844043521E+002
+2.23900000000E+007, +2.12874933318E+001, +4.44086996821E+002
+2.27350000000E+007, +2.06505147351E+001, +4.50132148837E+002
+2.30800000000E+007, +2.17243210978E+001, +4.56731291406E+002
+2.34250000000E+007, +2.24188065745E+001, +4.62912555383E+002
+2.37700000000E+007, +2.28914287690E+001, +4.69195142383E+002
+2.41150000000E+007, +2.27277601390E+001, +4.75122075203E+002
+2.44600000000E+007, +2.28056217617E+001, +4.83402292474E+002
+2.48050000000E+007, +2.31330977978E+001, +4.88936763445E+002
+2.51500000000E+007, +2.42368979298E+001, +4.95495550827E+002
+2.54950000000E+007, +2.48418645905E+001, +5.02728769483E+002
+2.58400000000E+007, +2.66595873715E+001, +5.08361545964E+002
+2.61850000000E+007, +2.56848015363E+001, +5.13657206653E+002
+2.65300000000E+007, +2.62291331836E+001, +5.20388913228E+002
+2.68750000000E+007, +2.71807386103E+001, +5.26748480962E+002
+2.72200000000E+007, +2.61830703372E+001, +5.32776585174E+002
+2.75650000000E+007, +2.64842948353E+001, +5.38802766445E+002
+2.79100000000E+007, +2.56635737194E+001, +5.47233183684E+002
+2.82550000000E+007, +2.59911513071E+001, +5.53187156985E+002
+2.86000000000E+007, +2.56407426359E+001, +5.60510585244E+002
+2.89450000000E+007, +2.61428030118E+001, +5.67043379612E+002
+2.92900000000E+007, +2.73117884808E+001, +5.74873059095E+002
+2.96350000000E+007, +2.79708930430E+001, +5.83200613458E+002
+2.99800000000E+007, +2.91026618830E+001, +5.87656068769E+002
+3.03250000000E+007, +2.87301690160E+001, +5.94719934910E+002
+3.06700000000E+007, +2.91873394984E+001, +6.01894591225E+002
+3.10150000000E+007, +2.97838917557E+001, +6.09380611585E+002
+3.13600000000E+007, +3.01151002037E+001, +6.15907756046E+002
+3.17050000000E+007, +3.16547977626E+001, +6.21597222201E+002
+3.20500000000E+007, +3.18674740514E+001, +6.31245372558E+002
+3.23950000000E+007, +3.10731790806E+001, +6.37573970843E+002
+3.27400000000E+007, +2.96729847647E+001, +6.44672348256E+002
+3.30850000000E+007, +3.21645879017E+001, +6.52269261496E+002
+3.34300000000E+007, +3.33596639873E+001, +6.58644878713E+002
+3.37750000000E+007, +3.44084373533E+001, +6.66761598900E+002
+3.41200000000E+007, +3.38285259100E+001, +6.72750261741E+002
+3.44650000000E+007, +3.51853219255E+001, +6.80993955863E+002
+3.48100000000E+007, +3.74640240431E+001, +6.90751129199E+002
+3.51550000000E+007, +3.88902772412E+001, +6.96850807904E+002
+3.55000000000E+007, +3.68941677243E+001, +7.04717431962E+002
+3.58450000000E+007, +3.87378532016E+001, +7.14498811215E+002
+3.61900000000E+007, +4.12625573327E+001, +7.23522522579E+002
+3.65350000000E+007, +4.22472353618E+001, +7.29622063708E+002
+3.68800000000E+007, +4.40262588897E+001, +7.40024098765E+002
+3.72250000000E+007, +4.46519365259E+001, +7.48367825075E+002
+3.75700000000E+007, +4.48555119613E+001, +7.58367358856E+002
+3.79150000000E+007, +4.87572057416E+001, +7.62182702871E+002
+3.82600000000E+007, +4.84244030071E+001, +7.77448948418E+002
+3.86050000000E+007, +4.90734414193E+001, +7.82632385885E+002
+3.89500000000E+007, +5.09415987534E+001, +7.93090340736E+002
+3.92950000000E+007, +4.94576612618E+001, +8.02244029905E+002
