"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +7.57167916097E-001, +2.90654962870E+001
+1.24874791319E+006, +8.04703169906E-001, +3.62010716352E+001
+1.49749582638E+006, +7.72102731424E-001, +4.33063883481E+001
+1.74624373957E+006, +7.44277872551E-001, +5.04264209005E+001
+1.99499165275E+006, +6.97329318171E-001, +5.76067539188E+001
+2.24373956594E+006, +7.52379443564E-001, +6.48338205582E+001
+2.49248747913E+006, +6.67176763800E-001, +7.20377582618E+001
+2.74123539232E+006, +6.95713933456E-001, +7.92836576028E+001
+2.98998330551E+006, +7.25341776176E-001, +8.63943597949E+001
+3.23873121870E+006, +8.56488561544E-001, +9.36407509591E+001
+3.48747913189E+006, +6.75210007185E-001, +1.00880634707E+002
+3.73622704508E+006, +6.38439458450E-001, +1.08109046477E+002
+3.98497495826E+006, +7.62198139459E-001, +1.15237148688E+002
+4.23372287145E+006, -1.85632526291E-001, +1.22844164436E+002
+4.48247078464E+006, +6.26965741563E-001, +1.29930495877E+002
+4.73121869783E+006, +7.56684413033E-001, +1.37160925917E+002
+4.97996661102E+006, +7.95456662037E-001, +1.44315206865E+002
+5.22871452421E+006, +7.25050597426E-001, +1.51778742346E+002
+5.47746243740E+006, +5.72794842999E-001, +1.59378815214E+002
+5.72621035058E+006, +7.13760911198E-001, +1.66543230940E+002
+5.97495826377E+006, +4.70815504749E-001, +1.74180429721E+002
+6.22370617696E+006, +5.19983553870E-001, +1.81583822265E+002
+6.47245409015E+006, +5.63194505130E-001, +1.88922160213E+002
+6.72120200334E+006, +7.55684849946E-001, +1.96656631034E+002
+6.96994991653E+006, +9.00928608376E-001, +2.03859711302E+002
+7.21869782972E+006, +1.04734886206E+000, +2.11528052751E+002
+7.46744574290E+006, +8.03586602149E-001, +2.18926346184E+002
+7.71619365609E+006, +9.54708887993E-001, +2.26248968448E+002
+7.96494156928E+006, +7.73966241192E-001, +2.33976887065E+002
+8.21368948247E+006, +1.14672407147E+000, +2.41425300378E+002
+8.46243739566E+006, +1.02844354576E+000, +2.49394935903E+002
+8.71118530885E+006, +1.08784206350E+000, +2.56603805598E+002
+8.95993322204E+006, +1.30340864296E+000, +2.63766716745E+002
+9.20868113523E+006, +6.83432966007E-001, +2.72015080130E+002
+9.45742904841E+006, +2.34527624841E-001, +2.80505521583E+002
+9.70617696160E+006, +6.38728669097E-001, +2.88182139551E+002
+9.95492487479E+006, +8.42066949832E-001, +2.95262599335E+002
+1.02036727880E+007, +4.34762474925E-001, +3.02928422806E+002
+1.04524207012E+007, +5.86151865903E-001, +3.11082005436E+002
+1.07011686144E+007, +8.25771946985E-001, +3.19088106353E+002
+1.09499165275E+007, +1.06272367929E-001, +3.26456064477E+002
+1.11986644407E+007, -1.30658594831E-001, +3.34766517137E+002
