"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +3.46407311682E+001, +3.01395085167E+001
+1.24874791319E+006, +3.46465623770E+001, +3.76401684381E+001
+1.49749582638E+006, +3.45430864860E+001, +4.51175625051E+001
+1.74624373957E+006, +3.45491761325E+001, +5.26982307100E+001
+1.99499165275E+006, +3.44916678658E+001, +6.01714944988E+001
+2.24373956594E+006, +3.44642028628E+001, +6.77478884063E+001
+2.49248747913E+006, +3.43776353965E+001, +7.52811603905E+001
+2.74123539232E+006, +3.45646251631E+001, +8.28093560058E+001
+2.98998330551E+006, +3.45746473032E+001, +9.02430718441E+001
+3.23873121870E+006, +3.45604878619E+001, +9.78802180946E+001
+3.48747913189E+006, +3.45030521101E+001, +1.05452427686E+002
+3.73622704508E+006, +3.45770551927E+001, +1.13116162363E+002
+3.98497495826E+006, +3.45430870126E+001, +1.20658417192E+002
+4.23372287145E+006, +3.37433634162E+001, +1.28801332833E+002
+4.48247078464E+006, +3.45314378494E+001, +1.35878230926E+002
+4.73121869783E+006, +3.47194779318E+001, +1.43412806411E+002
+4.97996661102E+006, +3.48882712247E+001, +1.50943440732E+002
+5.22871452421E+006, +3.47676308151E+001, +1.58821274193E+002
+5.47746243740E+006, +3.49115217829E+001, +1.66303792867E+002
+5.72621035058E+006, +3.47924691545E+001, +1.74211509141E+002
+5.97495826377E+006, +3.48069649092E+001, +1.82491201167E+002
+6.22370617696E+006, +3.47364064091E+001, +1.90229543690E+002
+6.47245409015E+006, +3.49216940888E+001, +1.97966607733E+002
+6.72120200334E+006, +3.52986768146E+001, +2.06006228605E+002
+6.96994991653E+006, +3.53674096962E+001, +2.13503325610E+002
+7.21869782972E+006, +3.55624983397E+001, +2.21502921786E+002
+7.46744574290E+006, +3.55242438446E+001, +2.29020647226E+002
+7.71619365609E+006, +3.59038189340E+001, +2.37068575364E+002
+7.96494156928E+006, +3.57441297215E+001, +2.45118160540E+002
+8.21368948247E+006, +3.62506142968E+001, +2.52865600575E+002
+8.46243739566E+006, +3.62740457492E+001, +2.60857404596E+002
+8.71118530885E+006, +3.63960148717E+001, +2.68406986408E+002
+8.95993322204E+006, +3.65859217603E+001, +2.76546868810E+002
+9.20868113523E+006, +3.60435010533E+001, +2.84991569535E+002
+9.45742904841E+006, +3.58495501329E+001, +2.94201126095E+002
+9.70617696160E+006, +3.65894812137E+001, +3.01818088425E+002
+9.95492487479E+006, +3.68470299410E+001, +3.09731414157E+002
+1.02036727880E+007, +3.65645190641E+001, +3.17430753874E+002
+1.04524207012E+007, +3.64489507436E+001, +3.25755925108E+002
+1.07011686144E+007, +3.67769961412E+001, +3.34614766767E+002
+1.09499165275E+007, +3.65102983062E+001, +3.42556332029E+002
+1.11986644407E+007, +3.67779234884E+001, +3.51628463947E+002
+1.14474123539E+007, +3.66153794678E+001, +3.60564847581E+002
+1.16961602671E+007, +3.66369022049E+001, +3.68658534817E+002
+1.19449081803E+007, +3.64472573150E+001, +3.77342131795E+002
+1.21936560935E+007, +3.68340745720E+001, +3.84806429883E+002
+1.24424040067E+007, +3.75863512611E+001, +3.94398412250E+002
+1.26911519199E+007, +3.73440186221E+001, +4.03148880560E+002
+1.29398998331E+007, +3.74424616332E+001, +4.10306579632E+002
+1.31886477462E+007, +3.79757949623E+001, +4.19777517526E+002
+1.34373956594E+007, +3.74338018260E+001, +4.28407386500E+002
+1.36861435726E+007, +3.74480805441E+001, +4.38328325630E+002
+1.39348914858E+007, +3.84884081556E+001, +4.47701306637E+002
+1.41836393990E+007, +3.81724747183E+001, +4.57200640845E+002
+1.44323873122E+007, +3.83331605342E+001, +4.64769879890E+002
+1.46811352254E+007, +3.80921605905E+001, +4.73226420959E+002
+1.49298831386E+007, +3.77248225715E+001, +4.82951106096E+002
+1.51786310518E+007, +3.92443385631E+001, +4.92577367352E+002
+1.54273789649E+007, +3.85187375839E+001, +5.02600922544E+002
+1.56761268781E+007, +4.01356916713E+001, +5.11939335561E+002
+1.59248747913E+007, +4.01078279124E+001, +5.22656322252E+002
+1.61736227045E+007, +3.87085864342E+001, +5.30955867515E+002
+1.64223706177E+007, +3.91880557158E+001, +5.42200682462E+002
+1.66711185309E+007, +4.07754864845E+001, +5.52239078070E+002
+1.69198664441E+007, +4.14741411268E+001, +5.62804186550E+002
+1.71686143573E+007, +4.00334114657E+001, +5.71038284535E+002
+1.74173622705E+007, +3.84311502091E+001, +5.81975753935E+002
+1.76661101836E+007, +4.03694019318E+001, +5.92570355476E+002
+1.79148580968E+007, +3.92165968751E+001, +6.01065924506E+002
+1.81636060100E+007, +3.93270050457E+001, +6.11668485503E+002
+1.84123539232E+007, +4.15980936876E+001, +6.21900832508E+002
+1.86611018364E+007, +4.51693835024E+001, +6.30600416781E+002
+1.89098497496E+007, +4.48877786671E+001, +6.42997068687E+002
+1.91585976628E+007, +4.46215225496E+001, +6.54154572984E+002
+1.94073455760E+007, +4.37979247560E+001, +6.65345324857E+002
+1.96560934891E+007, +4.46661285501E+001, +6.75978393717E+002
+1.99048414023E+007, +4.48227925455E+001, +6.88385010403E+002
+2.01535893155E+007, +4.15729549081E+001, +6.99738774611E+002
+2.04023372287E+007, +4.49843593137E+001, +7.10163160501E+002
+2.06510851419E+007, +4.44579448498E+001, +7.22600508310E+002
+2.08998330551E+007, +4.62586439946E+001, +7.34373653316E+002
+2.11485809683E+007, +4.66959064053E+001, +7.43091104027E+002
+2.13973288815E+007, +4.47188632818E+001, +7.57081549496E+002
+2.16460767947E+007, +4.45333344077E+001, +7.69490477995E+002
+2.18948247078E+007, +4.23719743563E+001, +7.79856717184E+002
+2.21435726210E+007, +4.69072442181E+001, +7.90268311963E+002
+2.23923205342E+007, +4.67468719663E+001, +8.04486058373E+002
+2.26410684474E+007, +4.98137181494E+001, +8.19413053377E+002
+2.28898163606E+007, +4.78363033011E+001, +8.32674968030E+002
+2.31385642738E+007, +4.90296286222E+001, +8.46676673297E+002
+2.33873121870E+007, +5.28373643150E+001, +8.57884888598E+002
+2.36360601002E+007, +5.17396351217E+001, +8.72849912330E+002
+2.38848080134E+007, +5.53651154294E+001, +8.83431137986E+002
+2.41335559265E+007, +5.36883521521E+001, +8.99612826587E+002
+2.43823038397E+007, +5.90495081149E+001, +9.06888963278E+002
+2.46310517529E+007, +5.59700874655E+001, +9.24665054635E+002
+2.48797996661E+007, +5.66421925105E+001, +9.41084317006E+002
+2.51285475793E+007, +5.98705811973E+001, +9.54260396261E+002
+2.53772954925E+007, +6.01532986794E+001, +9.70918968567E+002
+2.56260434057E+007, +6.53812645358E+001, +9.81659527193E+002
+2.58747913189E+007, +6.30845750252E+001, +9.97212592985E+002
+2.61235392321E+007, +6.04865206199E+001, +1.01680164533E+003
+2.63722871452E+007, +6.15431820878E+001, +1.02936556305E+003
+2.66210350584E+007, +6.54235984549E+001, +1.04944252911E+003
+2.68697829716E+007, +6.42967439471E+001, +1.06274313794E+003
+2.71185308848E+007, +6.19655696023E+001, +1.08166769115E+003
+2.73672787980E+007, +6.68094395606E+001, +1.10173473614E+003
+2.76160267112E+007, +7.30044582580E+001, +1.11731623153E+003
+2.78647746244E+007, +6.83987401841E+001, +1.13789310563E+003
+2.81135225376E+007, +7.60684660748E+001, +1.15069102867E+003
+2.83622704508E+007, +7.05771774664E+001, +1.17528204839E+003
+2.86110183639E+007, +7.62237623901E+001, +1.19206697219E+003
+2.88597662771E+007, +7.73757184334E+001, +1.21671923955E+003
+2.91085141903E+007, +7.97016566461E+001, +1.23221629996E+003
+2.93572621035E+007, +8.86685074901E+001, +1.24784204106E+003
+2.96060100167E+007, +9.14904105918E+001, +1.26489956252E+003
+2.98547579299E+007, +8.34727097926E+001, +1.28173977943E+003
+3.01035058431E+007, +8.63843309573E+001, +1.30540249499E+003
+3.03522537563E+007, +9.26123333130E+001, +1.33263549576E+003
+3.06010016694E+007, +9.79508443614E+001, +1.35866489450E+003
+3.08497495826E+007, +1.01590174369E+002, +1.38325452066E+003
+3.10984974958E+007, +9.31925144228E+001, +1.39780355658E+003
+3.13472454090E+007, +9.55846604730E+001, +1.42910407939E+003
+3.15959933222E+007, +1.00585058765E+002, +1.45240583687E+003
+3.18447412354E+007, +1.03535388720E+002, +1.48079589518E+003
+3.20934891486E+007, +1.08469400778E+002, +1.50325567646E+003
+3.23422370618E+007, +1.19030424200E+002, +1.53423827844E+003
+3.25909849750E+007, +1.14567032315E+002, +1.56835848556E+003
+3.28397328881E+007, +1.23674958304E+002, +1.58769448986E+003
+3.30884808013E+007, +1.22169816696E+002, +1.61956362128E+003
+3.33372287145E+007, +1.21393340046E+002, +1.64303367128E+003
+3.35859766277E+007, +1.34017175020E+002, +1.67688195620E+003
+3.38347245409E+007, +1.37230290275E+002, +1.70348297263E+003
+3.40834724541E+007, +1.36432780517E+002, +1.73990760324E+003
+3.43322203673E+007, +1.36575910162E+002, +1.78674642696E+003
+3.45809682805E+007, +1.45024342377E+002, +1.81596243126E+003
+3.48297161937E+007, +1.45675110344E+002, +1.84744651336E+003
+3.50784641068E+007, +1.53502427150E+002, +1.89548418601E+003
+3.53272120200E+007, +1.54419513796E+002, +1.92391492310E+003
+3.55759599332E+007, +1.40253980097E+002, +1.98381324637E+003
+3.58247078464E+007, +1.68163509499E+002, +2.01285777220E+003
+3.60734557596E+007, +1.79044055053E+002, +2.07646981232E+003
+3.63222036728E+007, +1.90550581827E+002, +2.10809481966E+003
+3.65709515860E+007, +2.08267912213E+002, +2.14694086237E+003
+3.68196994992E+007, +2.16501284444E+002, +2.23661569539E+003
+3.70684474124E+007, +2.27184140145E+002, +2.27519050978E+003
+3.73171953255E+007, +2.42081119621E+002, +2.33260008767E+003
+3.75659432387E+007, +2.33986069099E+002, +2.41143969818E+003
+3.78146911519E+007, +2.63138161131E+002, +2.45583097942E+003
+3.80634390651E+007, +2.67481427385E+002, +2.55162064125E+003
+3.83121869783E+007, +2.95701185951E+002, +2.57413646400E+003
+3.85609348915E+007, +3.12633096112E+002, +2.64477356151E+003
