"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +1.52746365655E+002, +7.13320265295E-001
+2.25031289111E+005, +1.52134663966E+002, +5.44173667228E+000
+3.50062578223E+005, +1.52199059343E+002, +9.19619718119E+000
+4.75093867334E+005, +1.52235429069E+002, +1.23307758561E+001
+6.00125156446E+005, +1.52230503794E+002, +1.56115509007E+001
+7.25156445557E+005, +1.52137808572E+002, +1.91616469331E+001
+8.50187734668E+005, +1.52321344890E+002, +2.23284654139E+001
+9.75219023780E+005, +1.52298139464E+002, +2.52646879948E+001
+1.10025031289E+006, +1.52137364878E+002, +2.89728708846E+001
+1.22528160200E+006, +1.52485528050E+002, +3.18935676788E+001
+1.35031289111E+006, +1.52668251105E+002, +3.48093498005E+001
+1.47534418023E+006, +1.52935263510E+002, +3.77768770985E+001
+1.60037546934E+006, +1.52719720249E+002, +4.10360606867E+001
+1.72540675845E+006, +1.52833510110E+002, +4.44810334329E+001
+1.85043804756E+006, +1.52520384886E+002, +4.78849252933E+001
+1.97546933667E+006, +1.52588347400E+002, +5.10852716872E+001
+2.10050062578E+006, +1.53382214173E+002, +5.44072794740E+001
+2.22553191489E+006, +1.53159064705E+002, +5.78924490640E+001
+2.35056320401E+006, +1.52499123188E+002, +6.08474410079E+001
+2.47559449312E+006, +1.52996811853E+002, +6.41218216901E+001
+2.60062578223E+006, +1.53068643399E+002, +6.73838258854E+001
+2.72565707134E+006, +1.52914894945E+002, +7.06632404179E+001
+2.85068836045E+006, +1.53032592705E+002, +7.38065856885E+001
+2.97571964956E+006, +1.53334686068E+002, +7.67761137948E+001
+3.10075093867E+006, +1.53530992109E+002, +7.99422299517E+001
+3.22578222778E+006, +1.53610886038E+002, +8.34002497178E+001
+3.35081351690E+006, +1.53369852009E+002, +8.66987009647E+001
+3.47584480601E+006, +1.53290032857E+002, +8.97458617164E+001
+3.60087609512E+006, +1.53745535885E+002, +9.28934117576E+001
+3.72590738423E+006, +1.53692530174E+002, +9.81612082311E+001
+3.85093867334E+006, +1.55434665263E+002, +1.04578148086E+002
+3.97596996245E+006, +1.56557593432E+002, +1.11256525291E+002
+4.10100125156E+006, +1.53816585298E+002, +1.05418642022E+002
+4.22603254068E+006, +1.50946861943E+002, +1.13574780808E+002
+4.35106382979E+006, +1.52873210872E+002, +1.16431124003E+002
+4.47609511890E+006, +1.53910248412E+002, +1.17405840870E+002
+4.60112640801E+006, +1.54114298181E+002, +1.18880792591E+002
+4.72615769712E+006, +1.54295069077E+002, +1.22545973882E+002
+4.85118898623E+006, +1.54195933339E+002, +1.25298840187E+002
+4.97622027534E+006, +1.54674441042E+002, +1.28563679848E+002
+5.10125156446E+006, +1.54481653552E+002, +1.31800586938E+002
+5.22628285357E+006, +1.54932840159E+002, +1.35097140836E+002
+5.35131414268E+006, +1.54836852143E+002, +1.38747148183E+002
+5.47634543179E+006, +1.55007339673E+002, +1.42327161825E+002
+5.60137672090E+006, +1.55072499017E+002, +1.45327087393E+002
+5.72640801001E+006, +1.55168587090E+002, +1.48714938894E+002
+5.85143929912E+006, +1.55528918302E+002, +1.51879142338E+002
+5.97647058824E+006, +1.55273688392E+002, +1.55110396617E+002
+6.10150187735E+006, +1.56118193251E+002, +1.58162748674E+002
+6.22653316646E+006, +1.55838573448E+002, +1.61523393179E+002
+6.35156445557E+006, +1.56218653049E+002, +1.64578172373E+002
+6.47659574468E+006, +1.56132347107E+002, +1.68117356887E+002
+6.60162703379E+006, +1.56727019563E+002, +1.71093068792E+002
+6.72665832290E+006, +1.57234570889E+002, +1.74651519688E+002
+6.85168961202E+006, +1.57242649740E+002, +1.77719002314E+002
+6.97672090113E+006, +1.57185889689E+002, +1.81426924257E+002
+7.10175219024E+006, +1.57851328913E+002, +1.84509252808E+002
+7.22678347935E+006, +1.57916097713E+002, +1.87606301944E+002
+7.35181476846E+006, +1.58152357024E+002, +1.91033317273E+002
+7.47684605757E+006, +1.58101702716E+002, +1.94712421480E+002
+7.60187734668E+006, +1.58274546186E+002, +1.97903726320E+002
+7.72690863579E+006, +1.58754012587E+002, +2.01145459613E+002
+7.85193992491E+006, +1.59163582630E+002, +2.04961451094E+002
+7.97697121402E+006, +1.58951830413E+002, +2.08251109356E+002
+8.10200250313E+006, +1.59277766704E+002, +2.11498791707E+002
+8.22703379224E+006, +1.59582343284E+002, +2.14636461718E+002
+8.35206508135E+006, +1.59982158769E+002, +2.18380716627E+002
+8.47709637046E+006, +1.60039853341E+002, +2.22377720758E+002
+8.60212765957E+006, +1.59610377191E+002, +2.25071660455E+002
+8.72715894869E+006, +1.60587222937E+002, +2.28384943104E+002
+8.85219023780E+006, +1.60773719218E+002, +2.31680108918E+002
+8.97722152691E+006, +1.60923512662E+002, +2.34951084073E+002
+9.10225281602E+006, +1.61388283003E+002, +2.39146461934E+002
+9.22728410513E+006, +1.61781187551E+002, +2.42870371929E+002
+9.35231539424E+006, +1.62047229344E+002, +2.46610904986E+002
+9.47734668335E+006, +1.62246258622E+002, +2.50105970963E+002
+9.60237797247E+006, +1.62183444973E+002, +2.52640603406E+002
+9.72740926158E+006, +1.62741672346E+002, +2.55901975972E+002
+9.85244055069E+006, +1.62801345734E+002, +2.59815782084E+002
+9.97747183980E+006, +1.62894395116E+002, +2.63270535665E+002
+1.01025031289E+007, +1.63296426834E+002, +2.66920187660E+002
+1.02275344180E+007, +1.63313235715E+002, +2.70040746719E+002
+1.03525657071E+007, +1.63801804201E+002, +2.73943452944E+002
+1.04775969962E+007, +1.64436492126E+002, +2.77546379056E+002
+1.06026282854E+007, +1.65371164737E+002, +2.81544738017E+002
+1.07276595745E+007, +1.65003489027E+002, +2.85101410062E+002
+1.08526908636E+007, +1.65374168528E+002, +2.88019075021E+002
+1.09777221527E+007, +1.65911604339E+002, +2.91979354587E+002
+1.11027534418E+007, +1.66158979115E+002, +2.95821424687E+002
+1.12277847309E+007, +1.65893181705E+002, +2.99160942340E+002
+1.13528160200E+007, +1.67140753203E+002, +3.03551101137E+002
+1.14778473091E+007, +1.66889297895E+002, +3.06888440325E+002
+1.16028785982E+007, +1.67297085914E+002, +3.10712102486E+002
+1.17279098874E+007, +1.67353274604E+002, +3.13975943216E+002
+1.18529411765E+007, +1.67696501051E+002, +3.17193905122E+002
+1.19779724656E+007, +1.68555088268E+002, +3.21763663591E+002
+1.21030037547E+007, +1.68603529303E+002, +3.25994945989E+002
+1.22280350438E+007, +1.68912424335E+002, +3.29194239329E+002
+1.23530663329E+007, +1.70125861175E+002, +3.33041603487E+002
+1.24780976220E+007, +1.69806636457E+002, +3.36840104946E+002
+1.26031289111E+007, +1.69784261355E+002, +3.40966516421E+002
+1.27281602003E+007, +1.70107527448E+002, +3.44607773054E+002
+1.28531914894E+007, +1.70401436003E+002, +3.48141077707E+002
+1.29782227785E+007, +1.71416446956E+002, +3.51979726517E+002
+1.31032540676E+007, +1.71368353264E+002, +3.56115062977E+002
+1.32282853567E+007, +1.71576584622E+002, +3.59947736103E+002
+1.33533166458E+007, +1.72029155505E+002, +3.64046145040E+002
+1.34783479349E+007, +1.72830636981E+002, +3.67634175946E+002
+1.36033792240E+007, +1.74068777944E+002, +3.72265369475E+002
