"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +3.68202741351E+001, +3.11723057185E+001
+1.34500000000E+006, +3.68797268906E+001, +4.18704484634E+001
+1.69000000000E+006, +3.68219534090E+001, +5.26842309885E+001
+2.03500000000E+006, +3.68472854752E+001, +6.34726183770E+001
+2.38000000000E+006, +3.67522631588E+001, +7.42256705621E+001
+2.72500000000E+006, +3.67691090075E+001, +8.50050149332E+001
+3.07000000000E+006, +3.69098735365E+001, +9.57837628067E+001
+3.41500000000E+006, +3.68438425870E+001, +1.06708147873E+002
+3.76000000000E+006, +3.72513450315E+001, +1.17648413553E+002
+4.10500000000E+006, +3.76071918639E+001, +1.28820388303E+002
+4.45000000000E+006, +3.70916355671E+001, +1.39529471101E+002
+4.79500000000E+006, +3.70777604694E+001, +1.50306992616E+002
+5.14000000000E+006, +3.69199659554E+001, +1.61538696363E+002
+5.48500000000E+006, +3.71326315174E+001, +1.72677363925E+002
+5.83000000000E+006, +3.74830252751E+001, +1.84111511952E+002
+6.17500000000E+006, +3.77678472852E+001, +1.94897191301E+002
+6.52000000000E+006, +3.81638145951E+001, +2.06022320456E+002
+6.86500000000E+006, +3.81515635721E+001, +2.17245335611E+002
+7.21000000000E+006, +3.86661402382E+001, +2.28352568022E+002
+7.55500000000E+006, +3.87303158161E+001, +2.39935708875E+002
+7.90000000000E+006, +3.90599957797E+001, +2.51398563627E+002
+8.24500000000E+006, +3.88005286841E+001, +2.62803647182E+002
+8.59000000000E+006, +3.89876567423E+001, +2.74185647436E+002
+8.93500000000E+006, +3.89747080581E+001, +2.85696265260E+002
+9.28000000000E+006, +3.82997353396E+001, +2.97467024177E+002
+9.62500000000E+006, +3.94654666370E+001, +3.09373591922E+002
+9.97000000000E+006, +3.91768192886E+001, +3.21891358965E+002
+1.03150000000E+007, +3.92658148252E+001, +3.33319690408E+002
+1.06600000000E+007, +3.94022673632E+001, +3.46204336851E+002
+1.10050000000E+007, +3.91376142334E+001, +3.57799563063E+002
+1.13500000000E+007, +3.94721746467E+001, +3.70521960236E+002
+1.16950000000E+007, +4.00818794102E+001, +3.83348425665E+002
