"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.01000000000E+006, +7.68334739930E+001, +3.64182430674E+001
+1.25495000000E+006, +7.67213179945E+001, +4.53393787407E+001
+1.49990000000E+006, +7.67196850182E+001, +5.40659349282E+001
+1.74485000000E+006, +7.67005572456E+001, +6.28864134212E+001
+1.98980000000E+006, +7.67337780275E+001, +7.17289017139E+001
+2.23475000000E+006, +7.67370668097E+001, +8.05678172270E+001
+2.47970000000E+006, +7.69625002298E+001, +8.94697528167E+001
+2.72465000000E+006, +7.70544726019E+001, +9.85481845466E+001
+2.96960000000E+006, +7.71016689290E+001, +1.07444363522E+002
+3.21455000000E+006, +7.74980988381E+001, +1.16285841593E+002
+3.45950000000E+006, +7.75756117212E+001, +1.24838957595E+002
+3.70445000000E+006, +7.76146943315E+001, +1.34293644701E+002
+3.94940000000E+006, +7.80651598292E+001, +1.43005588432E+002
+4.19435000000E+006, +7.84528096847E+001, +1.52885289995E+002
+4.43930000000E+006, +7.80308639851E+001, +1.61999894892E+002
+4.68425000000E+006, +7.88756410286E+001, +1.70782760356E+002
+4.92920000000E+006, +7.86015300919E+001, +1.80475048326E+002
+5.17415000000E+006, +7.95045692011E+001, +1.89066563606E+002
+5.41910000000E+006, +7.97131018845E+001, +1.99273238964E+002
+5.66405000000E+006, +7.98730341381E+001, +2.08331935183E+002
+5.90900000000E+006, +8.03722320043E+001, +2.18446464750E+002
+6.15395000000E+006, +8.11177789722E+001, +2.27093087399E+002
+6.39890000000E+006, +8.13747595443E+001, +2.36849569925E+002
+6.64385000000E+006, +8.21894705630E+001, +2.46936835048E+002
+6.88880000000E+006, +8.25271782755E+001, +2.56561933278E+002
+7.13375000000E+006, +8.32317288646E+001, +2.66545554367E+002
+7.37870000000E+006, +8.39275280737E+001, +2.76149272145E+002
+7.62365000000E+006, +8.46462471800E+001, +2.87075153379E+002
+7.86860000000E+006, +8.46340796116E+001, +2.97375201182E+002
+8.11355000000E+006, +8.54584155423E+001, +3.07618645283E+002
+8.35850000000E+006, +8.59419593589E+001, +3.17238353354E+002
+8.60345000000E+006, +8.71758040125E+001, +3.28631729411E+002
+8.84840000000E+006, +8.80267130738E+001, +3.37619246012E+002
+9.09335000000E+006, +8.74552704981E+001, +3.49112215550E+002
+9.33830000000E+006, +8.96203034426E+001, +3.60240246279E+002
+9.58325000000E+006, +8.91091094677E+001, +3.71598183706E+002
+9.82820000000E+006, +8.98872609005E+001, +3.82921900549E+002
+1.00731500000E+007, +9.17991055596E+001, +3.93353720909E+002
+1.03181000000E+007, +9.18476249989E+001, +4.04448929826E+002
+1.05630500000E+007, +9.23598216967E+001, +4.16055260125E+002
