"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +9.19545318296E+000, +3.11726900800E+001
+1.34500000000E+006, +9.22906994459E+000, +4.19623898566E+001
+1.69000000000E+006, +9.18650555454E+000, +5.26632362934E+001
+2.03500000000E+006, +9.19022803307E+000, +6.34264533144E+001
+2.38000000000E+006, +9.11393174728E+000, +7.42126046629E+001
+2.72500000000E+006, +9.07855858225E+000, +8.49820588362E+001
+3.07000000000E+006, +9.16133508113E+000, +9.57750544003E+001
+3.41500000000E+006, +9.03132409972E+000, +1.06731520243E+002
+3.76000000000E+006, +9.39271337585E+000, +1.17833979862E+002
+4.10500000000E+006, +9.21220725380E+000, +1.28584341640E+002
+4.45000000000E+006, +9.27768523782E+000, +1.39595553762E+002
+4.79500000000E+006, +9.30776546777E+000, +1.50433671413E+002
+5.14000000000E+006, +9.15228897364E+000, +1.61351965214E+002
+5.48500000000E+006, +9.12115684895E+000, +1.72380004764E+002
+5.83000000000E+006, +9.13837319972E+000, +1.83567396168E+002
+6.17500000000E+006, +9.41719232684E+000, +1.94778786470E+002
+6.52000000000E+006, +9.83571162243E+000, +2.05835409702E+002
+6.86500000000E+006, +1.00185598442E+001, +2.16726059145E+002
+7.21000000000E+006, +1.04210999571E+001, +2.27940853653E+002
+7.55500000000E+006, +1.03737544846E+001, +2.39404497647E+002
+7.90000000000E+006, +1.02834576947E+001, +2.50893456161E+002
+8.24500000000E+006, +1.08257665170E+001, +2.62278145658E+002
+8.59000000000E+006, +1.06678939986E+001, +2.73604829065E+002
+8.93500000000E+006, +1.07356737778E+001, +2.84723156536E+002
+9.28000000000E+006, +1.04971264211E+001, +2.96546286458E+002
+9.62500000000E+006, +1.10751238260E+001, +3.08459731220E+002
+9.97000000000E+006, +1.07443355298E+001, +3.19989809801E+002
+1.03150000000E+007, +1.08443875822E+001, +3.31763443113E+002
+1.06600000000E+007, +1.07834732625E+001, +3.43691490424E+002
+1.10050000000E+007, +1.10256973986E+001, +3.55484455721E+002
+1.13500000000E+007, +1.10863346109E+001, +3.67528745633E+002
+1.16950000000E+007, +1.06144485578E+001, +3.78794952245E+002
+1.20400000000E+007, +1.05512270586E+001, +3.91720969862E+002
+1.23850000000E+007, +1.05582915858E+001, +4.04211738640E+002
+1.27300000000E+007, +1.06426906819E+001, +4.16508454241E+002
+1.30750000000E+007, +1.05903048506E+001, +4.29840421139E+002
+1.34200000000E+007, +1.06638827771E+001, +4.42012121399E+002
+1.37650000000E+007, +1.06205146960E+001, +4.53664857371E+002
+1.41100000000E+007, +1.06154972369E+001, +4.67780195091E+002
+1.44550000000E+007, +1.02528620615E+001, +4.80327364941E+002
+1.48000000000E+007, +1.07156512197E+001, +4.93430809240E+002
+1.51450000000E+007, +1.09817055338E+001, +5.07070770962E+002
+1.54900000000E+007, +1.10177167668E+001, +5.20758473663E+002
