"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.01000000000E+006, +6.88320603373E-001, +2.21919515253E+001
+1.25495000000E+006, +6.97510290750E-001, +2.75086699529E+001
+1.49990000000E+006, +7.05304530216E-001, +3.28374829849E+001
+1.74485000000E+006, +7.32004025061E-001, +3.81995234556E+001
+1.98980000000E+006, +7.45561716177E-001, +4.34985123763E+001
+2.23475000000E+006, +7.41750606824E-001, +4.88123099549E+001
+2.47970000000E+006, +7.64357246742E-001, +5.42029913144E+001
+2.72465000000E+006, +7.17494424298E-001, +5.95485515374E+001
+2.96960000000E+006, +7.39846446616E-001, +6.48724601733E+001
+3.21455000000E+006, +8.22494400804E-001, +7.03834483317E+001
+3.45950000000E+006, +8.09872605829E-001, +7.57518752000E+001
+3.70445000000E+006, +6.96955480055E-001, +8.12500860794E+001
+3.94940000000E+006, +8.72972242304E-001, +8.66034456426E+001
+4.19435000000E+006, +7.57289455288E-001, +9.21470382537E+001
+4.43930000000E+006, +7.56277547757E-001, +9.74469333803E+001
+4.68425000000E+006, +8.73412030141E-001, +1.02868513432E+002
+4.92920000000E+006, +7.37552535849E-001, +1.08503696920E+002
+5.17415000000E+006, +8.25061274077E-001, +1.13925559239E+002
+5.41910000000E+006, +7.67038240636E-001, +1.19469988043E+002
+5.66405000000E+006, +8.76234387959E-001, +1.24890414968E+002
+5.90900000000E+006, +9.56883778449E-001, +1.30463572778E+002
+6.15395000000E+006, +1.05732267804E+000, +1.35737895631E+002
+6.39890000000E+006, +9.56444418285E-001, +1.41394257998E+002
+6.64385000000E+006, +8.81678231919E-001, +1.47011500316E+002
+6.88880000000E+006, +1.11357010580E+000, +1.52563938091E+002
+7.13375000000E+006, +1.20389663270E+000, +1.58247906563E+002
+7.37870000000E+006, +1.27643747714E+000, +1.63872012598E+002
+7.62365000000E+006, +1.38218053565E+000, +1.69603827052E+002
+7.86860000000E+006, +1.12824646514E+000, +1.75394366919E+002
+8.11355000000E+006, +1.19402877576E+000, +1.80814083052E+002
+8.35850000000E+006, +1.14639452245E+000, +1.86526330365E+002
+8.60345000000E+006, +1.46616569218E+000, +1.92302298839E+002
+8.84840000000E+006, +1.49753989922E+000, +1.97707639827E+002
+9.09335000000E+006, +1.36579110972E+000, +2.03510840370E+002
+9.33830000000E+006, +1.47479822669E+000, +2.09468363483E+002
+9.58325000000E+006, +1.50938298502E+000, +2.15420339906E+002
+9.82820000000E+006, +1.56537628562E+000, +2.21044909815E+002
+1.00731500000E+007, +1.18766530364E+000, +2.26847881090E+002
+1.03181000000E+007, +1.33996647167E+000, +2.32636639146E+002
