"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.01000000000E+006, +5.26535965061E+001, +2.47263938795E+001
+1.25495000000E+006, +5.26222230473E+001, +3.07235253867E+001
+1.49990000000E+006, +5.26712794682E+001, +3.66451339532E+001
+1.74485000000E+006, +5.25968932228E+001, +4.26407276441E+001
+1.98980000000E+006, +5.26466791562E+001, +4.86600713482E+001
+2.23475000000E+006, +5.26322952211E+001, +5.45987407076E+001
+2.47970000000E+006, +5.26174664867E+001, +6.06914146937E+001
+2.72465000000E+006, +5.25649758813E+001, +6.65761546035E+001
+2.96960000000E+006, +5.25873037828E+001, +7.26104060996E+001
+3.21455000000E+006, +5.28275254690E+001, +7.85444866579E+001
+3.45950000000E+006, +5.27457869567E+001, +8.45598566677E+001
+3.70445000000E+006, +5.28048273835E+001, +9.07756034726E+001
+3.94940000000E+006, +5.29927754873E+001, +9.66519420252E+001
+4.19435000000E+006, +5.31817689978E+001, +1.03083619712E+002
+4.43930000000E+006, +5.28324724036E+001, +1.09069255032E+002
+4.68425000000E+006, +5.32262762118E+001, +1.15010190009E+002
+4.92920000000E+006, +5.31470097939E+001, +1.21215481276E+002
+5.17415000000E+006, +5.31873088760E+001, +1.27307415330E+002
+5.41910000000E+006, +5.34375459853E+001, +1.33362687824E+002
+5.66405000000E+006, +5.33718877140E+001, +1.39626852388E+002
+5.90900000000E+006, +5.33751713851E+001, +1.45836689956E+002
+6.15395000000E+006, +5.38842524968E+001, +1.51872272378E+002
+6.39890000000E+006, +5.37455530745E+001, +1.58200905861E+002
+6.64385000000E+006, +5.40488930956E+001, +1.64417068979E+002
+6.88880000000E+006, +5.42782487579E+001, +1.70691828799E+002
+7.13375000000E+006, +5.44578614020E+001, +1.77000447488E+002
+7.37870000000E+006, +5.46353880128E+001, +1.83176678001E+002
+7.62365000000E+006, +5.48992071888E+001, +1.89610425144E+002
+7.86860000000E+006, +5.47564417439E+001, +1.96070492819E+002
+8.11355000000E+006, +5.49285404598E+001, +2.02522811990E+002
+8.35850000000E+006, +5.53680097581E+001, +2.08943622023E+002
+8.60345000000E+006, +5.54092211942E+001, +2.15167264554E+002
+8.84840000000E+006, +5.56635722272E+001, +2.21430198730E+002
+9.09335000000E+006, +5.57134986812E+001, +2.28265305568E+002
+9.33830000000E+006, +5.60937731512E+001, +2.34812518017E+002
+9.58325000000E+006, +5.62847219481E+001, +2.41560226748E+002
+9.82820000000E+006, +5.63965707935E+001, +2.48026390902E+002
+1.00731500000E+007, +5.62418880290E+001, +2.54432801544E+002
+1.03181000000E+007, +5.69125257429E+001, +2.61228037297E+002
