"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +7.41781027213E-001, +2.89930761592E+001
+1.34500000000E+006, +8.61627493527E-001, +3.88932183796E+001
+1.69000000000E+006, +8.38285388729E-001, +4.88129430753E+001
+2.03500000000E+006, +8.08328110866E-001, +5.87220007921E+001
+2.38000000000E+006, +7.74320621970E-001, +6.86239667465E+001
+2.72500000000E+006, +8.43024515824E-001, +7.85178327247E+001
+3.07000000000E+006, +1.04938301917E+000, +8.85388778305E+001
+3.41500000000E+006, +8.38816445503E-001, +9.84824400176E+001
+3.76000000000E+006, +1.14619957902E+000, +1.08669304187E+002
+4.10500000000E+006, +8.92193612779E-001, +1.18913151883E+002
+4.45000000000E+006, +8.99242249963E-001, +1.28561595009E+002
+4.79500000000E+006, +1.08068813981E+000, +1.38647891147E+002
+5.14000000000E+006, +1.12816898839E+000, +1.48844544030E+002
+5.48500000000E+006, +9.32217002190E-001, +1.58860451046E+002
+5.83000000000E+006, +1.08553682283E+000, +1.69195308228E+002
+6.17500000000E+006, +1.43005020873E+000, +1.79071205637E+002
+6.52000000000E+006, +1.46441776357E+000, +1.89602256387E+002
+6.86500000000E+006, +1.54487972818E+000, +1.99462289718E+002
+7.21000000000E+006, +1.88506480581E+000, +2.09841675173E+002
+7.55500000000E+006, +1.92699561067E+000, +2.20282118043E+002
+7.90000000000E+006, +1.76972490113E+000, +2.30283909289E+002
+8.24500000000E+006, +1.71802811749E+000, +2.40924501452E+002
+8.59000000000E+006, +1.61525531526E+000, +2.51288822871E+002
+8.93500000000E+006, +1.62013224578E+000, +2.61426939590E+002
+9.28000000000E+006, +1.06979824168E+000, +2.72171147430E+002
+9.62500000000E+006, +1.52882076488E+000, +2.82985636302E+002
+9.97000000000E+006, +1.17633669521E+000, +2.93914725987E+002
+1.03150000000E+007, +9.90672520125E-001, +3.04380854716E+002
+1.06600000000E+007, +9.19146449434E-001, +3.15758470355E+002
+1.10050000000E+007, +7.23477389270E-001, +3.26174323099E+002
+1.13500000000E+007, +9.95492586876E-001, +3.37692335322E+002
+1.16950000000E+007, +7.59733765060E-001, +3.47928161833E+002
+1.20400000000E+007, +3.99129571502E-001, +3.59457735253E+002
+1.23850000000E+007, +8.60179226467E-001, +3.71590486855E+002
+1.27300000000E+007, +1.84450487379E-001, +3.82854287706E+002
+1.30750000000E+007, +2.85924740479E-001, +3.93956423807E+002
+1.34200000000E+007, +2.85106992354E-001, +4.05553524224E+002
+1.37650000000E+007, +9.20063072770E-001, +4.16111980486E+002
+1.41100000000E+007, +1.25416203425E+000, +4.29526953664E+002
+1.44550000000E+007, -3.51607817575E-001, +4.41019657206E+002
+1.48000000000E+007, +1.78938656542E-001, +4.53936404661E+002
+1.51450000000E+007, +1.14308122564E+000, +4.64554087353E+002
+1.54900000000E+007, +7.01791389673E-001, +4.76348584479E+002
+1.58350000000E+007, +1.22293122414E+000, +4.89427571615E+002
+1.61800000000E+007, +9.79388212763E-001, +4.99163424435E+002
+1.65250000000E+007, -6.52349109334E-001, +5.12581539331E+002
+1.68700000000E+007, +1.46654538026E-001, +5.26505033812E+002
+1.72150000000E+007, -2.39110017447E+000, +5.38331646660E+002
+1.75600000000E+007, -1.01946704236E+000, +5.54097736083E+002
+1.79050000000E+007, +7.70751391026E-001, +5.66740415311E+002
+1.82500000000E+007, +3.06510182779E-002, +5.79663468384E+002
+1.85950000000E+007, -6.61921589861E-001, +5.91790961663E+002
+1.89400000000E+007, +5.50018715306E-001, +6.05068624405E+002
+1.92850000000E+007, -4.31526132470E-001, +6.19389409929E+002
+1.96300000000E+007, -1.59849711035E-001, +6.32851533790E+002
+1.99750000000E+007, +1.52118068638E+000, +6.47144776502E+002
+2.03200000000E+007, -2.12623711705E-001, +6.63737411588E+002
+2.06650000000E+007, -1.64041807811E-001, +6.77609928215E+002
+2.10100000000E+007, +1.58618248644E+000, +6.91651499287E+002
+2.13550000000E+007, +2.75168524011E+000, +7.04436810412E+002
+2.17000000000E+007, +4.28491714975E+000, +7.22024604181E+002
+2.20450000000E+007, +2.95144794649E+000, +7.35296744233E+002
+2.23900000000E+007, +3.52124799831E+000, +7.50688040345E+002
+2.27350000000E+007, +2.64031176412E-001, +7.67807237271E+002
+2.30800000000E+007, +3.90265338084E+000, +7.83651969573E+002
+2.34250000000E+007, +4.54173309721E+000, +7.99240063313E+002
+2.37700000000E+007, +9.75905522363E+000, +8.16603144728E+002
+2.41150000000E+007, +4.82637575034E+000, +8.33027407705E+002
+2.44600000000E+007, +3.39820720396E+000, +8.48851634648E+002
+2.48050000000E+007, +4.10450725371E+000, +8.63710662304E+002
+2.51500000000E+007, +2.31193572086E+000, +8.81203783330E+002
+2.54950000000E+007, +3.31645338393E+000, +9.05009863636E+002
+2.58400000000E+007, +5.59204126988E+000, +9.20909844671E+002
+2.61850000000E+007, +3.86314102629E+000, +9.44906330359E+002
+2.65300000000E+007, +4.84996802285E+000, +9.60762971454E+002
+2.68750000000E+007, +1.10055752001E+001, +9.81801205916E+002
+2.72200000000E+007, +6.31332230038E+000, +1.00473042843E+003
