"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +6.37595532451E+001, +3.16429625102E+001
+1.34500000000E+006, +6.38701297579E+001, +4.28197057127E+001
+1.69000000000E+006, +6.38435051851E+001, +5.37155648346E+001
+2.03500000000E+006, +6.38524859525E+001, +6.47762747461E+001
+2.38000000000E+006, +6.38036235259E+001, +7.56822424556E+001
+2.72500000000E+006, +6.39257965711E+001, +8.66990917543E+001
+3.07000000000E+006, +6.38805357682E+001, +9.77472025730E+001
+3.41500000000E+006, +6.39647690793E+001, +1.08888682970E+002
+3.76000000000E+006, +6.39692637101E+001, +1.19676263718E+002
+4.10500000000E+006, +6.47292857251E+001, +1.31159824792E+002
+4.45000000000E+006, +6.37778131103E+001, +1.41759415880E+002
+4.79500000000E+006, +6.43993874422E+001, +1.53233295163E+002
+5.14000000000E+006, +6.47421935700E+001, +1.64404169617E+002
+5.48500000000E+006, +6.48186769532E+001, +1.75962038817E+002
+5.83000000000E+006, +6.53321253946E+001, +1.87117700206E+002
+6.17500000000E+006, +6.58006490767E+001, +1.98026129323E+002
+6.52000000000E+006, +6.57216078291E+001, +2.09314488859E+002
+6.86500000000E+006, +6.62154685923E+001, +2.20442565595E+002
+7.21000000000E+006, +6.64292413767E+001, +2.31614712943E+002
+7.55500000000E+006, +6.63988318018E+001, +2.43272089400E+002
+7.90000000000E+006, +6.66914822800E+001, +2.54913145507E+002
+8.24500000000E+006, +6.71864605983E+001, +2.66240868569E+002
+8.59000000000E+006, +6.69751557584E+001, +2.78358311551E+002
+8.93500000000E+006, +6.74248561301E+001, +2.89751793013E+002
+9.28000000000E+006, +6.68483590410E+001, +3.01756814112E+002
+9.62500000000E+006, +6.71917630099E+001, +3.13553654197E+002
+9.97000000000E+006, +6.73427248980E+001, +3.26212570112E+002
+1.03150000000E+007, +6.73664156088E+001, +3.38059464535E+002
+1.06600000000E+007, +6.80626850251E+001, +3.51130306183E+002
+1.10050000000E+007, +6.84147853753E+001, +3.62486073520E+002
+1.13500000000E+007, +6.82106408674E+001, +3.76202639456E+002
+1.16950000000E+007, +6.91540815532E+001, +3.89227880102E+002
+1.20400000000E+007, +6.87592727013E+001, +4.01895529552E+002
+1.23850000000E+007, +6.93092946825E+001, +4.15321172438E+002
+1.27300000000E+007, +6.85188343213E+001, +4.27572184828E+002
+1.30750000000E+007, +6.95437705662E+001, +4.40752958024E+002
+1.34200000000E+007, +7.00718813343E+001, +4.53397727090E+002
