"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +5.24079810984E+001, +2.40855598664E+001
+1.34500000000E+006, +5.23444608251E+001, +3.25561421457E+001
+1.69000000000E+006, +5.23927697643E+001, +4.08725720075E+001
+2.03500000000E+006, +5.25464187572E+001, +4.93512677559E+001
+2.38000000000E+006, +5.24564969883E+001, +5.75692094958E+001
+2.72500000000E+006, +5.25925226556E+001, +6.59701649332E+001
+3.07000000000E+006, +5.25955598978E+001, +7.43266486330E+001
+3.41500000000E+006, +5.27406745780E+001, +8.27952640677E+001
+3.76000000000E+006, +5.27183507785E+001, +9.11597530570E+001
+4.10500000000E+006, +5.31138809597E+001, +9.97277721009E+001
+4.45000000000E+006, +5.27588432041E+001, +1.07853126905E+002
+4.79500000000E+006, +5.31484763843E+001, +1.16728968859E+002
+5.14000000000E+006, +5.32540541187E+001, +1.25265220462E+002
+5.48500000000E+006, +5.33431509412E+001, +1.34007094330E+002
+5.83000000000E+006, +5.37343991966E+001, +1.42447691719E+002
+6.17500000000E+006, +5.41566950178E+001, +1.51009469711E+002
+6.52000000000E+006, +5.41436574595E+001, +1.59493355961E+002
+6.86500000000E+006, +5.44353839732E+001, +1.68277246946E+002
+7.21000000000E+006, +5.47818450924E+001, +1.76873968093E+002
+7.55500000000E+006, +5.48240832538E+001, +1.85852595882E+002
+7.90000000000E+006, +5.50691744665E+001, +1.94382675142E+002
+8.24500000000E+006, +5.53563075573E+001, +2.03226486644E+002
+8.59000000000E+006, +5.53679080087E+001, +2.12177968530E+002
+8.93500000000E+006, +5.55954319432E+001, +2.21568666549E+002
+9.28000000000E+006, +5.56678449768E+001, +2.30607471508E+002
+9.62500000000E+006, +5.57033244594E+001, +2.39773510318E+002
+9.97000000000E+006, +5.57515547147E+001, +2.49437508074E+002
+1.03150000000E+007, +5.61743114981E+001, +2.58593890742E+002
+1.06600000000E+007, +5.64822102598E+001, +2.68522428741E+002
+1.10050000000E+007, +5.70568737537E+001, +2.77405266568E+002
+1.13500000000E+007, +5.66789208576E+001, +2.87444582704E+002
+1.16950000000E+007, +5.74200303891E+001, +2.97470377606E+002
+1.20400000000E+007, +5.73920366877E+001, +3.07129193682E+002
+1.23850000000E+007, +5.76310036861E+001, +3.17109265137E+002
+1.27300000000E+007, +5.79051438591E+001, +3.26732519343E+002
+1.30750000000E+007, +5.79008940557E+001, +3.37084396085E+002
+1.34200000000E+007, +5.87495264787E+001, +3.47026947588E+002
+1.37650000000E+007, +5.91376657012E+001, +3.57994322323E+002
+1.41100000000E+007, +5.98969211592E+001, +3.68133381852E+002
+1.44550000000E+007, +6.09573706225E+001, +3.78825388366E+002
+1.48000000000E+007, +6.10074178527E+001, +3.90328178140E+002
+1.51450000000E+007, +6.05722093886E+001, +4.00304960388E+002
+1.54900000000E+007, +6.16832374838E+001, +4.11035784391E+002
+1.58350000000E+007, +6.23957794839E+001, +4.21831828800E+002
+1.61800000000E+007, +6.24488434360E+001, +4.32495382868E+002
+1.65250000000E+007, +6.38138072059E+001, +4.44782786014E+002
+1.68700000000E+007, +6.37882605241E+001, +4.55365685643E+002
+1.72150000000E+007, +6.41930898506E+001, +4.68559685554E+002
+1.75600000000E+007, +6.47400114008E+001, +4.80117080275E+002
+1.79050000000E+007, +6.55458846620E+001, +4.91151701829E+002
+1.82500000000E+007, +6.78510104733E+001, +5.04030808566E+002
+1.85950000000E+007, +6.85352245638E+001, +5.16672199036E+002
+1.89400000000E+007, +6.96065177782E+001, +5.29408917828E+002
+1.92850000000E+007, +6.94542700799E+001, +5.42631948985E+002
+1.96300000000E+007, +6.90155103776E+001, +5.54595754685E+002
+1.99750000000E+007, +7.14587698650E+001, +5.68487386902E+002
+2.03200000000E+007, +7.23983582513E+001, +5.82846300010E+002
+2.06650000000E+007, +7.45953345489E+001, +5.96130777582E+002
