"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +4.85115240171E+001, +2.44256237509E+001
+1.34500000000E+006, +4.85235297874E+001, +3.29807353705E+001
+1.69000000000E+006, +4.84738786910E+001, +4.12942693919E+001
+2.03500000000E+006, +4.84949056926E+001, +4.98189313393E+001
+2.38000000000E+006, +4.85509287693E+001, +5.80931663089E+001
+2.72500000000E+006, +4.85816977099E+001, +6.65408167106E+001
+3.07000000000E+006, +4.86796264881E+001, +7.50402997346E+001
+3.41500000000E+006, +4.86335273168E+001, +8.36018584504E+001
+3.76000000000E+006, +4.86270685712E+001, +9.18334637578E+001
+4.10500000000E+006, +4.90699588521E+001, +1.00419778868E+002
+4.45000000000E+006, +4.85949088999E+001, +1.08663863297E+002
+4.79500000000E+006, +4.86594009703E+001, +1.17366108607E+002
+5.14000000000E+006, +4.90080994420E+001, +1.26083241415E+002
+5.48500000000E+006, +4.90734173678E+001, +1.34681018325E+002
+5.83000000000E+006, +4.94071989665E+001, +1.42985975559E+002
+6.17500000000E+006, +4.95063340129E+001, +1.51538509269E+002
+6.52000000000E+006, +4.95062224883E+001, +1.59995912427E+002
+6.86500000000E+006, +4.97135781948E+001, +1.68481870858E+002
+7.21000000000E+006, +4.99380609225E+001, +1.76812537265E+002
+7.55500000000E+006, +4.96989413558E+001, +1.85718443034E+002
+7.90000000000E+006, +4.99309823725E+001, +1.93880620128E+002
+8.24500000000E+006, +5.01868403871E+001, +2.02806790669E+002
+8.59000000000E+006, +5.01680173368E+001, +2.11837459716E+002
+8.93500000000E+006, +5.03809524761E+001, +2.20469136424E+002
+9.28000000000E+006, +5.02024581956E+001, +2.29364247362E+002
+9.62500000000E+006, +5.01954283103E+001, +2.38448072539E+002
+9.97000000000E+006, +5.00995668548E+001, +2.47214602915E+002
+1.03150000000E+007, +5.01371721324E+001, +2.56028888426E+002
+1.06600000000E+007, +5.04481760480E+001, +2.65738291836E+002
+1.10050000000E+007, +5.06986658944E+001, +2.73973063965E+002
+1.13500000000E+007, +5.03242900776E+001, +2.83521316778E+002
+1.16950000000E+007, +5.07010140078E+001, +2.92725158122E+002
+1.20400000000E+007, +5.08493468053E+001, +3.02254718489E+002
+1.23850000000E+007, +5.11061345007E+001, +3.11338233856E+002
+1.27300000000E+007, +5.11803696634E+001, +3.19887051734E+002
+1.30750000000E+007, +5.05237244952E+001, +3.29626417178E+002
+1.34200000000E+007, +5.12614644906E+001, +3.38243274647E+002
+1.37650000000E+007, +5.09593536735E+001, +3.48833091736E+002
+1.41100000000E+007, +5.13566837040E+001, +3.58159891514E+002
+1.44550000000E+007, +5.25923786288E+001, +3.68245968030E+002
+1.48000000000E+007, +5.21177694047E+001, +3.77651044043E+002
+1.51450000000E+007, +5.22588371769E+001, +3.86498678194E+002
+1.54900000000E+007, +5.25894169638E+001, +3.96289572802E+002
+1.58350000000E+007, +5.24924836522E+001, +4.06192042161E+002
+1.61800000000E+007, +5.32528407489E+001, +4.15574730138E+002
+1.65250000000E+007, +5.28720294726E+001, +4.25861968075E+002
+1.68700000000E+007, +5.38064907049E+001, +4.35424044705E+002
+1.72150000000E+007, +5.30740490844E+001, +4.46666411896E+002
+1.75600000000E+007, +5.37669835535E+001, +4.56303995993E+002
+1.79050000000E+007, +5.46878929747E+001, +4.65491559585E+002
+1.82500000000E+007, +5.57432197994E+001, +4.76314380682E+002
+1.85950000000E+007, +5.58251859174E+001, +4.86741309033E+002
+1.89400000000E+007, +5.51821477805E+001, +4.98286810953E+002
+1.92850000000E+007, +5.68731120799E+001, +5.07363670308E+002
+1.96300000000E+007, +5.56604576778E+001, +5.17988465958E+002
+1.99750000000E+007, +5.74085314900E+001, +5.28789388977E+002
+2.03200000000E+007, +5.67080923493E+001, +5.39758198472E+002
+2.06650000000E+007, +5.86195573415E+001, +5.52354505637E+002
+2.10100000000E+007, +5.86564676178E+001, +5.60053775895E+002
+2.13550000000E+007, +5.86239532861E+001, +5.72944007752E+002
+2.17000000000E+007, +6.04096029051E+001, +5.84733850165E+002
+2.20450000000E+007, +6.00712132941E+001, +5.95028739683E+002
+2.23900000000E+007, +6.07166184733E+001, +6.06690908081E+002
+2.27350000000E+007, +6.22175792357E+001, +6.21292960717E+002
+2.30800000000E+007, +6.28131742891E+001, +6.30282399528E+002
+2.34250000000E+007, +6.32802061525E+001, +6.42488922590E+002
+2.37700000000E+007, +6.49356365633E+001, +6.53816672533E+002
+2.41150000000E+007, +6.48745480680E+001, +6.68172591779E+002
+2.44600000000E+007, +6.68695064146E+001, +6.79170302416E+002
+2.48050000000E+007, +6.75548513517E+001, +6.91160091662E+002
+2.51500000000E+007, +6.89376732031E+001, +7.00339971676E+002
+2.54950000000E+007, +7.10533085173E+001, +7.17278119175E+002
+2.58400000000E+007, +7.14027456729E+001, +7.28049599023E+002
+2.61850000000E+007, +7.09526325470E+001, +7.39715163469E+002
+2.65300000000E+007, +7.36094402980E+001, +7.53602499582E+002
+2.68750000000E+007, +7.09496258706E+001, +7.68422908965E+002
+2.72200000000E+007, +7.51814601917E+001, +7.82675268314E+002
+2.75650000000E+007, +7.42022284528E+001, +7.95743755767E+002
+2.79100000000E+007, +7.76590453620E+001, +8.12388153107E+002
+2.82550000000E+007, +7.96074040174E+001, +8.25143528250E+002
+2.86000000000E+007, +7.85952881401E+001, +8.41493003786E+002
+2.89450000000E+007, +7.96201083074E+001, +8.58137594182E+002
+2.92900000000E+007, +7.92385951748E+001, +8.68132203009E+002
+2.96350000000E+007, +8.48416127450E+001, +8.88655325207E+002
+2.99800000000E+007, +8.48826904345E+001, +9.04901977520E+002
+3.03250000000E+007, +8.31061771395E+001, +9.20263860294E+002
+3.06700000000E+007, +8.74830600198E+001, +9.30390532914E+002
+3.10150000000E+007, +8.88729047469E+001, +9.55871949012E+002
+3.13600000000E+007, +8.79605387946E+001, +9.66882249616E+002
+3.17050000000E+007, +9.16965028585E+001, +9.81428890182E+002
+3.20500000000E+007, +1.00165553812E+002, +1.00572416161E+003
+3.23950000000E+007, +9.43377426060E+001, +1.02433269008E+003
+3.27400000000E+007, +1.02442228724E+002, +1.03910369990E+003
+3.30850000000E+007, +9.76303349516E+001, +1.06514726519E+003
+3.34300000000E+007, +1.04672305903E+002, +1.07864867337E+003
+3.37750000000E+007, +1.00401930100E+002, +1.10093587868E+003
+3.41200000000E+007, +1.13489841779E+002, +1.12141370676E+003
+3.44650000000E+007, +1.15711109681E+002, +1.14590516258E+003
+3.48100000000E+007, +1.10941851876E+002, +1.15557602815E+003
+3.51550000000E+007, +1.16451246314E+002, +1.18455674817E+003
+3.55000000000E+007, +1.16510192963E+002, +1.20911445740E+003
+3.58450000000E+007, +1.24114896750E+002, +1.22797058383E+003
+3.61900000000E+007, +1.25799654390E+002, +1.26315892513E+003
+3.65350000000E+007, +1.24658516702E+002, +1.27686750322E+003
+3.68800000000E+007, +1.36020753483E+002, +1.30793940569E+003
+3.72250000000E+007, +1.46544944064E+002, +1.33549917217E+003
+3.75700000000E+007, +1.44803765513E+002, +1.35170079657E+003
+3.79150000000E+007, +1.54125641335E+002, +1.39422406765E+003
+3.82600000000E+007, +1.51384752356E+002, +1.41651886050E+003
+3.86050000000E+007, +1.61772598014E+002, +1.44424028510E+003
+3.89500000000E+007, +1.76258235066E+002, +1.47913271373E+003
+3.92950000000E+007, +1.76694536917E+002, +1.51247775445E+003
+3.96400000000E+007, +1.69563418897E+002, +1.54242939731E+003
+3.99850000000E+007, +1.84096065597E+002, +1.58781689536E+003
+4.03300000000E+007, +1.97805297779E+002, +1.62354471282E+003
+4.06750000000E+007, +1.89834539995E+002, +1.66665208869E+003
+4.10200000000E+007, +2.00695213170E+002, +1.69295743382E+003
+4.13650000000E+007, +2.11095779284E+002, +1.75814693614E+003
+4.17100000000E+007, +2.18808822645E+002, +1.79541615313E+003
+4.20550000000E+007, +2.48270724877E+002, +1.83581645428E+003
+4.24000000000E+007, +2.56301260264E+002, +1.86978443691E+003
+4.27450000000E+007, +2.61518398522E+002, +1.93884367387E+003
+4.30900000000E+007, +2.73819046061E+002, +2.00818693971E+003
+4.34350000000E+007, +3.10760877734E+002, +2.07161336679E+003
+4.37800000000E+007, +3.30623261352E+002, +2.12584421303E+003
+4.41250000000E+007, +3.36238310688E+002, +2.16638632398E+003
+4.44700000000E+007, +3.73846779406E+002, +2.25277246550E+003
+4.48150000000E+007, +4.04817594150E+002, +2.33569836040E+003
+4.51600000000E+007, +3.74668248658E+002, +2.36948499550E+003
+4.55050000000E+007, +4.41425000484E+002, +2.49007099925E+003
+4.58500000000E+007, +4.95415506528E+002, +2.61199627996E+003
+4.61950000000E+007, +4.76898711730E+002, +2.70844707495E+003
+4.65400000000E+007, +5.44980313145E+002, +2.81970080098E+003
+4.68850000000E+007, +5.88577259119E+002, +2.96652354369E+003
+4.72300000000E+007, +6.36988091524E+002, +3.09864488744E+003
+4.75750000000E+007, +7.01092022113E+002, +3.26681541537E+003
+4.79200000000E+007, +7.55814579524E+002, +3.43618931903E+003
+4.82650000000E+007, +8.91802234579E+002, +3.58671347634E+003
+4.86100000000E+007, +9.92049477892E+002, +3.79675501611E+003
+4.89550000000E+007, +1.15296508413E+003, +4.03277771966E+003
+4.93000000000E+007, +1.32779173409E+003, +4.40017300431E+003
+4.96450000000E+007, +1.61764212480E+003, +4.60568271598E+003
+4.99900000000E+007, +1.89400495715E+003, +4.94234235352E+003
+5.03350000000E+007, +2.25073732947E+003, +5.31001086501E+003
+5.06800000000E+007, +2.66467824532E+003, +5.77274436218E+003
+5.10250000000E+007, +3.61582409289E+003, +6.36538334081E+003
+5.13700000000E+007, +4.60879070480E+003, +7.20060889008E+003
+5.17150000000E+007, +5.41472891220E+003, +6.92896063424E+003
+5.20600000000E+007, +7.67045725554E+003, +6.74519240627E+003
+5.24050000000E+007, +9.66793362478E+003, +6.00008845329E+003
+5.27500000000E+007, +1.30669577847E+004, +3.47047823858E+003
+5.30950000000E+007, +1.26887692598E+004, +9.71159743650E+002
+5.34400000000E+007, +1.16556664796E+004, -2.90139503528E+003
+5.37850000000E+007, +1.04049791917E+004, -4.86656080381E+003
+5.41300000000E+007, +7.67594294761E+003, -5.77260108292E+003
+5.44750000000E+007, +6.11787838599E+003, -5.42232650394E+003
+5.48200000000E+007, +4.71472083202E+003, -5.15382056815E+003
+5.51650000000E+007, +3.74368854325E+003, -4.94859232743E+003
+5.55100000000E+007, +2.93613356120E+003, -4.61106259273E+003
+5.58550000000E+007, +2.57247401481E+003, -4.12182357524E+003
+5.62000000000E+007, +2.09932773669E+003, -3.82321694969E+003
+5.65450000000E+007, +1.78807011488E+003, -3.49461471902E+003
+5.68900000000E+007, +1.50380222585E+003, -3.26113193445E+003
+5.72350000000E+007, +1.30831457927E+003, -2.97407704165E+003
+5.75800000000E+007, +1.15244078125E+003, -2.77055006947E+003
+5.79250000000E+007, +9.96486923518E+002, -2.57281613472E+003
+5.82700000000E+007, +9.03799061592E+002, -2.36816066923E+003
+5.86150000000E+007, +8.28809243500E+002, -2.19517643051E+003
+5.89600000000E+007, +7.57757718637E+002, -2.02584518483E+003
+5.93050000000E+007, +6.78036768202E+002, -1.90355781497E+003
+5.96500000000E+007, +6.29094420547E+002, -1.77861831277E+003
+5.99950000000E+007, +5.97021310506E+002, -1.65744178105E+003
