"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +8.61967914124E-001, +2.72062807583E+001
+1.34500000000E+006, +9.02512344163E-001, +3.64233565473E+001
+1.69000000000E+006, +9.41359006052E-001, +4.55543299976E+001
+2.03500000000E+006, +1.02397940455E+000, +5.48257651489E+001
+2.38000000000E+006, +1.06122163827E+000, +6.39432113249E+001
+2.72500000000E+006, +1.00351883220E+000, +7.32880577566E+001
+3.07000000000E+006, +1.08712190566E+000, +8.23522929013E+001
+3.41500000000E+006, +1.21074897555E+000, +9.16786742947E+001
+3.76000000000E+006, +1.24292942497E+000, +1.01028809651E+002
+4.10500000000E+006, +9.88477632534E-001, +1.10156251721E+002
+4.45000000000E+006, +1.24767167979E+000, +1.19238096865E+002
+4.79500000000E+006, +1.41552562724E+000, +1.28785282757E+002
+5.14000000000E+006, +1.41793693590E+000, +1.37687126489E+002
+5.48500000000E+006, +1.44103851099E+000, +1.47286089616E+002
+5.83000000000E+006, +1.57857040122E+000, +1.56281740276E+002
+6.17500000000E+006, +1.76716009023E+000, +1.66064220738E+002
+6.52000000000E+006, +2.07859508613E+000, +1.75089911548E+002
+6.86500000000E+006, +2.32093922832E+000, +1.84468114123E+002
+7.21000000000E+006, +2.43769547546E+000, +1.93433329856E+002
+7.55500000000E+006, +2.49126852003E+000, +2.02909278133E+002
+7.90000000000E+006, +2.53412975938E+000, +2.12055574451E+002
+8.24500000000E+006, +2.23762024239E+000, +2.21179095927E+002
+8.59000000000E+006, +2.26323746569E+000, +2.30798715999E+002
+8.93500000000E+006, +2.30558365097E+000, +2.40632750869E+002
+9.28000000000E+006, +1.94145492540E+000, +2.49551308563E+002
+9.62500000000E+006, +2.10120044744E+000, +2.59317535049E+002
+9.97000000000E+006, +1.95687394601E+000, +2.68954088777E+002
+1.03150000000E+007, +1.72429758619E+000, +2.78393737834E+002
+1.06600000000E+007, +1.32068745820E+000, +2.88282023805E+002
+1.10050000000E+007, +2.29135516363E+000, +2.97526520091E+002
+1.13500000000E+007, +1.87566568797E+000, +3.07656919559E+002
+1.16950000000E+007, +1.67836067551E+000, +3.17921758429E+002
+1.20400000000E+007, +1.23131841589E+000, +3.27231818141E+002
+1.23850000000E+007, +1.44861059760E+000, +3.36878631709E+002
+1.27300000000E+007, +1.19058770218E+000, +3.46529170048E+002
+1.30750000000E+007, +9.73205357989E-001, +3.57146743925E+002
+1.34200000000E+007, +2.17734209702E+000, +3.66480246968E+002
+1.37650000000E+007, +2.18709250367E+000, +3.76818414851E+002
+1.41100000000E+007, +1.78896283255E+000, +3.87662815128E+002
+1.44550000000E+007, +2.03678844320E+000, +3.96575131670E+002
+1.48000000000E+007, +1.45565369337E+000, +4.07529082203E+002
+1.51450000000E+007, +2.14716172675E+000, +4.19060566205E+002
+1.54900000000E+007, +3.01415557172E+000, +4.28642133245E+002
+1.58350000000E+007, +2.45347405357E+000, +4.39924380226E+002
+1.61800000000E+007, +2.09587174848E+000, +4.50703767430E+002
+1.65250000000E+007, +2.74510247194E+000, +4.61318791910E+002
+1.68700000000E+007, +2.82273201648E+000, +4.73453426545E+002
+1.72150000000E+007, +2.33345757113E+000, +4.84586433932E+002
+1.75600000000E+007, +3.71819264894E+000, +4.96322066411E+002
+1.79050000000E+007, +4.50186064695E+000, +5.06925303797E+002
+1.82500000000E+007, +4.76205061024E+000, +5.17901838349E+002
+1.85950000000E+007, +7.40352621119E+000, +5.29534089983E+002
+1.89400000000E+007, +6.89903531953E+000, +5.40630583181E+002
+1.92850000000E+007, +7.00965041198E+000, +5.52743858524E+002
+1.96300000000E+007, +5.79703444875E+000, +5.63802066000E+002
+1.99750000000E+007, +8.57710343240E+000, +5.74281997705E+002
+2.03200000000E+007, +6.47019613354E+000, +5.90094520434E+002
+2.06650000000E+007, +6.03741945874E+000, +5.99428296998E+002
+2.10100000000E+007, +7.82539871676E+000, +6.15985796863E+002
+2.13550000000E+007, +7.16905745029E+000, +6.29997524265E+002
+2.17000000000E+007, +8.72639483711E+000, +6.46317277046E+002
+2.20450000000E+007, +7.52931354288E+000, +6.59628642249E+002
+2.23900000000E+007, +7.19131807591E+000, +6.74457690399E+002
+2.27350000000E+007, +8.60077953516E+000, +6.90109873877E+002
+2.30800000000E+007, +1.11132363104E+001, +7.06264766460E+002
+2.34250000000E+007, +1.22005007008E+001, +7.24958134462E+002
+2.37700000000E+007, +1.35340068479E+001, +7.41106622653E+002
+2.41150000000E+007, +1.71039248470E+001, +7.61254766270E+002
+2.44600000000E+007, +2.01168168183E+001, +7.81367960277E+002
+2.48050000000E+007, +2.65695928578E+001, +7.98275305391E+002
+2.51500000000E+007, +3.00946043467E+001, +8.14382024531E+002
+2.54950000000E+007, +3.67566830087E+001, +8.37895129003E+002
+2.58400000000E+007, +4.16866890483E+001, +8.54086192573E+002
+2.61850000000E+007, +4.24432411772E+001, +8.68637871134E+002
+2.65300000000E+007, +4.31838951679E+001, +8.91389478807E+002
+2.68750000000E+007, +4.17942785817E+001, +9.15035710261E+002
+2.72200000000E+007, +4.93290592304E+001, +9.44885024490E+002
+2.75650000000E+007, +4.90931737599E+001, +9.70201886349E+002
+2.79100000000E+007, +4.92182532698E+001, +1.00107568883E+003
+2.82550000000E+007, +5.90192418200E+001, +1.03032415348E+003
+2.86000000000E+007, +5.77243465939E+001, +1.06884630534E+003
+2.89450000000E+007, +6.84143241268E+001, +1.10250709827E+003
+2.92900000000E+007, +8.01784541082E+001, +1.15022796435E+003
+2.96350000000E+007, +8.33687988760E+001, +1.19525930770E+003
+2.99800000000E+007, +1.05374618680E+002, +1.23079892664E+003
+3.03250000000E+007, +1.12762604274E+002, +1.27790904383E+003
+3.06700000000E+007, +1.23411492282E+002, +1.33662732082E+003
+3.10150000000E+007, +1.37887326215E+002, +1.39474162805E+003
+3.13600000000E+007, +1.75627130650E+002, +1.45882600108E+003
+3.17050000000E+007, +1.83407899853E+002, +1.53465317445E+003
+3.20500000000E+007, +2.31816536141E+002, +1.62047990288E+003
+3.23950000000E+007, +2.63346910811E+002, +1.72563560914E+003
+3.27400000000E+007, +3.32592432042E+002, +1.85551567934E+003
+3.30850000000E+007, +4.14061096979E+002, +1.95469572972E+003
+3.34300000000E+007, +4.64686516078E+002, +2.06661257005E+003
+3.37750000000E+007, +6.16450947957E+002, +2.27149136772E+003
+3.41200000000E+007, +7.72129869557E+002, +2.44091783613E+003
+3.44650000000E+007, +9.90945641944E+002, +2.66642379208E+003
+3.48100000000E+007, +1.36859453556E+003, +2.89837825037E+003
+3.51550000000E+007, +1.78690088971E+003, +3.11068621060E+003
+3.55000000000E+007, +2.42405724689E+003, +3.25963592442E+003
+3.58450000000E+007, +3.47805299854E+003, +3.13247839493E+003
+3.61900000000E+007, +4.48878304950E+003, +2.47895293827E+003
+3.65350000000E+007, +5.16326830375E+003, +1.13426554599E+003
+3.68800000000E+007, +5.03075148953E+003, -2.37156601486E+002
+3.72250000000E+007, +4.34114917795E+003, -1.34588869743E+003
+3.75700000000E+007, +3.41572883240E+003, -1.83775960764E+003
+3.79150000000E+007, +2.61891686020E+003, -1.93901434439E+003
+3.82600000000E+007, +2.07522731937E+003, -1.91785616056E+003
+3.86050000000E+007, +1.67081075606E+003, -1.81178917894E+003
+3.89500000000E+007, +1.29894207668E+003, -1.68708653493E+003
+3.92950000000E+007, +1.04803977231E+003, -1.53486739908E+003
+3.96400000000E+007, +8.42015235459E+002, -1.38955579018E+003
+3.99850000000E+007, +6.73483941976E+002, -1.24343413440E+003
+4.03300000000E+007, +5.61150875680E+002, -1.11229322531E+003
+4.06750000000E+007, +4.67822008112E+002, -9.86957886325E+002
+4.10200000000E+007, +3.91859771034E+002, -8.85973637046E+002
+4.13650000000E+007, +3.44039871827E+002, -7.95079049804E+002
+4.17100000000E+007, +3.00636121800E+002, -7.07730600402E+002
+4.20550000000E+007, +2.65426910394E+002, -6.34837300475E+002
+4.24000000000E+007, +2.38712101760E+002, -5.67637559526E+002
+4.27450000000E+007, +2.16027700498E+002, -5.06371116903E+002
+4.30900000000E+007, +1.96852202532E+002, -4.52242456001E+002
+4.34350000000E+007, +1.82346655616E+002, -4.04335417177E+002
+4.37800000000E+007, +1.70722839232E+002, -3.62620549999E+002
+4.41250000000E+007, +1.59061274490E+002, -3.25773663223E+002
+4.44700000000E+007, +1.47613260674E+002, -2.92235185702E+002
+4.48150000000E+007, +1.35108646910E+002, -2.61270196110E+002
+4.51600000000E+007, +1.23289266846E+002, -2.30100486810E+002
+4.55050000000E+007, +1.13418718135E+002, -2.00798108480E+002
+4.58500000000E+007, +1.04742504691E+002, -1.72241916216E+002
+4.61950000000E+007, +9.78243522665E+001, -1.45233947036E+002
+4.65400000000E+007, +9.21024067118E+001, -1.19772853364E+002
+4.68850000000E+007, +8.73711355114E+001, -9.64446800952E+001
+4.72300000000E+007, +8.28776499949E+001, -7.44668383198E+001
+4.75750000000E+007, +7.93020823838E+001, -5.33599234305E+001
+4.79200000000E+007, +7.68037709550E+001, -3.29339264065E+001
+4.82650000000E+007, +7.54629869798E+001, -1.43991175429E+001
+4.86100000000E+007, +7.46497203841E+001, +2.21724818511E+000
+4.89550000000E+007, +7.39275019676E+001, +1.71020557209E+001
+4.93000000000E+007, +7.26948456604E+001, +3.04581718498E+001
+4.96450000000E+007, +7.05391678020E+001, +4.26134883983E+001
+4.99900000000E+007, +6.77378576358E+001, +5.47921907503E+001
+5.03350000000E+007, +6.49702199745E+001, +6.69584616003E+001
+5.06800000000E+007, +6.24942191739E+001, +7.90810156511E+001
+5.10250000000E+007, +6.03089484362E+001, +9.07865471228E+001
+5.13700000000E+007, +5.86988413668E+001, +1.01932139503E+002
+5.17150000000E+007, +5.69628690465E+001, +1.12526619019E+002
+5.20600000000E+007, +5.50305027545E+001, +1.22281077836E+002
+5.24050000000E+007, +5.31964056918E+001, +1.31806842549E+002
+5.27500000000E+007, +5.11360780976E+001, +1.40999105371E+002
+5.30950000000E+007, +4.90103248708E+001, +1.50443447519E+002
+5.34400000000E+007, +4.68645547687E+001, +1.59819475527E+002
+5.37850000000E+007, +4.53596560879E+001, +1.68854190417E+002
+5.41300000000E+007, +4.39594275420E+001, +1.77424114130E+002
+5.44750000000E+007, +4.26359430956E+001, +1.85721108263E+002
+5.48200000000E+007, +4.11326317024E+001, +1.93586736652E+002
+5.51650000000E+007, +3.92900914223E+001, +2.01524919649E+002
+5.55100000000E+007, +3.78680882679E+001, +2.09731232117E+002
+5.58550000000E+007, +3.64731427153E+001, +2.17537535221E+002
+5.62000000000E+007, +3.53350431208E+001, +2.25503469113E+002
+5.65450000000E+007, +3.47379857556E+001, +2.33548529673E+002
+5.68900000000E+007, +3.40249668056E+001, +2.40390805213E+002
+5.72350000000E+007, +3.33020559499E+001, +2.47579597771E+002
+5.75800000000E+007, +3.25657072008E+001, +2.54731345893E+002
+5.79250000000E+007, +3.16378940929E+001, +2.61520296718E+002
+5.82700000000E+007, +3.10914166996E+001, +2.68688818945E+002
+5.86150000000E+007, +3.05297805035E+001, +2.75792794119E+002
+5.89600000000E+007, +3.04959955117E+001, +2.82983676023E+002
+5.93050000000E+007, +3.14732465090E+001, +2.89415604737E+002
+5.96500000000E+007, +3.26185646694E+001, +2.95676548553E+002
+5.99950000000E+007, +3.29822530205E+001, +3.00814909590E+002
+6.03400000000E+007, +3.37481049221E+001, +3.04875202349E+002
+6.06850000000E+007, +3.27851411845E+001, +3.09285966599E+002
+6.10300000000E+007, +3.16923689465E+001, +3.14521200780E+002
+6.13750000000E+007, +3.11656127499E+001, +3.20102593038E+002
+6.17200000000E+007, +3.01047799899E+001, +3.25127318986E+002
+6.20650000000E+007, +3.04076823605E+001, +3.31049444398E+002
+6.24100000000E+007, +2.94986946777E+001, +3.36759009292E+002
+6.27550000000E+007, +2.96431478448E+001, +3.42020309910E+002
+6.31000000000E+007, +2.93627166471E+001, +3.47784277227E+002
+6.34450000000E+007, +2.88389151012E+001, +3.52887622448E+002
+6.37900000000E+007, +3.01882583736E+001, +3.58464641328E+002
+6.41350000000E+007, +3.00179337812E+001, +3.62643796491E+002
+6.44800000000E+007, +2.91864695276E+001, +3.67269059785E+002
+6.48250000000E+007, +2.93208972542E+001, +3.72777602443E+002
+6.51700000000E+007, +2.90086464306E+001, +3.78115196847E+002
+6.55150000000E+007, +2.94244488368E+001, +3.82579369801E+002
+6.58600000000E+007, +2.90142308871E+001, +3.88450786480E+002
+6.62050000000E+007, +3.02632459972E+001, +3.93763887094E+002
+6.65500000000E+007, +3.05268082901E+001, +3.98002192983E+002
+6.68950000000E+007, +3.10265933749E+001, +4.03098958527E+002
+6.72400000000E+007, +3.16425286987E+001, +4.07763853008E+002
+6.75850000000E+007, +3.14241115331E+001, +4.11365372987E+002
+6.79300000000E+007, +3.14711541600E+001, +4.16249620279E+002
+6.82750000000E+007, +2.93829892903E+001, +4.21671624925E+002
+6.86200000000E+007, +2.97471624699E+001, +4.25199893757E+002
+6.89650000000E+007, +2.97330574673E+001, +4.30430074798E+002
+6.93100000000E+007, +2.91565932860E+001, +4.35572016989E+002
+6.96550000000E+007, +2.84522113439E+001, +4.40898294673E+002
+7.00000000000E+007, +2.90194654835E+001, +4.45810330900E+002
