"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +3.67987622765E+001, +3.01457747961E+000
+8.49500000000E+005, +3.69277630381E+001, +2.46994234968E+001
+1.59900000000E+006, +3.70416212712E+001, +4.63896569809E+001
+2.34850000000E+006, +3.74641395989E+001, +6.83736209732E+001
+3.09800000000E+006, +3.77494318467E+001, +9.08529042209E+001
+3.84750000000E+006, +3.85889692217E+001, +1.13729609082E+002
+4.59700000000E+006, +3.92119162053E+001, +1.37259108200E+002
+5.34650000000E+006, +4.03256082941E+001, +1.61682452656E+002
+6.09600000000E+006, +4.24626542616E+001, +1.87078094678E+002
+6.84550000000E+006, +4.40897143030E+001, +2.14161001663E+002
+7.59500000000E+006, +4.59593747117E+001, +2.42403670822E+002
+8.34450000000E+006, +4.86068308203E+001, +2.72153844733E+002
+9.09400000000E+006, +5.10694591265E+001, +3.04791303605E+002
+9.84350000000E+006, +5.53610623688E+001, +3.40366505663E+002
+1.05930000000E+007, +5.85567408179E+001, +3.78010178096E+002
+1.13425000000E+007, +6.24405333197E+001, +4.20018065080E+002
+1.20920000000E+007, +6.87926115328E+001, +4.65997952795E+002
+1.28415000000E+007, +7.63657539967E+001, +5.17772857271E+002
+1.35910000000E+007, +8.40369147287E+001, +5.78375307957E+002
+1.43405000000E+007, +9.79055475996E+001, +6.44693635245E+002
+1.50900000000E+007, +1.11065244282E+002, +7.23921305853E+002
+1.58395000000E+007, +1.30309495477E+002, +8.12895406399E+002
+1.65890000000E+007, +1.56132709824E+002, +9.31436283724E+002
+1.73385000000E+007, +1.86633268659E+002, +1.07777577640E+003
+1.80880000000E+007, +2.47647765676E+002, +1.25130301682E+003
+1.88375000000E+007, +3.38893105037E+002, +1.47934132741E+003
+1.95870000000E+007, +4.64206230365E+002, +1.80200528646E+003
+2.03365000000E+007, +7.43002416957E+002, +2.26287959982E+003
+2.10860000000E+007, +1.34068684198E+003, +2.97850119608E+003
+2.18355000000E+007, +2.79443411694E+003, +3.86410759135E+003
+2.25850000000E+007, +7.35554295945E+003, +3.33830126240E+003
+2.33345000000E+007, +6.61839072897E+003, -3.64675553933E+003
+2.40840000000E+007, +2.67003955619E+003, -3.78292738985E+003
+2.48335000000E+007, +1.34106075840E+003, -2.95985198149E+003
+2.55830000000E+007, +8.42181200163E+002, -2.31423451038E+003
+2.63325000000E+007, +5.68253087410E+002, -1.93853644988E+003
+2.70820000000E+007, +3.72049114145E+002, -1.62817085584E+003
+2.78315000000E+007, +2.65798333843E+002, -1.39726383925E+003
+2.85810000000E+007, +1.96327234025E+002, -1.21501796666E+003
+2.93305000000E+007, +1.59075482007E+002, -1.05584605429E+003
+3.00800000000E+007, +1.38024904162E+002, -9.48066253247E+002
+3.08295000000E+007, +1.14410577209E+002, -8.56395905677E+002
+3.15790000000E+007, +9.87808210634E+001, -7.71627480917E+002
+3.23285000000E+007, +9.02457131610E+001, -7.03920826178E+002
+3.30780000000E+007, +8.29389601096E+001, -6.46056153458E+002
+3.38275000000E+007, +7.78893952734E+001, -5.93053221088E+002
+3.45770000000E+007, +7.24047473765E+001, -5.48328394768E+002
+3.53265000000E+007, +6.80650320675E+001, -5.04627011685E+002
+3.60760000000E+007, +6.46358945983E+001, -4.66172828074E+002
+3.68255000000E+007, +6.36003169683E+001, -4.27688776629E+002
+3.75750000000E+007, +6.50471869782E+001, -3.95407445667E+002
+3.83245000000E+007, +6.43982611708E+001, -3.67799179952E+002
+3.90740000000E+007, +6.06645705551E+001, -3.40711527317E+002
+3.98235000000E+007, +5.74938937306E+001, -3.11368514257E+002
+4.05730000000E+007, +5.57870229685E+001, -2.81390730978E+002
+4.13225000000E+007, +5.61609105932E+001, -2.52956050422E+002
+4.20720000000E+007, +5.73681043400E+001, -2.24827207333E+002
+4.28215000000E+007, +6.06474652175E+001, -1.97409955832E+002
+4.35710000000E+007, +6.55561182082E+001, -1.70923551792E+002
+4.43205000000E+007, +6.95097122564E+001, -1.48038060025E+002
+4.50700000000E+007, +6.98123594457E+001, -1.23526056699E+002
+4.58195000000E+007, +7.12148316952E+001, -9.39616102734E+001
+4.65690000000E+007, +7.56156457622E+001, -6.29439562180E+001
+4.73185000000E+007, +8.21859279012E+001, -3.04032716307E+001
+4.80680000000E+007, +9.27448188722E+001, +5.21664498015E+000
+4.88175000000E+007, +1.10367434855E+002, +3.94974012590E+001
+4.95670000000E+007, +1.26737919808E+002, +6.75317276089E+001
+5.03165000000E+007, +1.38832622825E+002, +1.01212967029E+002
+5.10660000000E+007, +1.55113367166E+002, +1.41000230817E+002
+5.18155000000E+007, +1.76387800550E+002, +1.85012270448E+002
+5.25650000000E+007, +2.01684372990E+002, +2.33991785409E+002
+5.33145000000E+007, +2.32663267172E+002, +2.94446886055E+002
+5.40640000000E+007, +2.79252801908E+002, +3.65610897843E+002
+5.48135000000E+007, +3.35937620270E+002, +4.47071228381E+002
+5.55630000000E+007, +4.27805385912E+002, +5.62606332601E+002
