"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +5.11765480358E-001, +2.79644784643E+000
+8.49500000000E+005, +7.59676288934E-001, +2.33681665382E+001
+1.59900000000E+006, +8.99282793525E-001, +4.37492209716E+001
+2.34850000000E+006, +1.03464492090E+000, +6.42354742477E+001
+3.09800000000E+006, +9.59719330931E-001, +8.52643794083E+001
+3.84750000000E+006, +1.02009377907E+000, +1.06539807234E+002
+4.59700000000E+006, +9.84209587423E-001, +1.28498806313E+002
+5.34650000000E+006, +7.52851937670E-001, +1.51281408205E+002
+6.09600000000E+006, +1.29995561779E+000, +1.75118457189E+002
+6.84550000000E+006, +1.87472187221E+000, +1.99860873775E+002
+7.59500000000E+006, +1.75246385355E+000, +2.25695407281E+002
+8.34450000000E+006, +2.21621545225E+000, +2.53319602117E+002
+9.09400000000E+006, +1.47077732384E+000, +2.82231156557E+002
+9.84350000000E+006, +2.17545635737E+000, +3.13843288446E+002
+1.05930000000E+007, +2.82558137997E+000, +3.47766157096E+002
+1.13425000000E+007, +2.39529876457E+000, +3.84720227402E+002
+1.20920000000E+007, +2.05109150574E+000, +4.25865656657E+002
+1.28415000000E+007, +3.30268232991E+000, +4.70364336633E+002
+1.35910000000E+007, +2.96543285887E+000, +5.20080841368E+002
+1.43405000000E+007, +3.83946128427E+000, +5.76817782236E+002
+1.50900000000E+007, +4.77041976050E+000, +6.43101972017E+002
+1.58395000000E+007, +6.62330583373E+000, +7.15283665839E+002
+1.65890000000E+007, +5.25678988110E+000, +8.09113732254E+002
+1.73385000000E+007, -3.57092983725E-001, +9.16292715230E+002
+1.80880000000E+007, +1.20412088540E+001, +1.05240319025E+003
+1.88375000000E+007, +2.68787938304E+001, +1.21960806543E+003
+1.95870000000E+007, +2.63039755932E+001, +1.44406926838E+003
+2.03365000000E+007, +5.19519535683E+001, +1.75365378923E+003
+2.10860000000E+007, +7.58698620525E+001, +2.23193966485E+003
+2.18355000000E+007, +1.64596668773E+002, +2.98672518805E+003
+2.25850000000E+007, +3.85278432013E+002, +4.55662123802E+003
+2.33345000000E+007, +1.64716354174E+003, +9.35255311706E+003
+2.40840000000E+007, +2.90439235867E+004, -7.78935240552E+003
+2.48335000000E+007, +2.72758963772E+003, -7.91798267775E+003
+2.55830000000E+007, +1.12406121715E+003, -4.44566636886E+003
+2.63325000000E+007, +5.13068497508E+002, -3.09725883142E+003
+2.70820000000E+007, +2.67923938620E+002, -2.36567637664E+003
+2.78315000000E+007, +1.77751885682E+002, -1.89175572370E+003
