"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +3.71706598957E+001, +2.91151909962E+001
+1.34500000000E+006, +3.72573194939E+001, +3.92105175576E+001
+1.69000000000E+006, +3.70992477428E+001, +4.91342627638E+001
+2.03500000000E+006, +3.71841577778E+001, +5.91753677904E+001
+2.38000000000E+006, +3.71027006873E+001, +6.89507544098E+001
+2.72500000000E+006, +3.72725020969E+001, +7.92640599678E+001
+3.07000000000E+006, +3.70454777000E+001, +8.90936873451E+001
+3.41500000000E+006, +3.72140064927E+001, +9.91455928631E+001
+3.76000000000E+006, +3.73505143650E+001, +1.09172621694E+002
+4.10500000000E+006, +3.67498384591E+001, +1.19277204096E+002
+4.45000000000E+006, +3.73394241913E+001, +1.29095323030E+002
+4.79500000000E+006, +3.75154499083E+001, +1.39667700492E+002
+5.14000000000E+006, +3.74192126761E+001, +1.49130194125E+002
+5.48500000000E+006, +3.77731767864E+001, +1.59536603579E+002
+5.83000000000E+006, +3.76935605804E+001, +1.69026443314E+002
+6.17500000000E+006, +3.83516883908E+001, +1.79859878340E+002
+6.52000000000E+006, +3.84598293488E+001, +1.89668564710E+002
+6.86500000000E+006, +3.86506767342E+001, +1.99635364721E+002
+7.21000000000E+006, +3.90271053874E+001, +2.09662290546E+002
+7.55500000000E+006, +3.89231640913E+001, +2.20036458227E+002
+7.90000000000E+006, +3.91936940016E+001, +2.30336846195E+002
+8.24500000000E+006, +3.90501689127E+001, +2.40336283852E+002
+8.59000000000E+006, +3.88304072582E+001, +2.50789517405E+002
+8.93500000000E+006, +3.93394545316E+001, +2.61212727444E+002
+9.28000000000E+006, +3.89363943300E+001, +2.71626957954E+002
+9.62500000000E+006, +3.91906906404E+001, +2.81925847819E+002
+9.97000000000E+006, +3.93202595418E+001, +2.92496491560E+002
+1.03150000000E+007, +3.92094966241E+001, +3.03030165822E+002
+1.06600000000E+007, +3.88206687691E+001, +3.14047735814E+002
+1.10050000000E+007, +3.98539223193E+001, +3.24396064837E+002
+1.13500000000E+007, +4.02665130455E+001, +3.35804417421E+002
+1.16950000000E+007, +4.00480627270E+001, +3.46706481109E+002
+1.20400000000E+007, +4.06565536819E+001, +3.57357672645E+002
+1.23850000000E+007, +4.02209109857E+001, +3.68327706474E+002
+1.27300000000E+007, +3.99520310116E+001, +3.78812639741E+002
+1.30750000000E+007, +4.10858243073E+001, +3.90732430779E+002
+1.34200000000E+007, +4.17603665091E+001, +4.01658755300E+002
+1.37650000000E+007, +4.20114612179E+001, +4.11810495000E+002
+1.41100000000E+007, +4.25372564238E+001, +4.24522346755E+002
+1.44550000000E+007, +4.29932264382E+001, +4.35249502661E+002
+1.48000000000E+007, +4.26839601372E+001, +4.48117021483E+002
+1.51450000000E+007, +4.42246908773E+001, +4.59955996742E+002
+1.54900000000E+007, +4.45119202905E+001, +4.71335129738E+002
+1.58350000000E+007, +4.52598429344E+001, +4.83452112378E+002
+1.61800000000E+007, +4.49243827200E+001, +4.97289563398E+002
+1.65250000000E+007, +4.60941466735E+001, +5.07842823011E+002
+1.68700000000E+007, +4.68852773940E+001, +5.21759492897E+002
+1.72150000000E+007, +4.80575102417E+001, +5.34469882335E+002
+1.75600000000E+007, +4.80639912519E+001, +5.48409252283E+002
+1.79050000000E+007, +5.07612944222E+001, +5.60225086723E+002
+1.82500000000E+007, +5.45582259337E+001, +5.71249924369E+002
+1.85950000000E+007, +5.44879896632E+001, +5.85951961847E+002
+1.89400000000E+007, +5.51600398339E+001, +5.99585174497E+002
+1.92850000000E+007, +5.52511099028E+001, +6.14619395247E+002
+1.96300000000E+007, +5.49867585337E+001, +6.28620373041E+002
+1.99750000000E+007, +5.65496337376E+001, +6.41743968965E+002
+2.03200000000E+007, +5.92927134307E+001, +6.59709429789E+002
+2.06650000000E+007, +5.76099658824E+001, +6.72999474326E+002
+2.10100000000E+007, +6.14113246994E+001, +6.94134650264E+002
+2.13550000000E+007, +6.30509959424E+001, +7.10367081147E+002
+2.17000000000E+007, +6.69734491353E+001, +7.26055659512E+002
+2.20450000000E+007, +6.65651782186E+001, +7.42021923967E+002
+2.23900000000E+007, +6.89775143689E+001, +7.62903327928E+002
+2.27350000000E+007, +7.30911581262E+001, +7.86217613924E+002
+2.30800000000E+007, +7.66182389150E+001, +8.04209347023E+002
+2.34250000000E+007, +8.15976613201E+001, +8.25244305644E+002
+2.37700000000E+007, +8.72088575948E+001, +8.47272675462E+002
+2.41150000000E+007, +9.43639040230E+001, +8.71301203962E+002
+2.44600000000E+007, +1.01641490265E+002, +8.95313331679E+002
+2.48050000000E+007, +1.11829174463E+002, +9.17001129749E+002
