"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.01588239126E+001, +2.08255200953E+001
+1.34500000000E+006, +2.01389472545E+001, +2.79732070341E+001
+1.69000000000E+006, +2.00852725195E+001, +3.50194121967E+001
+2.03500000000E+006, +2.01220417207E+001, +4.21578589247E+001
+2.38000000000E+006, +2.00565483702E+001, +4.92420377821E+001
+2.72500000000E+006, +2.00827375863E+001, +5.64309213384E+001
+3.07000000000E+006, +2.00185352980E+001, +6.34152460811E+001
+3.41500000000E+006, +2.01801118684E+001, +7.06204581552E+001
+3.76000000000E+006, +2.01171018925E+001, +7.76341482032E+001
+4.10500000000E+006, +1.97527584382E+001, +8.46608760608E+001
+4.45000000000E+006, +2.01334054167E+001, +9.17554806874E+001
+4.79500000000E+006, +2.01155186338E+001, +9.90680769637E+001
+5.14000000000E+006, +2.01218113322E+001, +1.05734382942E+002
+5.48500000000E+006, +1.99693431824E+001, +1.12956170415E+002
+5.83000000000E+006, +2.02046058565E+001, +1.19852748029E+002
+6.17500000000E+006, +2.00640670953E+001, +1.27184572582E+002
+6.52000000000E+006, +2.03775488105E+001, +1.34074866926E+002
+6.86500000000E+006, +2.04352329402E+001, +1.41129389509E+002
+7.21000000000E+006, +2.05606964085E+001, +1.47962444035E+002
+7.55500000000E+006, +2.04476496978E+001, +1.55030804418E+002
+7.90000000000E+006, +2.04696039396E+001, +1.61937811688E+002
+8.24500000000E+006, +2.02763159444E+001, +1.69035125496E+002
+8.59000000000E+006, +2.04016241694E+001, +1.75798272766E+002
+8.93500000000E+006, +2.04306406442E+001, +1.82906668493E+002
+9.28000000000E+006, +2.01326004552E+001, +1.89712895613E+002
+9.62500000000E+006, +2.01243750152E+001, +1.96492207018E+002
+9.97000000000E+006, +2.00704909987E+001, +2.03564406983E+002
+1.03150000000E+007, +2.02158747640E+001, +2.10644833737E+002
+1.06600000000E+007, +1.97837200459E+001, +2.17661273675E+002
+1.10050000000E+007, +2.01863773434E+001, +2.24240941408E+002
+1.13500000000E+007, +2.01445274030E+001, +2.31615780702E+002
+1.16950000000E+007, +1.98803036918E+001, +2.38484250140E+002
+1.20400000000E+007, +1.98607838763E+001, +2.45297688746E+002
+1.23850000000E+007, +1.98600052075E+001, +2.51757349517E+002
+1.27300000000E+007, +1.98609107428E+001, +2.58271788354E+002
+1.30750000000E+007, +1.96921532079E+001, +2.65495206959E+002
+1.34200000000E+007, +1.98884558963E+001, +2.72194430880E+002
+1.37650000000E+007, +2.01471451985E+001, +2.78695658306E+002
+1.41100000000E+007, +2.00286188808E+001, +2.85478760887E+002
+1.44550000000E+007, +2.03991660939E+001, +2.91991275027E+002
+1.48000000000E+007, +1.98146078039E+001, +2.99436703100E+002
+1.51450000000E+007, +1.98390333639E+001, +3.06256310491E+002
+1.54900000000E+007, +2.00657894450E+001, +3.12498534517E+002
+1.58350000000E+007, +1.99682415733E+001, +3.19151019936E+002
+1.61800000000E+007, +1.98971117801E+001, +3.25902609898E+002
+1.65250000000E+007, +2.03073379112E+001, +3.32481933570E+002
+1.68700000000E+007, +1.98863916951E+001, +3.39362383997E+002
+1.72150000000E+007, +1.96096327923E+001, +3.46125195634E+002
+1.75600000000E+007, +1.99190417541E+001, +3.53000004522E+002
+1.79050000000E+007, +1.97395945916E+001, +3.59293357485E+002
+1.82500000000E+007, +1.94557650741E+001, +3.65926632873E+002
+1.85950000000E+007, +2.07743501580E+001, +3.72698410660E+002
+1.89400000000E+007, +2.12366917167E+001, +3.79071681797E+002
+1.92850000000E+007, +2.09642481938E+001, +3.85586071886E+002
+1.96300000000E+007, +2.04695530355E+001, +3.91711464786E+002
+1.99750000000E+007, +2.15376944160E+001, +3.97946062085E+002
+2.03200000000E+007, +2.09970140247E+001, +4.04876950599E+002
