"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+006, +2.03540207807E+001, +1.72859213858E+001
+1.34500000000E+006, +2.03333837932E+001, +2.32035395273E+001
+1.69000000000E+006, +2.03033562106E+001, +2.91345135572E+001
+2.03500000000E+006, +2.03142913762E+001, +3.50373475480E+001
+2.38000000000E+006, +2.02885204031E+001, +4.09547730171E+001
+2.72500000000E+006, +2.03040241587E+001, +4.69429010242E+001
+3.07000000000E+006, +2.03022742278E+001, +5.27937772621E+001
+3.41500000000E+006, +2.03546950187E+001, +5.87886985528E+001
+3.76000000000E+006, +2.03587292675E+001, +6.47502047193E+001
+4.10500000000E+006, +2.01950195647E+001, +7.07188603857E+001
+4.45000000000E+006, +2.03103044323E+001, +7.65117678402E+001
+4.79500000000E+006, +2.04105030589E+001, +8.26776997050E+001
+5.14000000000E+006, +2.05420801064E+001, +8.84915988216E+001
+5.48500000000E+006, +2.05133825800E+001, +9.45846220738E+001
+5.83000000000E+006, +2.04808123149E+001, +1.00306601971E+002
+6.17500000000E+006, +2.04945740586E+001, +1.06628279741E+002
+6.52000000000E+006, +2.07431652017E+001, +1.12489622059E+002
+6.86500000000E+006, +2.08352335042E+001, +1.18527975228E+002
+7.21000000000E+006, +2.09129560927E+001, +1.24589333881E+002
+7.55500000000E+006, +2.07801015265E+001, +1.30632890636E+002
+7.90000000000E+006, +2.09237614885E+001, +1.36673940947E+002
+8.24500000000E+006, +2.08605808612E+001, +1.42778896608E+002
+8.59000000000E+006, +2.08668200306E+001, +1.48723168368E+002
+8.93500000000E+006, +2.11189894986E+001, +1.54876966067E+002
+9.28000000000E+006, +2.09231408096E+001, +1.60853973263E+002
+9.62500000000E+006, +2.08613798134E+001, +1.67131314296E+002
+9.97000000000E+006, +2.10230633803E+001, +1.73169295919E+002
+1.03150000000E+007, +2.09358496246E+001, +1.79510055003E+002
+1.06600000000E+007, +2.08290701202E+001, +1.85825877308E+002
+1.10050000000E+007, +2.14226171889E+001, +1.91770636798E+002
+1.13500000000E+007, +2.10544369882E+001, +1.98196197957E+002
+1.16950000000E+007, +2.11321848903E+001, +2.04406605848E+002
+1.20400000000E+007, +2.11707077156E+001, +2.10522470250E+002
+1.23850000000E+007, +2.13155915089E+001, +2.16572423612E+002
+1.27300000000E+007, +2.11199591297E+001, +2.22768826757E+002
+1.30750000000E+007, +2.11476585350E+001, +2.29459352202E+002
+1.34200000000E+007, +2.11971010576E+001, +2.35863509395E+002
+1.37650000000E+007, +2.15083909167E+001, +2.41850135636E+002
+1.41100000000E+007, +2.14172951445E+001, +2.48360007131E+002
+1.44550000000E+007, +2.16196537310E+001, +2.54302249609E+002
+1.48000000000E+007, +2.13340516631E+001, +2.60902572813E+002
+1.51450000000E+007, +2.18115673778E+001, +2.67582474332E+002
+1.54900000000E+007, +2.19513942590E+001, +2.74439647103E+002
+1.58350000000E+007, +2.19200004510E+001, +2.80341816834E+002
+1.61800000000E+007, +2.19296558412E+001, +2.87347472926E+002
+1.65250000000E+007, +2.22594921325E+001, +2.93456720628E+002
+1.68700000000E+007, +2.20716050612E+001, +3.00295034738E+002
+1.72150000000E+007, +2.19922101844E+001, +3.07054827142E+002
+1.75600000000E+007, +2.17374566630E+001, +3.13715542499E+002
+1.79050000000E+007, +2.23424926198E+001, +3.20040004877E+002
+1.82500000000E+007, +2.25250095078E+001, +3.26643101478E+002
+1.85950000000E+007, +2.32917380215E+001, +3.33875510508E+002
+1.89400000000E+007, +2.33299423697E+001, +3.40617250332E+002
+1.92850000000E+007, +2.36330630055E+001, +3.47500637571E+002
+1.96300000000E+007, +2.30588017604E+001, +3.54148450486E+002
